state,name,category,total_liabilities,bonds_outstanding,compensated_absences,leases,loans_outstanding,notes_outstanding,pension_debt,opeb_debt,total_revenues,charges_for_services,operating_grants,capital_grants,general_revenue,total_operating_revenues,non_operating_revenues,capital_contributions
NE,Sarpy SID 278 County,Special District,4382900,3965000,0,0,0,0,0,0,362687,0,0,0,362687,0,0,0
NE,Sarpy SID 315 County,Special District,3164742,1000000,0,0,0,0,0,0,167310,0,0,0,167310,0,0,0
NE,Sarpy SID 291 County,Special District,8071624,7885000,0,0,0,0,0,0,880585,0,0,0,880585,0,0,0
NE,Sarpy SID 293 County,Special District,7659021,1770000,0,0,0,0,0,0,277120,0,0,0,277120,0,0,0
NE,Sarpy SID 235 County,Special District,3461716,3420000,0,0,0,0,0,0,384491,0,0,0,384491,0,0,0
NE,Sarpy SID 295 County,Special District,2374691,2245000,0,0,0,0,0,0,218955,0,0,0,218955,0,0,0
NE,Sarpy SID 224 County,Special District,3097009,3050000,0,0,0,0,0,0,211233,0,0,0,211233,0,0,0
NE,Sarpy SID 299 County,Special District,14595195,8895000,0,0,0,0,0,0,965646,0,0,0,965646,0,0,0
NE,Sarpy SID 290 County,Special District,14243965,0,0,0,13121040,0,0,0,133958,0,0,0,133958,0,0,0
NE,Sarpy County Sanitary and Improvement District No. 309,Special District,6571818,2800000,0,0,0,0,0,0,241460,0,0,0,241460,0,0,0
NE,Sarpy SID 296 County,Special District,3207797,2000000,0,0,0,0,0,0,332957,0,0,0,332957,0,0,0
NE,Sarpy SID 304 County,Special District,9345391,1200000,0,0,0,0,0,0,242558,0,0,0,242558,0,0,0
NE,Sarpy SID 327 County,Special District,3826567,0,0,0,0,0,0,0,58755,0,0,0,58755,0,0,0
NE,Sanitary and Improvement District No. 336 of  Sarpy County,Special District,4577704,0,0,0,0,0,0,0,9349,0,0,0,9349,0,0,0
NE,Sarpy SID 251 County,Special District,5426574,5280000,0,0,0,0,0,0,599185,0,0,0,599185,0,0,0
OK,Garfield County Industrial Authority Inc.,Special District,47012675,47000000,0,0,0,0,0,0,688724,0,0,0,0,657766,30958,0
NE,Sarpy SID 303 County,Special District,3147249,3100000,0,0,0,0,0,0,226002,0,0,0,226002,0,0,0
NE,Sarpy SID 300 County,Special District,4627419,0,0,0,0,0,0,0,105755,0,0,0,105755,0,0,0
NE,Sarpy SID 257 County,Special District,8324609,8060000,0,0,0,0,0,0,868246,0,0,0,868246,0,0,0
OH,Buckeye Tobacco Settlement Financing Authority of Ohio,Special District,5759391578,5740934483,0,0,0,0,0,0,328951810,0,0,0,328951810,0,0,0
OH,Southern Ohio Agricultural and Community Development Foundation,Special District,490005,0,43914,0,0,0,254977,166027,28384,0,0,0,28384,0,0,0
OK,Caddo County Governmental Building Authority,Special District,14770000,0,0,0,0,14770000,0,0,1502590,0,0,0,0,1492192,10398,0
OK,Seminole County Educational Facilities Authority,Special District,3160000,3160000,0,0,0,0,0,0,462,0,0,0,462,0,0,0
OK,Mcgee Creek Authority,Special District,79655853,17780000,88295,0,0,0,0,0,8311184,0,0,0,0,7506708,804476,0
OK,Oklahoma Industrial Finance Authority,Special District,46516422,30000000,62699,0,0,0,33622,0,1538567,0,0,0,0,1385942,152625,0
OK,Rush Springs Educational Facilities Authority,Special District,6675044,6660000,0,0,0,0,0,0,563173,0,0,0,0,562050,1123,0
OK,Tulsa Municipal Airport Trust,Special District,333645769,325087522,0,0,0,0,0,0,22984776,0,0,0,0,20760499,2224277,0
OR,Lake Oswego Redevelopment Agency,Special District,76726272,0,0,0,0,70800914,0,0,7863152,0,0,0,7863152,0,0,0
OR,Beaverton Urban Redevelopment Agency,Special District,60634267,55000000,0,0,0,0,0,0,4859854,0,0,0,4859854,0,0,0
OR,Klamath Falls Urban Renewal Agency,Special District,3938076,0,0,0,1344068,336824,0,0,286537,0,0,0,286537,0,0,0
OR,Wood Village Urban Renewal Agency,Special District,4743151,0,5013,0,4487768,0,0,0,263403,0,0,0,263403,0,0,0
OR,Shangri La Water District,Special District,1305209,0,0,0,1296469,0,0,0,141857,0,0,0,0,86062,55795,0
OR,Urban Renewal Agency of the City of Troutdale,Special District,7008903,0,0,0,6700000,0,0,0,310221,0,0,0,310221,0,0,0
TN,Industrial Development Board of Pigeon Forge,Special District,48471744,48285212,0,0,0,0,0,0,5062333,0,0,0,0,2249374,2812959,0
RI,Rhode Island Student Loan Authority,Special District,595673525,566694363,0,0,0,24586010,0,0,34820017,0,0,0,0,34820017,0,0
SD,Todd County School District No. 66-1,School District,406669978,0,269392,0,0,0,-78550,0,41381247,33016,9917087,216621,31214523,0,0,0
SD,South Dakota Housing Development Authority,Special District,1341567876,1318536120,0,0,0,0,0,0,147123147,0,0,0,0,147123147,0,0
TN,Industrial Development Board of the City of Bristol,Special District,153486273,146984674,0,0,0,0,0,0,9953003,0,9520556,0,432447,0,0,0
TN,Industrial Development Board of the Counties of Cumberland Morgan & Roane ...,Special District,7615900,0,0,0,7554846,0,0,0,87043,0,0,0,87043,0,0,0
TN,Industrial Development Board of Mcminnville-Warren County,Special District,6150959,0,0,0,0,5783674,0,0,337252,69029,0,0,268223,0,0,0
TN,Industrial Development Board of the City of Sevierville,Special District,1566720,1535498,0,0,0,0,0,0,99915,0,0,0,0,99915,0,0
VT,Vermont Housing Finance Agency,Special District,504675000,435189000,0,0,0,60936000,0,0,39378000,0,0,0,0,27584000,11794000,0
TX,Central Texas Regional Mobility Authority,Special District,1874977366,1798976449,0,0,0,0,-896834,0,124659429,0,0,0,0,116934422,4474611,3250396
VA,Chesapeake Bay Bridge and Tunnel District,Special District,846653455,790356557,0,0,0,0,12265486,5511019,77833898,0,0,0,0,57114488,20719410,0
TN,Public Building Authority of Sevier County,Special District,9205379,9205176,0,0,0,0,0,0,98150,0,0,0,0,31868,66282,0
UT,Utah Telecommunication Open Infrastructure Agency,Special District,461216203,179761471,825308,0,0,150442004,1107141,2734211,12098508,0,0,0,0,12036664,61844,0
UT,Utah Infrastructure Agency,Special District,205189324,192842489,0,0,0,2760954,0,0,18754710,0,0,0,0,17183183,1571527,0
UT,Utah Water Finance Agency,Special District,272944862,268805000,0,0,0,0,0,0,12952326,0,0,0,0,12952326,0,0
CA,Mount Shasta Public Financing Authority,Special District,5932832,5865413,0,0,0,0,0,0,116483,0,0,0,0,116483,0,0
VA,Virginia Port Authority,Special District,2877888547,503104113,1195851,2253021808,0,2064111,6383917,0,318727227,0,0,0,0,150540969,167902745,283513
WY,Wyoming Community Development Authority,Special District,898363590,862047194,0,0,0,0,3776095,2042522,55154431,0,0,0,0,50129996,5024435,0
NE,Sanitary and Improvement District No. 288,Special District,998159,971058,0,0,0,0,0,0,102085,0,0,0,102085,0,0,0
CT,St of Ct Clean Water Fund - State Revolving Fund,Special District,1027728124,1027728124,0,0,0,0,0,0,76501908,0,0,0,0,24869319,36339058,15293531
MO,Southeast Missouri State University,Public Higher Education,332814695,168285902,0,0,0,298693,128178153,4442902,6297097,0,3854330,0,2442767,0,0,0
MO,Northwest Missouri State University,Public Higher Education,157673816,0,0,0,0,0,92777614,3851804,5074415,0,0,0,5074415,0,0,0
OH,National Church Residences Worthington East Court,Special District,3555793,0,0,0,3499700,0,0,0,371841,0,0,0,0,371841,0,0
IN,Indiana Motorsports Commission,Special District,80009377,0,0,78520000,0,0,0,0,5552327,0,0,0,0,5552327,0,0
OK,Oklahoma Water Resources Board 1986 General Bond Resolution State Loan Program,Special District,171703190,169896425,0,0,0,0,0,0,7549140,0,0,0,0,7309896,239244,0
IA,Clarke County Sanitary Landfill Commission,Special District,572380,0,0,0,0,0,0,0,51292,0,0,0,0,50591,701,0
VA,Virginia Resource Authority,Special District,3522468962,3415890307,0,0,78249000,0,-136287,273278,258972610,0,0,0,0,150126437,108846173,0
