"state","name","category","total_liabilities","bonds_outstanding","compensated_absences","leases","loans_outstanding","net_pension_liability","net_opeb_liability"
"MS","Mississippi Delta Community College","Community College District",39430974,0,0,0,0,33424749,1784079
"MS","Jones County Junior College","Community College District",80494917,15843136,477998,0,0,56133875,2669421
"OH","Belmont College","Community College District",10795918,0,49509,125952,0,7903621,781154
"NE","Cherry County","General Purpose",0,0,0,176361,0,0,0
"NM","Bernalillo","General Purpose",26855870,5599622,257809,0,166865,11657258,3416181
"CA","Antelope Valley Community College District","Community College District",528793701,405832232,2179183,0,0,82739688,6374372
"CA","Yuba Community College District","Community College District",354782749,217560484,1698004,5792000,0,57083201,54667946
"TN","Copperhill","General Purpose",2729734,2312623,0,0,0,0,0
"ID","North Idaho College","Community College District",20683014,9226780,1297234,0,0,3437484,2330289
"OH","Archbold","General Purpose",5577717,2405000,0,0,995187,0,0
"NY","Jefferson Community College","Community College District",84265778,0,597069,1257813,0,5902199,71174216
"OH","Cleveland Heights-University Heights City School District","School District",317944926,0,10826877,0,0,115543284,11079440
"CT","Kent","General Purpose",2405163,389910,76226,0,1331781,0,0
"AR","Blytheville","General Purpose",1170307,2150000,719487,1261078,0,4793645,0
"OK","Seminole State College","Community College District",27764875,0,214421,12615871,0,12223870,1342996
"KS","Salina","General Purpose",188224659,78780131,3291317,0,48139008,38425996,4212498
"OH","Clear Creek Township","General Purpose",0,0,0,0,0,0,0
"OH","Brunswick","General Purpose",36350463,4543940,551296,0,518992,22287738,6549862
"MN","Deerwood","General Purpose",1556403,533000,11866,17940,0,21044,0
"OK","Central Oklahoma Transportation and Parking Authority","Special District",29807534,13805000,619848,0,0,3743721,1218728
"OH","Brooke-Hancock-Jefferson Metropolitan Planning Commission","Special District",1059543,0,0,1246,0,666346,301039
"OK","Garfield County Rural Water District No. 5","Special District",639074,49363,0,0,0,0,0
"OK","Mccurtain County Rural Water District No. 1","Special District",781273,0,0,0,0,0,0
"OH","Middletown Preparatory and Fitness Academy","Charter School",2995306,0,0,0,0,2728541,167540
"IL","McHenry County","General Purpose",81111416,2838970,5394615,348147,0,30650423,22463655
"LA","Lake Charles","General Purpose",208619422,39061093,5444998,0,14618001,72005051,8117205
"OR","Charleston Rural Fire Protection District","Special District",214427,0,0,0,85000,67037,0
"NY","Saratoga Springs","General Purpose",274497641,74047871,4488436,175456,9835936,29845366,136580430
"OK","Adair","General Purpose",955167,0,0,108061,0,0,0
"OK","Collinsville","General Purpose",624134,8395000,0,931817,84361,0,0
"CA","Ventura County Community College District","Community College District",718667785,329545727,4315321,0,0,168423163,164467776
"IL","Spoon River College District No. 534","Community College District",28200293,18327876,342065,27323,0,0,6592840
"NY","Columbia-Greene Community College","Community College District",38594691,0,244743,0,0,4108211,31006091
"NE","Nebraska Indian Community College","Community College District",880049,0,141373,0,0,0,0
"TN","Ramer","General Purpose",43771,0,0,0,0,0,0
"OK","Creek County","General Purpose",0,0,0,0,0,0,0
"OK","West Siloam Springs","General Purpose",176762,0,0,0,0,0,0
"OR","Chiloquin Agency Lake Rural Fire Protection District","Special District",468114,0,15279,0,0,135660,0
"OR","Clean Water Services of Washington County","Special District",232388978,171208183,0,0,0,39018120,1306598
"OK","Purcell","General Purpose",33860982,20190000,494417,54506,0,2135552,0
"PA","Westmoreland County","General Purpose",232320245,83722884,661839,1510484,0,57225177,26627192
"NY","Monroe Community College","Community College District",284295728,0,3726195,510634,0,27651674,229018288
"SD","Lemmon","General Purpose",2345577,0,0,0,556607,0,0
"OK","Tahlequah","General Purpose",29707275,25145150,504980,320762,0,3104324,0
"MS","East Central Community College","Community College District",40029299,7056217,264814,0,0,29818394,1539143
"OK","Watts","General Purpose",131303,0,0,0,0,0,0
"OR","Cascade Locks","General Purpose",6702085,440000,63101,0,3910645,1473629,49729
"OR","Myrtle Creek","General Purpose",10057820,0,114362,0,0,1812862,67379
"OR","Nyssa","General Purpose",9089826,4411954,0,24748,4280499,0,0
"OR","Forest Grove","General Purpose",43067431,0,1392434,0,0,31284466,1730520
"OK","Mill Creek","General Purpose",37197,0,0,0,3511,0,0
"OK","Tushka","General Purpose",0,0,0,0,0,0,0
"CO","Limon","General Purpose",3130339,1715990,12680,543352,0,531194,0
"SC","Greenwood","General Purpose",22947531,0,844162,1196274,0,17474737,1113767
"SC","Lancaster County","General Purpose",110172717,43158490,1606138,620000,0,51456686,4070482
"PA","Chambersburg Borough","General Purpose",69354747,29420000,2108866,0,0,11140603,2854668
"LA","Sixteenth Judicial District Court Judicial Expense Fund","Special District",3077516,0,0,0,0,8736,2926394
"OH","Dover","General Purpose",47747077,7231532,2637545,410,6359935,19468721,8102688
"NY","Tompkins Cortland Community College","Community College District",80046206,0,0,0,0,7038478,64884467
"LA","D'arbonne Woods Charter School Inc","Charter School",22729041,22048391,284873,0,0,0,0
"CA","San Luis Obispo County Community College District","Community College District",218101076,130178768,1758200,49002,0,68590499,1929862
"PA","Upper Southampton Township","General Purpose",9885955,1577000,229355,0,0,288843,4730648
"OH","Grandview Heights","General Purpose",49483071,18760649,1306221,0,5739501,15259984,4595849
"PA","Altoona","General Purpose",144337348,64972000,3162163,1081105,0,22891258,31855108
"SD","Brandon","General Purpose",25218039,19641821,366276,149572,0,0,0
"MO","Newton County","General Purpose",0,0,231127,727328,0,0,0
"TX","Elmendorf","General Purpose",4800449,4307369,41249,0,0,3531,29552
"SD","Custer","General Purpose",5995970,2298555,97529,0,0,0,0
"OR","Columbia Corridor Drainage Districts Joint Contracting Authority","Special District",218147,0,0,0,0,0,0
"TN","Lebanon","General Purpose",103716004,65818564,0,0,0,5239,21340712
"OH","Enoch Township","General Purpose",0,0,0,0,0,0,0
"OH","Montgomery","General Purpose",67300228,40018794,1105791,0,0,13312399,3859799
"OR","Coburg Rural Fire Protection District","Special District",299822,0,0,0,0,291489,0
"TN","Waverly","General Purpose",6631916,0,39490,0,3031706,621741,2534636
"OH","Butler Technology and Career Development Schools","School District",67989725,7797375,2469645,0,0,48993109,3417476
"CA","Chaffey Community College District","Community College District",570958328,392917318,2157912,0,0,126081553,6124509
"IL","Triton College","Community College District",93607540,44187605,1813433,62603,0,0,28536659
"NJ","Salem Community College","Community College District",9284767,3140000,283339,2043577,0,2169375,0
"NE","Northeast Community College Area","Community College District",35178545,24728877,0,0,0,0,0
"NE","Central Community College Area","Community College District",21916085,15910000,0,0,0,0,0
"IL","Western Springs","General Purpose",49118439,15095812,606256,34561,9914566,15092358,2128430
"OH","Vinton County","General Purpose",0,877150,0,0,0,6142382,4199030
"MS","Pearl River Community College","Community College District",87844850,25736653,2605744,381631,0,53552605,2883740
"AL","John C. Calhoun Community College","Community College District",93547778,31065906,1686778,0,0,38067000,11577266
"OH","Manchester","General Purpose",0,1034038,0,0,1744711,0,0
"MN","Golden Valley","General Purpose",85546982,65899939,1863057,0,280000,11121817,1655565
"OH","Riley Township","General Purpose",0,0,0,0,0,0,0
"OH","South Bloomfield Township","General Purpose",0,126500,0,0,0,0,0
"OH","St. Louisville","General Purpose",0,0,0,19681,661266,0,0
"OH","Hiram Township","General Purpose",0,0,0,0,0,0,0
"OK","Carlton Landing","General Purpose",4042334,365000,0,0,0,0,0
"OK","Antlers","General Purpose",4252821,0,40001,0,0,0,0
"NJ","Long Branch","General Purpose",150624270,67596561,0,0,0,66290477,0
"OK","Madill","General Purpose",1248464,3900,0,439958,0,0,0
"OK","Council Hill","General Purpose",2086,0,0,0,0,0,0
"OH","Green Township","General Purpose",0,189000,0,0,0,0,0
"MN","State of Minnesota","General Purpose",23927324000,8483013000,527476000,57053000,65223000,3107663000,630967000
"OH","Crawford Township","General Purpose",0,0,0,0,0,0,0
"MI","Wolverine","General Purpose",2869,0,0,0,0,0,0
"OH","Southington Township","General Purpose",0,0,0,0,386952,0,0
"NH","New Castle","General Purpose",4802289,140971,73441,0,0,1461823,165764
"NV","North Las Vegas","General Purpose",756950708,396609437,39763823,0,0,218565388,43455396
"SC","Colleton County","General Purpose",64321036,22879822,781862,1756625,0,30624282,3553380
"OH","Constellation Schools_ Old Brooklyn Community Middle","Charter School",2328673,0,0,0,238000,1805335,144258
"OH","Middleburg Heights","General Purpose",56304565,6486901,3409977,1139298,572168,26899678,9432059
"PA","Lower Merion Township","General Purpose",169225932,107383904,0,98211,0,0,32237381
"TX","Cedar Park","General Purpose",324822384,280512532,6756954,0,0,21265421,4803521
"TN","Collierville","General Purpose",163929572,127621606,2177967,2374601,0,9229465,8116311
"SC","Clarendon County","General Purpose",71670714,30097957,614652,1229356,0,20564191,17098394
"OR","Columbia County Development Agency","Special District",2487,0,0,0,0,0,0
"FL","Lake Park","General Purpose",8547667,3041891,321582,1635422,0,226395,123631
"WI","Forest County","General Purpose",12843664,0,527002,0,4510629,0,344177
"OR","Evans Valley Rural Fire Protection District","Special District",0,0,0,0,0,0,0
"OR","Eagle Valley Soil & Water Conservation District","Special District",22082,0,0,0,0,0,0
"OR","East Multnomah Soil & Water Conservation District","Special District",621673,0,137218,0,0,0,0
"OR","Junction City Rural Fire Protection District","Special District",90827,0,0,60000,0,0,0
"OR","Lincoln Soil & Water Conservation District","Special District",15550,0,0,0,10541,0,0
"CA","Water Replenishment District of Southern California","Special District",358641794,0,798109,0,0,5414574,6173851
"OR","Imbler Rural Fire Protection District","Special District",0,0,0,3758,0,0,0
"OR","West Side Rural Fire Protection District","Special District",71343,71343,0,0,0,0,0
"TX","Burleson","General Purpose",201798055,81144030,5749387,523326,0,17370100,5452777
"TX","Converse","General Purpose",33667169,17132913,475412,356842,5530000,4872750,1049492
"TX","Copperas Cove","General Purpose",97975415,83288346,1015653,0,0,6180083,1858349
"TX","Haltom","General Purpose",85837288,53048380,3274119,1777386,0,17473710,3302678
"TX","Katy","General Purpose",43048739,25921105,1851648,3485330,0,4148931,1099427
"TX","Keller","General Purpose",88080509,36186490,1703290,0,0,11779705,1980310
"TX","League City","General Purpose",330546884,272268744,7145002,0,0,20137995,10803257
"TX","Lee County","General Purpose",14122825,4550000,144766,78313,0,1130530,7584072
"TX","Missouri City","General Purpose",244213384,174904009,2800996,4175555,0,30198120,8676844
"TX","Odessa","General Purpose",341192277,187806886,11640527,0,0,96640289,17911832
"TX","Fairview","General Purpose",37899767,33062182,806434,756212,0,1104268,87087
"TX","Frisco","General Purpose",999024599,864902311,16580833,0,0,37938107,3684459
"OR","Ione Rural Fire Protection District","Special District",0,0,0,0,0,0,0
"TX","Weslaco","General Purpose",116791368,74572532,3782582,9186898,0,12849363,2893314
"OR","Molalla Rural Fire Protection District","Special District",5616547,2127995,222584,170000,0,2816623,195177
"OR","North Wasco County Parks and Recreation District","Special District",2846665,2611405,0,13636,219137,0,0
"CA","Glendale Community College District","Community College District",343114549,175242126,3673347,0,0,116716385,8994540
"OR","Crooked River Ranch Rural Fire Protection District","Special District",2202693,2195000,0,0,0,0,0
"OR","Siletz Area Enhanced Law Enforcement Services District","Special District",0,0,0,0,0,0,0
"CA","Victor Valley Wastewater Reclamation Authority","Special District",92433829,0,363965,246388,79737701,6054828,3840737
"IL","Northwest Suburban Joint Action Water Agency","Special District",71109460,65967639,0,0,0,435104,318279
"PA","Bucks County Housing Authority","Special District",1739533,0,287665,0,0,0,0
"OR","Yachats Rural Fire Protection District","Special District",9876964,8645104,33525,43996,0,902205,0
"PA","Delaware County Housing Authority","Special District",2673764,0,416549,0,0,0,0
"PA","Transportation and Motor Buses for Public Use Authority","Special District",6704616,0,0,0,0,698929,0
"OR","Vernonia Rural Fire Protection District","Special District",338707,330000,0,0,8707,0,0
"CO","Colorado Mountain College","Community College District",107559414,0,2090244,46399,322943,60977633,3309063
"UT","Harrisville","General Purpose",985487,0,109237,0,0,544799,0
"OR","Jackson County Rural Fire Protection District 4","Special District",0,0,87068,0,0,1428322,0
"UT","Bluffdale","General Purpose",12358149,10071958,180653,0,0,586668,0
"UT","Washington County","General Purpose",35868151,13715537,1807170,4190727,0,10307124,0
"UT","Washington Terrace","General Purpose",7690823,6453111,94147,0,0,328435,0
