"abbreviation","name","category","population"
"MS","Metcalfe","General Purpose","999"
"MS","of State Line","General Purpose","553"
"MS","Eupora","General Purpose","2051"
"MS","Mantee","General Purpose","220"
"MS","Walthall","General Purpose","138"
"MS","Centreville","General Purpose","1486"
"MS","Crosby","General Purpose","285"
"MS","Woodville","General Purpose","949"
"MS","Louisville","General Purpose","6279"
"MS","Noxapater","General Purpose","450"
"MS","Coffeeville","General Purpose","862"
"MS","Oakland","General Purpose","514"
"MS","Bentonia","General Purpose","422"
"MS","Eden","General Purpose","97"
"MS","Satartia","General Purpose","54"
"MS","Yazoo","General Purpose","10987"
"MO","Adair County","General Purpose","25377"
"MO","Atchison County","General Purpose","5275"
"MO","Coffey","General Purpose","165"
"MS","Polkville","General Purpose","815"
"WI","Centerville","General Purpose","619"
"MO","Dent County","General Purpose","15480"
"MO","Franklin County","General Purpose","103330"
"MO","Lafayette County","General Purpose","32641"
"MO","Gentry County","General Purpose","6665"
"MO","Iron County","General Purpose","10226"
"MO","Lincoln County","General Purpose","56183"
"MO","Pemiscot County","General Purpose","16826"
"MO","Pettis County","General Purpose","42558"
"MO","Phelps County","General Purpose","44744"
"MO","Worth County","General Purpose","2057"
"MO","Novinger","General Purpose","439"
"MO","Millard","General Purpose","86"
"MO","Amazonia","General Purpose","315"
"MO","Bolckow","General Purpose","187"
"MO","Cosby","General Purpose","123"
"MO","Fillmore","General Purpose","184"
"MO","Rea","General Purpose","51"
"MO","Rosendale","General Purpose","143"
"MO","Savannah","General Purpose","5186"
"MO","Rock Port","General Purpose","1224"
"MO","Tarkio","General Purpose","1468"
"MO","Watson","General Purpose","91"
"MO","Westboro","General Purpose","132"
"MO","Barry County","General Purpose","35668"
"MO","Callaway County","General Purpose","45032"
"MO","Taney County","General Purpose","55355"
"MO","Jackson County","General Purpose","698895"
"MO","Wright County","General Purpose","18331"
"MS","Waynesboro","General Purpose","4903"
"MO","Osage County","General Purpose","13662"
"MO","Clinton County","General Purpose","20554"
"MO","Laddonia","General Purpose","501"
"MO","Martinsburg","General Purpose","300"
"MO","Rush Hill","General Purpose","147"
"MO","Vandalia","General Purpose","4172"
"MO","Vandiver","General Purpose","70"
"MO","Benton","General Purpose","858"
"MO","Gasconade County","General Purpose","14726"
"MO","Hickory County","General Purpose","9475"
"MO","Knox County","General Purpose","3977"
"MO","Livingston County","General Purpose","15173"
"MO","Madison County","General Purpose","12243"
"MO","Perry County","General Purpose","19225"
"MO","Putnam County","General Purpose","4811"
"MO","Randolph County","General Purpose","24945"
"MO","Scott County","General Purpose","38541"
"MO","Brashear","General Purpose","262"
"MO","Fairfax","General Purpose","589"
"MO","Farber","General Purpose","316"
"MO","Arrow Point","General Purpose","86"
"MO","Butterfield","General Purpose","472"
"MO","ChainOLakes","General Purpose","129"
"MO","Emerald Beach","General Purpose","237"
"MO","Washburn","General Purpose","436"
"MO","Golden","General Purpose","728"
"MO","Lamar","General Purpose","4330"
"MO","Liberal","General Purpose","722"
"MO","Mindenmines","General Purpose","347"
"MO","Lamar Heights","General Purpose","170"
"MO","Milford","General Purpose","25"
"MO","Adrian","General Purpose","1608"
"MO","Amoret","General Purpose","182"
"MO","Amsterdam","General Purpose","231"
"MO","Butler","General Purpose","4048"
"MO","Foster","General Purpose","112"
"MO","Hume","General Purpose","319"
"MO","Merwin","General Purpose","55"
"MO","Passaic","General Purpose","32"
"MO","Rockville","General Purpose","159"
"MO","Cole Camp","General Purpose","1108"
"MO","Ionia","General Purpose","88"
"MO","Warsaw","General Purpose","2177"
"MO","Glenallen","General Purpose","85"
"MO","Marble Hill","General Purpose","1484"
"MO","Sedgewickville","General Purpose","170"
"MO","Zalma","General Purpose","90"
"MO","Ashland","General Purpose","3927"
"MO","Centralia","General Purpose","4227"
"MO","Hallsville","General Purpose","1551"
"MO","Hartsburg","General Purpose","107"
"MO","Rocheport","General Purpose","252"
"MO","Sturgeon","General Purpose","926"
"MO","Pierpont","General Purpose","80"
"MO","Huntsdale","General Purpose","33"
"MO","Clay County","General Purpose","242874"
"MO","Rushville","General Purpose","272"
"MO","Lewis and Clark","General Purpose","129"
"MO","Fisk","General Purpose","335"
"MO","Neelyville","General Purpose","474"
"MO","Qulin","General Purpose","454"
"MO","Braymer","General Purpose","853"
"MO","Breckenridge","General Purpose","359"
"MO","Cowgill","General Purpose","183"
"MO","Hamilton","General Purpose","1708"
"MO","Kidder","General Purpose","311"
"MO","Kingston","General Purpose","336"
"MO","Polo","General Purpose","541"
"MO","Fulton","General Purpose","12844"
"MO","Mokane","General Purpose","182"
"MO","New Bloomfield","General Purpose","679"
"MO","Kingdom","General Purpose","128"
"MO","Holts Summit","General Purpose","3830"
"MO","Cassville","General Purpose","3310"
"MO","Exeter","General Purpose","771"
"MO","Stoutland","General Purpose","194"
"MO","Friedenswald","General Purpose","2"
"MO","Osage Beach","General Purpose","4553"
"MO","Four Seasons","General Purpose","2272"
"MO","Raymore","General Purpose","21167"
"MO","Oak Ridge","General Purpose","241"
"MO","Pocahontas","General Purpose","114"
"MO","Whitewater","General Purpose","123"
"MO","Dutchtown","General Purpose","94"
"MO","Allenville","General Purpose","116"
"MO","Delta","General Purpose","439"
"MO","Old Appleton","General Purpose","85"
"MO","Bogard","General Purpose","156"
"MO","Bosworth","General Purpose","291"
"MO","De Witt","General Purpose","119"
"MO","Hale","General Purpose","399"
"MO","Norborne","General Purpose","660"
"MO","Tina","General Purpose","150"
"MO","Ellsinore","General Purpose","443"
"MO","Grandin","General Purpose","238"
"MO","Van Buren","General Purpose","821"
"MO","Archie","General Purpose","1206"
"MO","Cleveland","General Purpose","660"
"MO","Creighton","General Purpose","344"
"MO","East Lynne","General Purpose","303"
"MO","Freeman","General Purpose","486"
"MO","Garden","General Purpose","1629"
"MO","Gunn","General Purpose","121"
"MO","Peculiar","General Purpose","5118"
"MO","Strasburg","General Purpose","141"
"MO","Loch Lloyd","General Purpose","749"
"MO","Riverview Estates","General Purpose","85"
"MO","West Line","General Purpose","102"
"MO","Lake Annette","General Purpose","100"
"MO","Lake Winnebago","General Purpose","1170"
"MO","Carrollton","General Purpose","3541"
"MO","Nixa","General Purpose","21321"
"MO","El Dorado Springs","General Purpose","3570"
"MO","Jerico Springs","General Purpose","229"
"MO","Stockton","General Purpose","1886"
"MO","Umber View Heights","General Purpose","48"
"MO","Brunswick","General Purpose","820"
"MO","Dalton","General Purpose","16"
"MO","Keytesville","General Purpose","450"
"MO","Mendon","General Purpose","162"
"MO","Rothville","General Purpose","95"
"MO","Sumner","General Purpose","98"
"MO","Triplett","General Purpose","39"
"MO","Billings","General Purpose","1092"
"MO","Clever","General Purpose","2668"
"MO","Saddlebrooke","General Purpose","239"
"MO","Highlandville","General Purpose","1008"
"MO","Gordonville","General Purpose","392"
"MO","Kahoka","General Purpose","1999"
"MO","Luray","General Purpose","93"
"MO","Urbana","General Purpose","414"
"MO","Revere","General Purpose","74"
"MO","Wayland","General Purpose","495"
"MO","Wyaconda","General Purpose","209"
"MO","Avondale","General Purpose","453"
"MO","Birmingham","General Purpose","198"
"MO","Centertown","General Purpose","284"
"MO","Claycomo","General Purpose","1488"
"MO","Oakwood Park","General Purpose","195"
"MO","Randolph","General Purpose","54"
"MO","Holt","General Purpose","472"
"MO","Kearney","General Purpose","10049"
"MO","North Kansas","General Purpose","4505"
"MO","Oakwood","General Purpose","194"
"MO","Prathersville","General Purpose","128"
"MO","Oaks","General Purpose","133"
"MO","Oakview","General Purpose","388"
"MO","Glenaire","General Purpose","573"
"MO","Pleasant Valley","General Purpose","3043"
"MO","Cameron","General Purpose","9761"
"MO","Gower","General Purpose","1482"
"MO","Plattsburg","General Purpose","2269"
"MO","Trimble","General Purpose","627"
"MO","Turney","General Purpose","147"
"MO","Lohman","General Purpose","167"
"MO","Russellville","General Purpose","820"
"MO","Wardsville","General Purpose","1550"
"MO","St Thomas","General Purpose","277"
"MO","St Martins","General Purpose","1177"
"MO","Taos","General Purpose","1144"
"MO","Blackwater","General Purpose","158"
"MO","Bunceton","General Purpose","353"
"MO","Jefferson","General Purpose","42895"
"MO","Otterville","General Purpose","450"
"MO","Prairie Home","General Purpose","279"
"MO","Wooldridge","General Purpose","61"
"MO","Windsor Place","General Purpose","331"
"MO","Bourbon","General Purpose","1601"
"MO","Cuba","General Purpose","3307"
"MO","Leasburg","General Purpose","327"
"MO","Steelville","General Purpose","1672"
"MO","West Sullivan","General Purpose","115"
"MO","St Cloud","General Purpose","40"
"MO","Dadeville","General Purpose","224"
"MO","Everton","General Purpose","306"
"MO","Greenfield","General Purpose","1316"
"MO","Lockwood","General Purpose","898"
"MO","South Greenfield","General Purpose","85"
"MO","Arcola","General Purpose","53"
"MO","Louisburg","General Purpose","121"
"MO","Altamont","General Purpose","203"
"MO","Jamesport","General Purpose","519"
"MO","Lock Springs","General Purpose","57"
"MO","Parkway","General Purpose","444"
"MO","Winston","General Purpose","255"
"MO","Amity","General Purpose","52"
"MO","Clarksdale","General Purpose","261"
"MO","Maysville","General Purpose","1073"
"MO","Osborn","General Purpose","410"
"MO","Stewartsville","General Purpose","736"
"MO","Union Star","General Purpose","417"
"MO","Weatherby","General Purpose","104"
"MO","Salem","General Purpose","4916"
"MO","Ava","General Purpose","2896"
"MO","Arbyrd","General Purpose","477"
"MO","Campbell","General Purpose","1874"
"MO","Cardwell","General Purpose","665"
"MO","Clarkton","General Purpose","1201"
"MO","Holcomb","General Purpose","597"
"MO","Hornersville","General Purpose","619"
"MO","Malden","General Purpose","3983"
"MO","Rives","General Purpose","59"
"MO","Berger","General Purpose","221"
"MO","Gerald","General Purpose","1315"
"MO","Leslie","General Purpose","169"
"MO","Pacific","General Purpose","7211"
"MO","St Clair","General Purpose","4704"
"MO","Jameson","General Purpose","132"
"MO","Charmwood","General Purpose","31"
"MO","Gasconade","General Purpose","216"
"MO","Hermann","General Purpose","2340"
"MO","Morrison","General Purpose","133"
"MO","Owensville","General Purpose","2589"
"MO","Rosebud","General Purpose","406"
"MO","Darlington","General Purpose","120"
"MO","Gentry","General Purpose","71"
"MO","King","General Purpose","1003"
"MO","Mcfall","General Purpose","91"
"MO","Kennett","General Purpose","10399"
"MO","Union","General Purpose","11524"
"MO","Ash Grove","General Purpose","1451"
"MO","Willard","General Purpose","5426"
"MO","Strafford","General Purpose","2399"
"MO","Battlefield","General Purpose","6138"
"MO","Fair Grove","General Purpose","1463"
"MO","Brimson","General Purpose","61"
"MO","Galt","General Purpose","244"
"MO","Laredo","General Purpose","191"
"MO","Spickard","General Purpose","245"
"MO","Tindall","General Purpose","75"
"MO","Blythedale","General Purpose","184"
"MO","Oak Grove","General Purpose","8112"
"MO","Bland","General Purpose","516"
"MO","Walnut Grove","General Purpose","789"
"MO","Eagleville","General Purpose","302"
"MO","Blue Springs","General Purpose","54945"
"MO","Gilman","General Purpose","364"
"MO","Mount Moriah","General Purpose","82"
"MO","New Hampton","General Purpose","276"
"MO","Ridgeway","General Purpose","439"
"MO","Blairstown","General Purpose","94"
"MO","Brownington","General Purpose","103"
"MO","Deepwater","General Purpose","414"
"MO","Urich","General Purpose","487"
"MO","Windsor","General Purpose","2781"
"MO","Tightwad","General Purpose","67"
"MO","Cross Timbers","General Purpose","212"
"MO","Hermitage","General Purpose","461"
"MO","Preston","General Purpose","219"
"MO","Weaubleau","General Purpose","410"
"MO","Wheatland","General Purpose","366"
"MO","Bigelow","General Purpose","24"
"MO","Corning","General Purpose","13"
"MO","Craig","General Purpose","222"
"MO","Forest","General Purpose","247"
"MO","Fortescue","General Purpose","29"
"MO","Maitland","General Purpose","306"
"MO","Mound","General Purpose","1042"
"MO","Oregon","General Purpose","765"
"MO","Big Lake","General Purpose","145"
"MO","Armstrong","General Purpose","281"
"MO","Franklin","General Purpose","95"
"MO","Glasgow","General Purpose","1096"
"MO","Mountain View","General Purpose","2655"
"MO","Willow Springs","General Purpose","2120"
"MO","Brandsville","General Purpose","155"
"MO","Arcadia","General Purpose","575"
"MO","Ironton","General Purpose","1398"
"MO","Pilot Knob","General Purpose","721"
"MO","Annapolis","General Purpose","343"
"MO","Des Arc","General Purpose","166"
"MO","Viburnum","General Purpose","668"
"MO","Buckner","General Purpose","3056"
"MO","Springfield","General Purpose","167376"
"MO","Stanberry","General Purpose","1187"
"MO","Trenton","General Purpose","5824"
"MO","Clinton","General Purpose","8911"
"MO","Carterville","General Purpose","1916"
"MO","Carthage","General Purpose","14350"
"MO","Jasper","General Purpose","941"
"MO","La Russell","General Purpose","114"
"MO","Neck","General Purpose","190"
"MO","Oronogo","General Purpose","2553"
"MO","Purcell","General Purpose","414"
"MO","Cainsville","General Purpose","275"
"MO","Waco","General Purpose","88"
"MO","Duenweg","General Purpose","1350"
"MO","Brooklyn Heights","General Purpose","102"
"MO","Fidelity","General Purpose","260"
"MO","Carytown","General Purpose","274"
"MO","Hillsboro","General Purpose","3134"
"MO","Kimmswick","General Purpose","152"
"MO","Lake Tekakwitha","General Purpose","259"
"MO","Peaceful","General Purpose","9"
"MO","Byrnes Mill","General Purpose","2986"
"MO","Scotsdale","General Purpose","223"
"MO","Olympian","General Purpose","760"
"MO","Herculaneum","General Purpose","3987"
"MO","Cedar Hill Lakes","General Purpose","236"
"MO","Chilhowee","General Purpose","319"
"MO","Holden","General Purpose","2235"
"MO","Kingsville","General Purpose","261"
"MO","Knob Noster","General Purpose","2757"
"MO","Leeton","General Purpose","554"
"MO","Lebanon","General Purpose","14611"
"MO","Baring","General Purpose","126"
"MO","Hurdland","General Purpose","158"
"MO","Knox","General Purpose","207"
"MO","Newark","General Purpose","91"
"MO","Novelty","General Purpose","132"
"MO","Conway","General Purpose","775"
"MO","Phillipsburg","General Purpose","199"
"MO","Evergreen","General Purpose","28"
"MO","Alma","General Purpose","386"
"MO","Aullville","General Purpose","97"
"MO","Concordia","General Purpose","2373"
"MO","Corder","General Purpose","399"
"MO","Dover","General Purpose","102"
"MO","Higginsville","General Purpose","4628"
"MO","Mayview","General Purpose","208"
"MO","Napoleon","General Purpose","213"
"MO","Wellington","General Purpose","797"
"MO","Lake Lafayette","General Purpose","331"
"MO","Aurora","General Purpose","7481"
"MO","Freistatt","General Purpose","162"
"MO","Marionville","General Purpose","2191"
"MO","Miller","General Purpose","687"
"MO","Pierce","General Purpose","1301"
"MO","Webb","General Purpose","11334"
"MO","Arnold","General Purpose","21113"
"MO","Canton","General Purpose","2340"
"MO","Ewing","General Purpose","445"
"MO","La Belle","General Purpose","641"
"MO","Clarksburg","General Purpose","343"
"MO","Reeds","General Purpose","98"
"MO","Foley","General Purpose","167"
"MO","Moscow Mills","General Purpose","2932"
"MO","Old Monroe","General Purpose","280"
"MO","Silex","General Purpose","283"
"MO","FountainNLake","General Purpose","174"
"MO","ChainRocks","General Purpose","96"
"MO","Truxton","General Purpose","94"
"MO","Whiteside","General Purpose","78"
"MO","Cave","General Purpose","5"
"MO","Brookfield","General Purpose","4321"
"MO","Bucklin","General Purpose","445"
"MO","Laclede","General Purpose","331"
"MO","Linneus","General Purpose","265"
"MO","Meadville","General Purpose","442"
"MO","Purdin","General Purpose","181"
"MO","Chillicothe","General Purpose","9668"
"MO","Chula","General Purpose","203"
"MO","Ludlow","General Purpose","128"
"MO","Mooresville","General Purpose","88"
"MO","Wheeling","General Purpose","264"
"MO","Utica","General Purpose","252"
"MO","Anderson","General Purpose","1977"
"MO","Goodman","General Purpose","1245"
"MO","Lanagan","General Purpose","417"
"MO","Noel","General Purpose","1817"
"MO","Pineville","General Purpose","791"
"MO","Southwest","General Purpose","953"
"MO","Ginger Blue","General Purpose","60"
"MO","Jane","General Purpose","308"
"MO","Atlanta","General Purpose","375"
"MO","Bevier","General Purpose","701"
"MO","Elmer","General Purpose","78"
"MO","Ethel","General Purpose","61"
"MO","South Gifford","General Purpose","49"
"MO","Fredericktown","General Purpose","4009"
"MO","Marquand","General Purpose","203"
"MO","Cobalt","General Purpose","226"
"MO","Junction","General Purpose","326"
"MO","Belle","General Purpose","1497"
"MO","Vienna","General Purpose","591"
"MO","Palmyra","General Purpose","3600"
"MO","Mercer","General Purpose","309"
"MO","Princeton","General Purpose","1119"
"IA","South Lineville","General Purpose","27"
"MO","Bagnell","General Purpose","96"
"MO","Brumley","General Purpose","94"
"MO","Eldon","General Purpose","4623"
"MO","Olean","General Purpose","129"
"MO","Tuscumbia","General Purpose","203"
"MO","St Elizabeth","General Purpose","339"
"MO","Charleston","General Purpose","5636"
"MO","East Prairie","General Purpose","3063"
"MO","Wyatt","General Purpose","293"
"MO","Paris","General Purpose","1173"
"MO","Stoutsville","General Purpose","46"
"MO","Bellflower","General Purpose","362"
"MO","High Hill","General Purpose","177"
"MO","Jonesburg","General Purpose","712"
"MO","Mckittrick","General Purpose","56"
"MO","Middletown","General Purpose","151"
"MO","Montgomery","General Purpose","2654"
"MO","Rhineland","General Purpose","130"
"MO","Barnett","General Purpose","196"
"MO","Stover","General Purpose","1067"
"MO","Syracuse","General Purpose","168"
"MO","Gravois Mills","General Purpose","142"
"MO","Laurie","General Purpose","936"
"MO","Canalou","General Purpose","310"
"MO","Catron","General Purpose","62"
"MO","Gideon","General Purpose","998"
"MO","Lilbourn","General Purpose","1095"
"MO","Marston","General Purpose","462"
"MO","Matthews","General Purpose","609"
"MO","Morehouse","General Purpose","891"
"MO","New Madrid","General Purpose","2901"
"MO","Parma","General Purpose","639"
"MO","Risco","General Purpose","319"
"MO","North Lilbourn","General Purpose","45"
"MO","Tallapoosa","General Purpose","154"
"MO","Howardville","General Purpose","350"
"MO","Diamond","General Purpose","925"
"MO","Fairview","General Purpose","380"
"MO","Granby","General Purpose","2104"
"MO","Newtonia","General Purpose","196"
"MO","Ritchey","General Purpose","81"
"MO","Seneca","General Purpose","2383"
"MO","Stark","General Purpose","137"
"MO","Stella","General Purpose","156"
"MO","Wentworth","General Purpose","145"
"MO","Loma Linda","General Purpose","779"
"MO","Cliff","General Purpose","39"
"MO","Saginaw","General Purpose","302"
"MO","Redings Mill","General Purpose","149"
"MO","Leawood","General Purpose","671"
"MO","Dennis Acres","General Purpose","75"
"MO","Shoal Creek Estates","General Purpose","95"
"MO","Arkoe","General Purpose","63"
"MO","Barnard","General Purpose","206"
"MO","Burlington Junction","General Purpose","498"
"MO","Clearmont","General Purpose","158"
"MO","Clyde","General Purpose","76"
"MO","Conception Junction","General Purpose","185"
"MO","Elmo","General Purpose","157"
"MO","Graham","General Purpose","159"
"MO","Guilford","General Purpose","79"
"MO","Hopkins","General Purpose","494"
"MO","Fair Play","General Purpose","476"
"MO","Lupus","General Purpose","34"
"MO","Pickering","General Purpose","147"
"MO","Ravenwood","General Purpose","408"
"MO","Linn","General Purpose","1509"
"MO","Meta","General Purpose","224"
"MO","Westphalia","General Purpose","385"
"MO","Gainesville","General Purpose","732"
"MO","Bakersfield","General Purpose","231"
"MO","Theodosia","General Purpose","261"
"MO","Holland","General Purpose","210"
"MO","Steele","General Purpose","2012"
"MO","Cooter","General Purpose","430"
"MO","Bragg","General Purpose","137"
"MO","Hayti Heights","General Purpose","570"
"MO","Pascola","General Purpose","101"
"MO","Altenburg","General Purpose","341"
"MO","Frohna","General Purpose","251"
"MO","Longtown","General Purpose","101"
"MO","Perryville","General Purpose","8460"
"MO","Green Ridge","General Purpose","496"
"MO","Houstonia","General Purpose","221"
"MO","La Monte","General Purpose","1137"
"MO","Smithton","General Purpose","568"
"MO","Hughesville","General Purpose","184"
"MO","Doolittle","General Purpose","606"
"MO","Newburg","General Purpose","439"
"MO","St James","General Purpose","4079"
"MO","Edgar Springs","General Purpose","196"
"MO","Clarksville","General Purpose","437"
"MO","Curryville","General Purpose","227"
"MO","Louisiana","General Purpose","3291"
"MO","Annada","General Purpose","29"
"MO","Eolia","General Purpose","519"
"MO","Paynesville","General Purpose","76"
"MO","Camden Point","General Purpose","546"
"MO","Dearborn","General Purpose","521"
"MO","Edgerton","General Purpose","603"
"MO","Ferrelview","General Purpose","798"
"MO","Houston Lake","General Purpose","245"
"MO","Lake Waukomis","General Purpose","924"
"MO","Northmoor","General Purpose","344"
"MO","Platte","General Purpose","4944"
"MO","Platte Woods","General Purpose","404"
"MO","Riverside","General Purpose","3354"
"MO","Tracy","General Purpose","238"
"MO","Weston","General Purpose","1784"
"MO","Farley","General Purpose","291"
"MO","Iatan","General Purpose","52"
"MO","Ridgely","General Purpose","113"
"MO","Aldrich","General Purpose","80"
"MO","Maryville","General Purpose","11757"
"MO","Parnell","General Purpose","177"
"MO","Half Way","General Purpose","173"
"MO","Crocker","General Purpose","1034"
"MO","Dixon","General Purpose","1445"
"MO","Richland","General Purpose","1774"
"MO","Center","General Purpose","506"
"MO","St Robert","General Purpose","5773"
"MO","Caruthersville","General Purpose","5702"
"MO","Centerville","General Purpose","181"
"MO","Livonia","General Purpose","71"
"MO","Powersville","General Purpose","58"
"MO","Lucerne","General Purpose","80"
"MO","Worthington","General Purpose","78"
"MO","Homestead","General Purpose","181"
"MO","Perry","General Purpose","694"
"MO","Rensselaer","General Purpose","229"
"MO","Cairo","General Purpose","285"
"MO","Clark","General Purpose","291"
"MO","Clifton Hill","General Purpose","111"
"MO","Higbee","General Purpose","552"
"MO","Huntsville","General Purpose","1519"
"MO","Jacksonville","General Purpose","146"
"MO","Renick","General Purpose","168"
"MO","Elmira","General Purpose","48"
"MO","Hardin","General Purpose","538"
"MO","Henrietta","General Purpose","357"
"MO","Orrick","General Purpose","806"
"MO","Richmond","General Purpose","5655"
"MO","Crystal Lakes","General Purpose","343"
"MO","Excelsior Estates","General Purpose","145"
"MO","Wood Heights","General Purpose","687"
"MO","Fleming","General Purpose","125"
"MO","Ellington","General Purpose","930"
"MO","Bunker","General Purpose","390"
"MO","Naylor","General Purpose","606"
"MO","Augusta","General Purpose","256"
"MO","Portage Des Sioux","General Purpose","331"
"MO","West Alton","General Purpose","530"
"MO","Weldon Spring","General Purpose","5578"
"MO","Doniphan","General Purpose","1933"
"MO","Flint Hill","General Purpose","539"
"MO","Josephville","General Purpose","449"
"MO","New Melle","General Purpose","494"
"MO","Cottleville","General Purpose","5253"
"MO","Foristell","General Purpose","571"
"MO","Weldon Spring Heights","General Purpose","91"
"MO","St Paul","General Purpose","2295"
"MO","Appleton","General Purpose","1072"
"MO","Collins","General Purpose","152"
"MO","Lowry","General Purpose","614"
"MO","Vista","General Purpose","51"
"MO","Gerster","General Purpose","24"
"MO","Humansville","General Purpose","1048"
"MO","Desloge","General Purpose","4886"
"MO","Park Hills","General Purpose","8557"
"MO","Leadington","General Purpose","579"
"MO","Leadwood","General Purpose","1173"
"MO","Bella Villa","General Purpose","737"
"MO","Kirkwood","General Purpose","27653"
"MO","St. Peters","General Purpose","57178"
"MO","Florissant","General Purpose","51443"
"MO","Bellerive","General Purpose","189"
"MO","Bel Nor","General Purpose","1459"
"MO","Bel Ridge","General Purpose","2669"
"MO","Norwood Court","General Purpose","958"
"MO","Berkeley","General Purpose","8920"
"MO","Calverton Park","General Purpose","1278"
"MO","Beverly Hills","General Purpose","559"
"MO","Glen Echo Park","General Purpose","158"
"MO","Breckenridge Hills","General Purpose","4628"
"MO","Overland","General Purpose","15708"
"MO","Brentwood","General Purpose","7998"
"MO","Creve Coeur","General Purpose","18702"
"MO","Charlack","General Purpose","1360"
"MO","Clarkson Valley","General Purpose","2613"
"MO","Cool Valley","General Purpose","1167"
"MO","Country Life Acres","General Purpose","73"
"MO","Dellwood","General Purpose","4980"
"MO","Edmundson","General Purpose","831"
"MO","Ellisville","General Purpose","9770"
"MO","Flordell Hills","General Purpose","804"
"MO","Frontenac","General Purpose","3581"
"MO","Glendale","General Purpose","5886"
"MO","Grantwood","General Purpose","860"
"MO","Greendale","General Purpose","645"
"MO","Hanley Hills","General Purpose","2103"
"MO","Hillsdale","General Purpose","1556"
"MO","Huntleigh","General Purpose","341"
"MO","Crestwood","General Purpose","11870"
"MO","Kinloch","General Purpose","292"
"MO","Lakeshire","General Purpose","1401"
"MO","Mackenzie","General Purpose","133"
"MO","Marlborough","General Purpose","2177"
"MO","Moline Acres","General Purpose","2390"
"MO","Normandy","General Purpose","4900"
"MO","Northwoods","General Purpose","4127"
"MO","Oakland","General Purpose","1370"
"MO","Olivette","General Purpose","7832"
"MO","Roscoe","General Purpose","118"
"MO","Richmond Heights","General Purpose","8369"
"MO","Riverview","General Purpose","2782"
"MO","Rock Hill","General Purpose","4603"
"MO","St Johns","General Purpose","6365"
"MO","Marshall","General Purpose","12708"
"MO","Shrewsbury","General Purpose","6123"
"MO","Pine Lawn","General Purpose","3573"
"MO","Sycamore Hills","General Purpose","662"
"MO","Clayton","General Purpose","16805"
"MO","Manchester","General Purpose","18112"
"MO","Des Peres","General Purpose","8573"
"MO","Bridgeton","General Purpose","11648"
"MO","Vinita Park","General Purpose","1869"
"MO","Twin Oaks","General Purpose","393"
"MO","Velda","General Purpose","1383"
"MO","Uplands Park","General Purpose","441"
"MO","Velda Hills","General Purpose","1045"
"MO","Wilbur Park","General Purpose","470"
"MO","Warson Woods","General Purpose","1921"
"MO","Wellston","General Purpose","2286"
"MO","Westwood","General Purpose","278"
"MO","Winchester","General Purpose","1519"
"MO","Woodson Terrace","General Purpose","4036"
"MO","Champ","General Purpose","13"
"MO","Black Jack","General Purpose","6927"
"MO","Ste Genevieve","General Purpose","4440"
"MO","St Mary","General Purpose","348"
"MO","Bloomsdale","General Purpose","547"
"MO","Blackburn","General Purpose","239"
"MO","Gilliam","General Purpose","191"
"MO","Grand Pass","General Purpose","64"
"MO","Malta Bend","General Purpose","240"
"MO","Miami","General Purpose","170"
"MO","Mount Leonard","General Purpose","84"
"MO","Nelson","General Purpose","186"
"MO","Slater","General Purpose","1776"
"MO","Sweet Springs","General Purpose","1425"
"MO","Emma","General Purpose","233"
"MO","Downing","General Purpose","340"
"MO","Glenwood","General Purpose","200"
"MO","Greentop","General Purpose","447"
"MO","Lancaster","General Purpose","740"
"MO","Queen","General Purpose","606"
"MO","Arbela","General Purpose","42"
"MO","South Gorin","General Purpose","92"
"MO","Granger","General Purpose","35"
"MO","Rutledge","General Purpose","111"
"MO","Blodgett","General Purpose","206"
"MO","Commerce","General Purpose","65"
"MO","Diehlstadt","General Purpose","156"
"MO","Kelso","General Purpose","593"
"WI","Manitowoc Rapids","General Purpose","2102"
"MO","Pagedale","General Purpose","3294"
"MO","Morley","General Purpose","679"
"MO","Oran","General Purpose","1246"
"MO","Vanduser","General Purpose","264"
"MO","Scott","General Purpose","4496"
"MO","Haywood","General Purpose","199"
"MO","Lambert","General Purpose","34"
"MO","Birch Tree","General Purpose","656"
"MO","Eminence","General Purpose","584"
"MO","Winona","General Purpose","1304"
"MO","Bethel","General Purpose","115"
"MO","Hunnewell","General Purpose","174"
"MO","Leonard","General Purpose","58"
"MO","Shelbina","General Purpose","1614"
"MO","Shelbyville","General Purpose","521"
"MO","Maryland Heights","General Purpose","26996"
"MO","Bernie","General Purpose","1911"
"MO","Dexter","General Purpose","7844"
"MO","Dudley","General Purpose","225"
"MO","Essex","General Purpose","459"
"MO","Puxico","General Purpose","855"
"MO","Penermon","General Purpose","62"
"MO","Crane","General Purpose","1362"
"MO","Galena","General Purpose","432"
"MO","Hurley","General Purpose","176"
"MO","Mccord Bend","General Purpose","293"
"MO","Coney Island","General Purpose","72"
"MO","Indian Point","General Purpose","521"
"MO","Kimberling","General Purpose","2323"
"MO","Branson West","General Purpose","453"
"MO","Greencastle","General Purpose","254"
"MO","Harris","General Purpose","57"
"MO","Humphreys","General Purpose","110"
"MO","Milan","General Purpose","1819"
"MO","Newtown","General Purpose","168"
"MO","Osgood","General Purpose","45"
"MO","Pollock","General Purpose","83"
"MO","Forsyth","General Purpose","2426"
"MO","Hollister","General Purpose","4541"
"MO","Rockaway Beach","General Purpose","862"
