"abbreviation","name","category","population"
"MI","Macon Township","General Purpose",1454
"MI","Mason Township","General Purpose",2927
"MI","Locke Township","General Purpose",1830
"MI","Marion Township","General Purpose",1569
"MI","Merritt Township","General Purpose",1390
"MI","Logan Township","General Purpose",534
"MI","Metamora Township","General Purpose",4275
"MI","Medina Township","General Purpose",1099
"MI","Mills Township","General Purpose",4147
"MI","Minden Township","General Purpose",514
"MI","Mitchell Township","General Purpose",334
"MI","Moffatt Township","General Purpose",1127
"MI","Mckinley Township","General Purpose",420
"MI","Meyer Township","General Purpose",962
"TX","San Jacinto County","General Purpose",28270
"IA","Clarksville Community School District","General Purpose",1372
"OH","Grand Prairie Township","General Purpose",1523
"TX","Natalia","General Purpose",1548
"NH","Hampton","General Purpose",15491
"NE","Arcadia","General Purpose",307
"PA","Patton Township","General Purpose",16038
"PA","Schwenksville Borough","General Purpose",1393
"PA","Susquehanna Township","General Purpose",968
"WI","Portage County","General Purpose",70474
"TX","Horizon City","General Purpose",19562
"MI","Foster Township","General Purpose",813
"MI","Monroe Township","General Purpose",317
"MI","Orange Township","General Purpose",1271
"IL","Troy Township","General Purpose",47729
"IA","Muscatine County","General Purpose",42880
"TX","Rio Grande City","General Purpose",14518
"NC","Cornelius","General Purpose",29191
"KY","Taylor County","General Purpose",25472
"ID","Elmore County","General Purpose",26823
"KY","Bell County","General Purpose",26894
"KY","Meade County","General Purpose",28154
"KS","Leawood","General Purpose",34659
"KY","Woodford County","General Purpose",26368
"MI","Benzonia Township","General Purpose",2723
"MI","Berrien Township","General Purpose",5031
"MI","Elmira Township","General Purpose",1715
"MI","Greenwood Township","General Purpose",596
"MI","Jonesfield Township","General Purpose",1580
"MI","Jordan Township","General Purpose",983
"MI","Juniata Township","General Purpose",1488
"MI","Lovells Township","General Purpose",613
"MA","Lexington","General Purpose",33727
"KS","Lyon County","General Purpose",33392
"NM","Cibola County","General Purpose",26853
"NY","Chili","General Purpose",28812
"WA","Asotin County","General Purpose",22535
"AL","Pelham","General Purpose",23493
"ID","Meridian","General Purpose",99926
"IL","Grisham Township","General Purpose",600
"AR","Forrest","General Purpose",14291
"WI","Sun Prairie","General Purpose",2455
"IL","Carmi","General Purpose",4971
"OH","Shelby County","General Purpose",48759
"MN","Ashley Township","General Purpose",270
"WI","Fitchburg","General Purpose",29485
"WI","Watertown","General Purpose",2035
"PA","Upper Merion Township","General Purpose",30374
"KY","Elizabethtown","General Purpose",30023
"MN","Chaska","General Purpose",26561
"MN","Wakefield Township","General Purpose",2896
"AL","Albertville","General Purpose",21392
"AL","Trussville","General Purpose",21827
"NJ","Bernards Township","General Purpose",27061
"NY","St. Lawrence County","General Purpose",109623
"KS","Seward County","General Purpose",22159
"IL","Kankakee","General Purpose",26216
"NJ","Lacey Township","General Purpose",28819
"NE","Humphrey","General Purpose",806
"VA","James City County","General Purpose",75524
"IN","New Amsterdam","General Purpose",28
"IL","Kenilworth","General Purpose",2520
"MN","Dollymount Township","General Purpose",73
"IL","Centralia","General Purpose",12452
"CT","Danbury","General Purpose",85246
"IL","Lyons","General Purpose",10585
"IL","Macedonia","General Purpose",61
"MN","Wolverton Township","General Purpose",124
"NJ","Allentown Borough","General Purpose",1811
"NY","Fishkill","General Purpose",23565
"NY","Grand Island","General Purpose",21351
"MA","Acton","General Purpose",23549
"NJ","Vernon Township","General Purpose",22239
"OR","Antelope","General Purpose",49
"IL","Chicago Ridge","General Purpose",14186
"NY","Hyde Park","General Purpose",21113
"IA","Bremer County","General Purpose",24911
"IL","Melrose Park","General Purpose",25197
"NJ","Monmouth County","General Purpose",626351
"SC","Tega Cay","General Purpose",10339
"MA","Yarmouth","General Purpose",23339
"MS","Bolivar County","General Purpose",31945
"IL","Bond County","General Purpose",16948
"MT","Sanders County","General Purpose",11711
"MS","Claiborne County","General Purpose",8950
"WA","Prosser","General Purpose",6264
"GA","Perry","General Purpose",16684
"NJ","Parsippany-Troy Hills Township","General Purpose",53201
"PA","Lower Southampton Township","General Purpose",19192
"PA","West Whiteland Township","General Purpose",18385
"NJ","Jefferson Township","General Purpose",21368
"OK","Breckenridge","General Purpose",250
"MS","Jackson County","General Purpose",142152
"OH","Sidney","General Purpose",20614
"SC","Hardeeville","General Purpose",5967
"IL","Hadley Township","General Purpose",254
"IL","Evanston","General Purpose",74756
"NY","Penfield","General Purpose",37460
"IA","Washington County","General Purpose",22281
"IL","Moultrie County","General Purpose",14688
"OK","Bessie","General Purpose",175
"IL","Hodgkins","General Purpose",1897
"NJ","Nutley Township","General Purpose",28928
"MS","Warren County","General Purpose",46768
"NE","Guide Rock","General Purpose",206
"IN","Salt Creek Township","General Purpose",1617
"MS","Winstonville","General Purpose",175
"ME","Cape Elizabeth","General Purpose",9313
"IL","Murphysboro","General Purpose",7568
"AR","Lafayette County","General Purpose",6862
"MI","St. Ignace","General Purpose",2326
"MS","Belzoni","General Purpose",1975
"MS","Prentiss","General Purpose",960
"MI","Manistique Township","General Purpose",1042
"MS","Walnut Grove","General Purpose",1609
"KS","Finney County","General Purpose",37084
"NJ","Princeton","General Purpose",31822
"ME","Durham","General Purpose",3950
"OK","Bromide","General Purpose",165
"MS","Magnolia","General Purpose",2283
"NE","Hemingford","General Purpose",781
"MS","Tishomingo","General Purpose",334
"GA","Cusseta (Chattahoochee County)","General Purpose",10343
"ND","New Rockford","General Purpose",1356
"AR","Calhoun County","General Purpose",5247
"OK","Burns Flat","General Purpose",1939
"NJ","Union Township","General Purpose",59327
"MI","Silver Creek Township (Cass County)","General Purpose",3139
"IL","Alexander County","General Purpose",6315
"NE","Peru","General Purpose",760
"MN","Brooten","General Purpose",745
"MO","Johnson County","General Purpose",53897
"MN","Mankato Economic Development Authority","Special District",42264
"MI","Alcona County","General Purpose",10351
"IL","East Dubuque","General Purpose",1606
"MO","Warren County","General Purpose",34373
"GA","East Dublin","General Purpose",2355
"NY","Chautauqua County","General Purpose",129046
"MS","Grenada County","General Purpose",21087
"MI","Arenac County","General Purpose",15045
"MN","Coon Rapids","General Purpose",62656
"MI","Orchard Lake","General Purpose",2455
"MO","Sunrise Beach","General Purpose",485
"NV","Lyon County","General Purpose",54122
"WI","Clayton","General Purpose",4160
"MO","Cape Girardeau","General Purpose",39151
"NY","Colonie","General Purpose",83508
"NV","Elko County","General Purpose",52649
"WI","Winneconne","General Purpose",2474
"MI","Iron County","General Purpose",11124
"MN","Eveleth","General Purpose",3622
"MO","Harrisonville","General Purpose",10103
"AR","Heber Springs","General Purpose",6967
"AR","Lavaca","General Purpose",2444
"MO","Fremont Hills","General Purpose",893
"NY","Huntington","General Purpose",203276
"NC","Jackson","General Purpose",466
"IA","Decorah","General Purpose",7701
"OH","Johnstown","General Purpose",5002
"IL","Highland Park","General Purpose",29767
"NY","Cortlandt","General Purpose",42967
"WI","Milwaukee County","General Purpose",952085
"AR","Lee County","General Purpose",9176
"MO","Buffalo","General Purpose",3060
"MD","Montgomery County","General Purpose",1058810
"NE","Kimball","General Purpose",2361
"NE","Lavista","General Purpose",17116
"GA","Camak","General Purpose",123
"GA","Gibson","General Purpose",651
"MO","Bates","General Purpose",217
"MO","Lexington","General Purpose",4555
"MO","New Florence","General Purpose",713
"MO","Wellsville","General Purpose",1142
"MO","Koshkonong","General Purpose",201
"IL","St. Jacob","General Purpose",1230
"KS","Franklin County","General Purpose",25733
"PA","Chestnuthill Township","General Purpose",16775
"IN","Lawrence Township","General Purpose",125145
"ND","Stutsman County","General Purpose",21087
"PA","Manchester Township","General Purpose",18553
"PA","Upper Allen Township","General Purpose",19857
"PA","Muhlenberg Township","General Purpose",20224
"PA","West Chester Borough","General Purpose",20060
"NJ","Freehold Borough","General Purpose",11894
"NE","McCool Junction","General Purpose",426
"PA","Lower Allen Township","General Purpose",19338
"SC","Hanahan","General Purpose",24885
"NY","Southold","General Purpose",22284
"NJ","Bridgeton","General Purpose",24505
"MO","Bowling Green","General Purpose",5545
"WI","Menasha","General Purpose",17748
"NJ","West Deptford Township","General Purpose",21248
"MO","Weatherby Lake","General Purpose",1993
"MO","Pleasant Hope","General Purpose",615
"MO","Waynesville","General Purpose",5230
"PA","College Township","General Purpose",10245
"IA","Buchanan County","General Purpose",21202
