state,acfrs_original_name,nces_original_name,gov_unit_original_name,name,ncesid,censusid,county_nces,city_nces,student
MI, Brimley Area Schools ,Brimley Area Schools,brimley area schools,brimley area schools,2606900,23501701500000,Chippewa County,BRIMLEY,537.00000
MI, Britton Deerfield Schools ,Britton Deerfield Schools,britton deerfield schools,britton deerfield schools,2606930,23504601000000,Lenawee County,BRITTON,487.00000
MI, Brown City Community Schools ,Brown City Community Schools,brown city community schools,brown city community schools,2607040,23507600900000,Sanilac County,Brown City,761.00000
MI, Bullock Creek School District ,Bullock Creek School District,bullock creek sch dist,bullock creek,2607320,23505650100000,Midland County,MIDLAND,1874.00000
MI, Byron Area Schools ,Byron Area Schools,byron area schools,byron area schools,2607530,23507800600000,Shiawassee County,BYRON,816.00000
MI, Cadillac Area Public Schools ,Cadillac Area Public Schools,cadillac area public schools,cadillac area,2607590,23508300500000,Wexford County,CADILLAC,3123.00000
MI, Caro Community Schools ,Caro Community Schools,caro community schools,caro community schools,2608040,23507901000000,Tuscola County,CARO,1636.00000
MI, Carrollton Public Schools ,Carrollton Public Schools,carrollton public schools,carrollton,2608070,23507302500000,Saginaw County,SAGINAW,1810.00000
MI, Carsonville-Port Sanilac School District ,Carsonville-Port Sanilac School District,carsonville-port sanilac school district,carsonville port sanilac,2608160,23507601500000,Sanilac County,CARSONVILLE,352.00000
MI, Caseville Public Schools ,Caseville Public Schools,caseville public schools,caseville,2608280,23503201200000,Huron County,CASEVILLE,267.00000
MI, Cass City Public Schools ,Cass City Public Schools,cass city public schools,cass city,2608400,23507903100000,Tuscola County,CASS CITY,962.00000
MI, Cedar Springs Public Schools ,Cedar Springs Public Schools,cedar springs public schools,cedar springs,2608520,23504103600000,Kent County,CEDAR SPRINGS,3597.00000
MI, Center Line Public Schools ,Center Line Public Schools,center line public schools,center line,2608580,23505002700000,Macomb County,Center Line,2548.00000
MI, Central Lake Public Schools ,Central Lake Public Schools,central lake public schools,central lake,2608610,23500500500000,Antrim County,Central Lake,277.00000
MI, Central Montcalm Public Schools ,Central Montcalm Public Schools,central montcalm public schools,central montcalm,2608640,23505905500000,Montcalm County,Stanton,1466.00000
