"","id","county","state.name","population","state.abb"
"1291","1600000US4814880","Chula Vista CDP (Cameron County)","Texas",257,"TX"
"1292","1600000US4280144","Vicksburg CDP (Union County)","Pennsylvania",255,"PA"
"1293","1600000US4237880","Jefferson borough (Greene County)","Pennsylvania",253,"PA"
"1294","1600000US3428140","Greenwich CDP (Cumberland County)","New Jersey",251,"NJ"
"1295","1600000US4853154","Oak Ridge town (Cooke County)","Texas",242,"TX"
"1296","1600000US4844104","Los Ebanos CDP (Hidalgo County)","Texas",239,"TX"
"1297","1600000US4754640","Oak Grove CDP (Sumner County)","Tennessee",238,"TN"
"1298","1600000US4243128","Liberty borough (Tioga County)","Pennsylvania",234,"PA"
"1299","1600000US3681655","White Lake CDP (Sullivan County)","New York",207,"NY"
"1300","1600000US0879105","Twin Lakes CDP (Lake County)","Colorado",204,"CO"
"1301","1600000US4261496","Pleasantville borough (Bedford County)","Pennsylvania",191,"PA"
"1302","1600000US0640536","Las Flores CDP (Tehama County)","California",190,"CA"
"1303","1600000US4212184","Centerville borough (Crawford County)","Pennsylvania",178,"PA"
"1304","1600000US3536880","La Cueva CDP (Sandoval County)","New Mexico",176,"NM"
"1305","1600000US4227641","Fredericksburg CDP (Blair County)","Pennsylvania",172,"PA"
"1306","1600000US3955314","Newport CDP (Shelby County)","Ohio",169,"OH"
"1307","1600000US0625506","Franklin CDP (Sacramento County)","California",167,"CA"
"1308","1600000US3579140","Torreon CDP (Torrance County)","New Mexico",167,"NM"
"1309","1600000US0604730","Bear Valley CDP (Mariposa County)","California",156,"CA"
"1310","1600000US3538470","La Madera CDP (Rio Arriba County)","New Mexico",140,"NM"
"1311","1600000US0459690","Red Rock CDP (Apache County)","Arizona",136,"AZ"
"1312","1600000US3550515","Mountain View CDP (Luna County)","New Mexico",134,"NM"
"1313","1600000US0604716","Bear Valley CDP (Alpine County)","California",128,"CA"
"1314","1600000US4280136","Vicksburg CDP (Blair County)","Pennsylvania",127,"PA"
"1315","1600000US4214584","Coaldale borough (Bedford County)","Pennsylvania",126,"PA"
"1316","1600000US0614454","Cold Springs CDP (Tuolumne County)","California",123,"CA"
"1317","1600000US3681644","White Lake CDP (Oneida County)","New York",121,"NY"
"1318","1600000US4834133","Hilltop CDP (Starr County)","Texas",120,"TX"
"1319","1600000US3581775","Valencia CDP (Santa Fe County)","New Mexico",115,"NM"
"1320","1600000US0601358","Alta Sierra CDP (Kern County)","California",103,"CA"
"1321","1600000US2756698","St. Anthony city (Stearns County)","Minnesota",91,"MN"
"1322","1600000US0675322","Strawberry CDP (Tuolumne County)","California",87,"CA"
"1323","1600000US4237544","Jacksonville CDP (Centre County)","Pennsylvania",84,"PA"
"1324","0500000US15005","Kalawao County","Hawaii",82,"HI"
"1325","1600000US4253336","Newburg borough (Clearfield County)","Pennsylvania",82,"PA"
"1326","1600000US3566400","San Antonito CDP (Socorro County)","New Mexico",81,"NM"
"1327","1600000US3568500","San Jose CDP (San Miguel County)","New Mexico",67,"NM"
"1328","1600000US4843463","Loma Linda East CDP (Starr County)","Texas",67,"TX"
"1329","0500000US48301","Loving County","Texas",64,"TX"
"1330","1600000US3550512","Mountain View CDP (Cibola County)","New Mexico",56,"NM"
"1331","1600000US0681048","Twin Lakes CDP (Mono County)","California",45,"CA"
"1332","1600000US4871274","Sunset CDP (Starr County)","Texas",34,"TX"
