state,nces_original_name,gov_unit_original_name,name,ncesid,censusid,student,acfrs_original_name
NJ,Tabernacle Township School District,tabernacle twp sch dist,tabernacle,3416020,31500303100000,670.00000,NA
NJ,Tenafly Public School District,tenafly boro sch dist,tenafly,3416110,31500206100000,3729.00000,tenafly board of education
NJ,Tewksbury Township School District,tewksbury twp sch dist,tewksbury,3416170,31501002500000,514.00000,NA
NJ,Tinton Falls School District,tinton falls sch dist,tinton falls,3416200,31501304100000,1436.00000,school district of the borough of tinton falls
NJ,Totowa Public School District,totowa boro sch dist,totowa,3416260,31501601000000,981.00000,NA
NJ,Tuckerton Borough School District,tuckerton boro sch dist,tuckerton,3416320,31501502700000,329.00000,NA
NJ,Union Beach Public School District,union beach boro sch dist,union beach,3416350,31501304500000,640.00000,NA
NJ,Union City School District,union city school district,union,3416380,31200900930100,13754.00000,city of union city school district
NJ,Union Township School District,union twp sch dist,union,3416440,31501002600000,441.00000,city of union city school district
NJ,Upper Freehold Regional School District,upper freehold reg school dist,upper freehold regional,3416560,31501304600000,2189.00000,NA
NJ,UPPER PITTSGROVE TWP School District,upper pittsgrove twp sch dist,upper pittsgrove twp,3416590,31501701200000,306.00000,NA
NJ,Upper Saddle River School District,upper saddle river sch dist,upper saddle river,3416620,31500206300000,1108.00000,NA
NJ,Ventnor City School District,ventnor city school district,ventnor,3416680,31200101730100,668.00000,city of ventnor school district
NJ,Verona Public School District,verona boro sch dist,verona,3416740,31500701300000,2295.00000,NA
NJ,Vineland Public School District,vineland school district,vineland,3416800,31500640100000,10753.00000,city of vineland board of education
NJ,Waldwick School District,waldwick boro sch dist,waldwick,3416860,31500206400000,1652.00000,NA
NJ,Wallington Boro School District,wallington boro sch dist,wallington,3416920,31500206500000,1289.00000,NA
NJ,Wallkill Valley Regional High School,wallkill valley regional high sch dist,wallkill valley regional,3416870,31501990400000,582.00000,NA
NJ,Wanaque School District,wanaque boro sch dist,wanaque,3416950,31501601100000,906.00000,NA
NJ,Warren Township School District,warren twp sch dist,warren,3416980,31501801900000,1604.00000,NA
NJ,Washington Borough School District,washington boro sch dist,washington,3417010,31502102000000,495.00000,NA
NJ,WATCHUNG BOROUGH SCHOOL DISTRICT,watchung boro sch dist,watchung,3417190,31501802000000,604.00000,NA
NJ,Watchung Hills Regional High School District,watchung hills regional high sch dist,watchung hills regional,3417220,31501802100000,1983.00000,NA
NJ,Waterford Township School District,waterford twp sch dist,waterford,3417250,31500403500000,888.00000,NA
NJ,Wenonah Boro School District,wenonah boro sch dist,wenonah,3417340,31500801900000,168.00000,NA
NJ,WEST CAPE MAY SCHOOL DISTRICT,west cape may boro school dist,west cape may,3417400,31500500800000,94.00000,NA
NJ,West Essex Regional School District,west essex reg sch dist,west essex regional,3417460,31500750100000,1683.00000,NA
NJ,West Long Branch School District,west long branch sch dist,west long branch,3417490,31501304800000,592.00000,NA
