state,nces_original_name,gov_unit_original_name,name,ncesid,censusid,student,acfrs_original_name
IN,MSD SHAKAMAK SCHOOLS,shakamak metropolitan school district,shakamak,1810110,1.55029E+13,718, metropolitan school district of shakamak 
IN,Southwestern Con Sch Shelby Co,shelby county southwestern consolidated schools,shelby southwestern,1810830,1.55073E+13,566,NA
IN,Shelbyville Central Schools,shelbyville central school district,shelbyville central,1810140,1.55074E+13,4178,NA
IN,Shenandoah School Corporation,shenandoah school corporation,shenandoah,1808280,1.55034E+13,1365,NA
IN,Smith-Green Community Schools,smith-green community school district,smith green,1810230,1.55092E+13,1175,NA
IN,South Central Com School Corp,south central community school corporation,south central,1802190,1.55046E+13,958,NA
IN,South Gibson School Corporation,south gibson school corporation,south gibson,1810350,1.55027E+13,2087,NA
IN,South Newton School Corp,south newton school corporation,south newton,1810470,1.55057E+13,845,NA
IN,South Putnam Community Schools,south putnam community schools,south putnam,1810500,1.55068E+13,1118,NA
IN,South Ripley Com Sch Corp,south ripley community school corporation,south ripley,1810530,1.5507E+13,1161,NA
IN,South Spencer County Sch Corp,south spencer county school district,south spencer,1810560,1.55075E+13,1215,NA
IN,Southeast Dubois Co Sch Corp,southeast dubois county school corporation,southeast dubois,1810640,1.55019E+13,1287,NA
IN,Southeast Fountain School Corp,southeast fountain county school corporation,southeast fountain,1810620,1.55024E+13,1063,NA
IN,Lewis Cass Schools,southeastern cass county school district,southeastern cass,1810680,1.5501E+13,1376,NA
IN,Southern Hancock Co Com Sch Corp,southern hancock county community school corporation,southern hancock,1810710,1.55031E+13,3801,NA
IN,South Harrison Com Schools,southern harrison community schools,southern harrison,1810360,1.55031E+13,3177,NA
IN,Southern Wells Com Schools,southern wells county community school district,southern wells,1810770,1.55091E+13,868, southern wells community schools - ecas 
IN,Southside Sp Srvs Of Marion Co,southside special services of marion co,southside special services of marion co,1800105,1.55049E+13,123,NA
IN,MSD SOUTHWEST ALLEN COUNTY SCHLS,southwest allen county metropolitan school district,southwest allen,1800030,1.55003E+13,7685,NA
IN,Southwest School Corporation,southwest sullivan county school corporation,southwest sullivan,1810860,1.55078E+13,1783,NA
IN,Southwestern-Jefferson Co Con,southwestern jefferson county consolidated schools,southwestern jefferson,1810800,1.55039E+13,1336, southwestern jefferson county consolidated school corporation 
IN,School Town of Speedway,speedway city schools,speedway city schools,1810920,1.55049E+13,1871,NA
IN,Springs Valley Com School Corp,spring valley school corporation,spring valley,1810980,1.55059E+13,883,NA
IN,MSD STEUBEN COUNTY,steuben county metropolitan school district,steuben,1811100,1.55076E+13,2670,NA
IN,Sunman-Dearborn Com Sch Corp,sunman-dearborn community corporation school district,sunman dearborn community corporation,1811190,1.55016E+13,3689,NA
IN,Tell City-Troy Twp School Corp,tell city-troy township school corporation,tell city troy township,1811260,1.55062E+13,1401,NA
