state,county,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,student
FL,Nassau County,2020,General Purpose,206503804,33026055,15747566,317517,0,646281,104672569,0,27317377,0,8439148,19062589,19224067,6903996,114019524,8715633,150494543,0,0,0,159210176,12248
WV,Wood County,2020,General Purpose,14797792,9343666,849007,303650,0,0,1565123,0,2359503,0,376843,5827330,454524,627045,17726513,750806,23884606,0,0,0,24635412,12238
PA,Dauphin County,2020,General Purpose,222829953,93274793,33527541,12867495,0,11743821,30832045,0,28028194,0,11319181,29671364,137386761,3784032,117319141,6327251,281834047,0,0,0,288161298,12214
NE,Sarpy County,2020,General Purpose,115004044,33915245,62361142,0,0,643412,0,5176614,4392339,0,9984435,30317327,9915388,14299458,62574497,19373706,97732964,0,3126,0,117106670,12190
MO,Platte County,2020,General Purpose,38075535,13814410,12480985,4971516,0,0,6666522,3819801,0,0,142102,11339713,8892764,14392487,38159677,21781054,51003587,0,0,0,72784641,12138
GA,Troup County,2020,General Purpose,52838751,9525246,9013888,229319,0,0,20388040,0,11923311,0,1048900,9074544,6185851,1959058,50531132,2253778,65496807,0,0,0,67750585,12127
UT,Box Elder County,2020,General Purpose,13764053,0,7330304,0,425000,0,4933748,0,0,0,708926,5591043,10240203,52926,27535529,3531857,39887844,1554199,567947,0,43419701,12111
FL,Highlands County,2020,General Purpose,149212569,0,10470020,0,0,22714207,101151611,0,1443612,0,5387894,37786184,6217641,6697061,75786933,-7743836,134231655,0,0,0,126487819,12080
KY,Daviess County,2020,General Purpose,0,14430000,0,0,1003694,0,0,0,0,0,0,9321804,15018752,0,35851113,929865,59261804,0,0,0,60191669,12048
WA,Whatcom County,2020,General Purpose,62757454,1700000,22682601,202931,0,0,18462899,5617735,7021801,0,9050517,27149474,47278205,21461306,122321641,36427481,181783145,0,0,0,218210626,12027
TX,Kaufman County,2020,General Purpose,155454241,122301619,9960738,3382426,589505,0,3143512,0,14181598,0,1894843,11219582,8552652,1825311,58499192,-3095111,83191848,0,0,0,80096737,11977
