"","state","nces_original_name","gov_unit_original_name","ncesid","censusid","county_nces","student","acfrs_original_name"
"10238","MI","Ravenna Public Schools","ravenna sch dist 24","2629370","23506104700000","Muskegon County","1037.00000"," ravenna public schools "
"10239","CA","Ravenswood City Elementary","ravenswood city elementary school district","0631860","05504102000000","San Mateo County","2061.00000",NA
"10240","OK","RAVIA","ravia sch dist 10","4025530","37503501200000","Johnston County","92.00000"," ravia school district c-10 "
"10241","KS","Rawlins County","rawlings county unified school district 105","2000023","17507700200000","Rawlins County","384.00000",NA
"10242","AZ","Ray Unified District (4438)","ray school district 3","0406850","03501101300000","Pinal County","407.00000",NA
"10243","WI","Raymond #14 School District","raymond school district 14","5512480","50505250100000","Racine County","411.00000",NA
"10244","NE","RAYMOND CENTRAL PUBLIC SCHOOLS","raymond central sch dist 161","3104950","28505580100000","Lancaster County","683.00000"," raymond central school district no. 161 "
"10245","NH","Raymond School District","raymond school dist","3305880","30500802900000","Rockingham County","1233.00000"," raymond school district "
"10246","WA","Raymond School District","raymond school district 116","5307140","48502501000000","Pacific County","599.00000",NA
"10247","CA","Raymond-Knowles Union Elementary","raymond knowles union elem school dist","0631920","05502002500000","Madera County","76.00000",NA
"10248","TX","RAYMONDVILLE ISD","raymondville ind sch dist 903","4836540","44524500400000","Willacy County","2140.00000"," raymondville independent school district "
"10249","MO","RAYMONDVILLE R-VII","raymondville sch dist r-7","2926040","26510806200000","Texas County","152.00000",NA
"10250","MO","RAYMORE-PECULIAR R-II","raymore-peculiar sch dist r-2","2923730","26501906000000","Cass County","6460.00000","raymore-peculiar r-ii school district"
"10251","MO","RAYTOWN C-2","raytown sch dist c-2","2926070","26504801700000","Jackson County","8552.00000"," raytown c-2 school district "
"10252","MA","Reading","reading town sch","2509990","22300902830100","Middlesex County","4151.00000",NA
"10253","OH","Reading Community City","reading cmnty city sch dist","3904469","36503102400000","Hamilton County","1656.00000"," reading community city school district "
"10254","MI","Reading Community Schools","reading comm sch dist","2629400","23503001400000","Hillsdale County","706.00000"," reading community schools "
"10255","PA","Reading SD","reading sch dist","4220040","39500604300000","Berks County","17675.00000",NA
"10256","NJ","Readington Township School District","readington twp sch dist","3413710","31501002300000","Hunterdon County","1486.00000",NA
"10257","TX","REAGAN COUNTY ISD","reagan ind sch dist 901","4836570","44519200100000","Reagan County","908.00000"," reagan county independent school district "
"10258","WA","Reardan-Edwall School District","reardan-edwall school district 9","5307210","48502200900000","Lincoln County","688.00000"," reardan-edwall school district no 9 "
"10259","IL","Reavis Twp HSD 220","reavis township high school district 220","1733270","14501612000000","Cook County","1908.00000"," reavis high school district number 220 "
"10260","LA","Recovery School District-LDE","department of education - recovery school district","2200054","19000000030100","East Baton Rouge Parish","1010.00000",NA
"10261","AR","RECTOR SCHOOL DISTRICT","rector school district","0504370","04501140100000","Clay County","630.00000","rector school district no.1"
"10262","NJ","Red Bank Borough Public School District","red bank boro sch dist","3413740","31501303400000","Monmouth County","1438.00000",NA
"10263","NJ","Red Bank Regional School District","red bank regional high sch dist","3413750","31501390100000","Monmouth County","1290.00000",NA
"10264","CA","Red Bluff Joint Union High","red bluff union high school dist","0632010","05505202000000","Tehama County","1733.00000"," red bluff union elementary school district "
"10265","CA","Red Bluff Union Elementary","red bluff union elem sch dist","0631980","05505201900000","Tehama County","2056.00000"," red bluff union elementary school district "
"10266","IL","Red Bud CUSD 132","red bud community unit school district 132","1733300","14507901000000","Randolph County","1044.00000",NA
"10267","DE","Red Clay Consolidated School District","redclay consolidated  school district","1001300","08500260500000","New Castle County","15520.00000",NA
"10268","NE","RED CLOUD COMMUNITY SCHOOLS","red cloud city sch dis 2","3175990","28509100700000","Webster County","265.00000",NA
"10269","NY","RED CREEK CENTRAL SCHOOL DISTRICT","red creek central school district","3624210","33505902000000","Wayne County","833.00000"," red creek central school district "
"10270","IL","Red Hill CUSD 10","red hill community unit school district 10","1722130","14505102400000","Lawrence County","982.00000"," red hill community unit school district no. 10 "
"10271","NY","RED HOOK CENTRAL SCHOOL DISTRICT","red hook central sch dist","3624240","33501401500000","Dutchess County","1825.00000"," red hook central school district "
"10272","MN","RED LAKE COUNTY CENTRAL PUBLIC SCH","red lake county central public school district","2700385","24506310100000","Red Lake County","408.00000",NA
"10273","MN","RED LAKE FALLS PUBLIC SCHOOL DIST.","red lake falls sch dist 630","2730450","24506302200000","Red Lake County","388.00000",NA
"10274","MN","RED LAKE PUBLIC SCHOOL DISTRICT","red lake sch dist 38 jt","2730510","24500401400000","Beltrami County","1529.00000",NA
"10275","TX","RED LICK ISD","red lick ind sch dist 911","4836630","44501901400000","Bowie County","523.00000"," red lick independent school district "
"10276","PA","Red Lion Area SD","red lion area sch dist","4220100","39506770300000","York County","5087.00000"," red lion area school district "
"10277","MT","Red Lodge Elem","red lodge elem sch dist 1","3022080","27500540530100","Carbon County","321.00000",NA
"10278","MT","Red Lodge H S","red lodge high sch dist 1","3022110","27500540530200","Carbon County","191.00000",NA
"10279","AZ","Red Mesa Unified District (4159)","red mesa unified school district 27","0406870","03500140100000","Apache County","433.00000"," red mesa unified school district no. 27 "
"10280","OK","RED OAK","red oak sch dist 2","4025590","37503901300000","Latimer County","329.00000","red oak public schools"
"10281","IA","Red Oak Comm School District","red oak community school district","1924000","16506902100000","Montgomery County","1075.00000"," red oak community school district "
"10282","TX","RED OAK ISD","red oak ind sch dist 911","4836660","44507001300000","Ellis County","6067.00000"," red oak independent school district "
"10283","LA","Red River Parish","red river parish school district","2201320","19504100100000","Red River Parish","1453.00000","red river parish school board"
"10284","MN","RED ROCK CENTRAL SCHOOL DISTRICT","red rock central school district","2700132","24506430300000","Redwood County","442.00000",NA
"10285","AZ","RED ROCK DAY SCHOOL",NA,"5900035",NA,"Apache County","110.00000",NA
"10286","AZ","Red Rock Elementary District (4447)","red rock school district 5","0406900","03501101400000","Pinal County","392.00000",NA
"10287","WY","Red Top Meadows - Administration Office","red top meadows - administration office","5600015","51656000150000","Teton County","1.00000",NA
"10288","MS","Red Water Elementary School",NA,"5900172",NA,"Leake County","158.00000",NA
"10289","MN","RED WING PUBLIC SCHOOL DISTRICT","red wing sch dist 256","2730480","24502501200000","Goodhue County","2681.00000",NA
"10290","PA","Redbank Valley SD","redbank valley sch dist","4220130","39501670600000","Clarion County","1089.00000"," redbank valley school district "
"10291","CA","Redding Elementary","redding elem sch dist","0632040","05504503200000","Shasta County","3165.00000"," redding elementary school district "
"10292","CT","Redding School District","redding town schools","0903510","07300101230100","Fairfield County","832.00000",NA
"10293","SD","Redfield School District 56-4","redfield school district 56-4","4660450","42505804800000","Spink County","625.00000",NA
"10294","MI","Redford Union Schools District No. 1","redford union schools district 1","2629460","23508204400000","Wayne County","2313.00000",NA
"10295","CA","Redlands Unified","redlands unif sch dist","0632070","05503604500000","San Bernardino County","20826.00000"," redlands unified school district "
"10296","OR","Redmond SD 2J","redmond sch dist 2j","4110350","38500900900000","Deschutes County","7470.00000"," redmond school district no 2j "
"10297","CA","Redondo Beach Unified","redondo beach unified sch dt","0600032","05501908400000","Los Angeles County","10123.00000",NA
"10298","TX","REDWATER ISD","redwater ind sch dist 906","4836750","44501901500000","Bowie County","1113.00000"," redwater independent school district "
"10299","MN","REDWOOD AREA SCHOOL DISTRICT","redwood area school district","2700182","24506430200000","Redwood County","1138.00000",NA
"10300","CA","Redwood City Elementary","redwood city elementary school district","0632130","05504102100000","San Mateo County","7196.00000"," redwood city school district "
"10301","MI","Reed City Area Public Schools","reed city area public schools","2629490","23506703900000","Osceola County","1438.00000"," reed city area public schools "
"10302","IL","Reed Custer CUSD 255U","reed custer community unit district 255 u","1733380","14509902900000","Will County","1341.00000",NA
"10303","ME","Reed Plt Public Schools","reed plantation school","2310140","20300205430100","Penobscot County","2.00000",NA
"10304","MT","Reed Point Elem","reed point elem sch dist 9-9","3022230","27504840530100","Stillwater County","35.00000",NA
"10305","MT","Reed Point H S","reedpoint h s dist 99","3022260","27504840530200","Stillwater County","18.00000",NA
"10306","CA","Reed Union Elementary","reed union elem school dist","0632160","05502101600000","Marin County","1305.00000","reed union elementary school district"
"10307","CA","Reeds Creek Elementary","reeds creek elem sch dist","0632250","05505202100000","Tehama County","182.00000"," reeds creek elementary school district "
"10308","MO","REEDS SPRING R-IV","reeds spring sch dist r-4","2926160","26510500500000","Stone County","1818.00000","reeds spring r-iv school district"
"10309","WI","Reedsburg School District","reedsburg school district","5512660","50505740100000","Sauk County","2872.00000"," school district of reedsburg "
"10310","OR","Reedsport SD 105","reedsport sch dist 105","4110410","38501001700000","Douglas County","628.00000"," reedsport school district no. 105 "
