"","state","nces_original_name","gov_unit_original_name","ncesid","censusid","county_nces","student","acfrs_original_name"
"3164","MS","DESOTO CO SCHOOL DIST","desoto co sch system","2801320","25501750100000","DeSoto County","34752.00000",NA
"3165","IL","DeSoto Cons SD 86","desoto consolidated school district 86","1712150","14503900400000","Jackson County","215.00000",NA
"3166","TX","DESOTO ISD","de soto ind sch dist 906","4816860","44505700600000","Dallas County","8633.00000"," desoto independent school district "
"3167","LA","DeSoto Parish","de soto parish school district","2200510","19501600100000","De Soto Parish","4946.00000","desoto parish school board"
"3168","MI","DeTour Area Schools","detour area schools","2611970","23501700500000","Chippewa County","102.00000",NA
"3169","TX","DETROIT ISD","detroit ind sch dist 905","4816890","44519401000000","Red River County","522.00000"," detroit independent school district "
"3170","MN","DETROIT LAKES PUBLIC SCHOOL DIST.","detroit lakes ind sch dist 22","2710230","24500303200000","Becker County","3032.00000"," detroit lakes independent school district 22 "
"3171","MI","Detroit Public Schools Community District","detroit public schools community district","2601103","23508280400000","Wayne County","50644.00000","detroit public schools community district"
"3172","SD","Deubrook Area School District 05-6","deubrook area school district 05-6","4678300","42500680100000","Brookings County","384.00000",NA
"3173","SD","Deuel School District 19-4","deuel school district 19-4","4600036","42502001100000","Deuel County","528.00000",NA
"3174","TX","DEVERS ISD","devers ind sch dist 903","4816920","44514600300000","Liberty County","198.00000"," devers independent school district "
"3175","ND","DEVILS LAKE 1","devils lake pub sch dist 1","3805040","35503601100000","Ramsey County","1658.00000"," devils lake public school district no.1 "
"3176","TX","DEVINE ISD","devine ind sch dist 901","4816950","44516300200000","Medina County","1973.00000"," devine independent school district "
"3177","TX","DEW ISD","dew ind sch dist 906","4816980","44508100200000","Freestone County","179.00000"," dew independent school district "
"3178","OK","DEWAR","dewar sch dist 8","4009780","37505600300000","Okmulgee County","454.00000"," dewar school district i-008 "
"3179","OK","DEWEY","dewey sch dist 7","4009810","37507400500000","Washington County","1239.00000"," dewey independent school district no i-7 "
"3180","TX","DEWEYVILLE ISD","deweyville ind sch dist 903","4817010","44517600300000","Newton County","540.00000"," deweyville independent school district "
"3181","MI","DeWitt Public Schools","dewitt public schools","2611550","23501902600000","Clinton County","3196.00000"," dewitt public schools "
"3182","AR","DEWITT SCHOOL DISTRICT","dewitt sch dist 1","0500001","04500100200000","Arkansas County","1225.00000"," dewitt school district no.1 "
"3183","IL","DeWitt/Livingstn/Logan/McLean ROE","dewitt/livingstn/logan/mclean roe","1700177","14617001770000","McLean County","216.00000","dewitt livingston logan and mclean counties regional office of education no. 17"
"3184","KS","Dexter","dexter unified school district 471","2005520","17501801000000","Cowley County","218.00000",NA
"3185","MI","Dexter Community School District","dexter comm sch dist","2612030","23508100700000","Washtenaw County","3638.00000"," dexter community schools "
"3186","NM","DEXTER CONSOLIDATED SCHOOLS","dexter school district","3500750","32500300200000","Chaves County","887.00000"," dexter consolidated schools "
"3187","MO","DEXTER R-XI","dexter sch dist r 11","2910770","26510400500000","Stoddard County","2088.00000","dexter r-xi school district"
"3188","CA","Di Giorgio Elementary","di giorgio elem sch district","0611130","05501501500000","Kern County","205.00000"," di giorgio elementary school district "
"3189","IA","Diagonal Comm School District","diagonal community school district","1909060","16508001400000","Ringgold County","138.00000"," diagonal community school district "
"3190","IL","Diamond Lake SD 76","diamond lake school district 76","1712210","14504901300000","Lake County","918.00000"," diamond lake school district 76 "
"3191","MO","DIAMOND R-IV","diamond sch dist r 4","2910800","26507300600000","Newton County","705.00000","diamond r-iv school district"
"3192","OR","Diamond SD 7","diamond sch dist 7","4104170","38501300600000","Harney County","4.00000",NA
"3193","OK","DIBBLE","dibble sch dist 2","4009870","37504400800000","McClain County","694.00000"," dibble school district no. i-002 "
"3194","TX","DIBOLL ISD","diboll ind sch dist 905","4817040","44500300600000","Angelina County","1803.00000"," diboll independent school district "
"3195","VA","DICKENSON CO PBLC SCHS","dickenson co schs","5101140","47102602630100","Dickenson County","2064.00000",NA
"3196","ND","DICKINSON 1","dickinson sch dist 1","3800038","35504500600000","Stark County","4080.00000",NA
"3197","TX","DICKINSON ISD","dickinson ind sch district 901","4817070","44508400200000","Galveston County","11655.00000"," dickinson independent school district "
"3198","OK","DICKSON","dickson sch dist 77","4009910","37501000300000","Carter County","1339.00000"," dickson school district i-77 "
"3199","TN","Dickson County","dickson co sch system","4701020","43102202230100","Dickson County","8240.00000"," dickson county schools "
"3200","WA","Dieringer School District","dieringer school district 343","5302130","48502700700000","Pierce County","1570.00000",NA
"3201","AR","DIERKS SCHOOL DISTRICT","dierks sch dist","0505340","04503100200000","Howard County","543.00000","dierks school district no. 2"
"3202","IL","Dieterich CUSD 30","dieterich community unit school district 30","1712240","14502500300000","Effingham County","558.00000",NA
"3203","ID","DIETRICH DISTRICT","dietrich school district 314","1600900","13503200100000","Lincoln County","209.00000",NA
"3204","KS","Dighton","dighton unified school district 482","2005550","17505100300000","Lane County","257.00000",NA
"3205","MA","Dighton-Rehoboth","dighton-rehoboth reg sch dist","2504200","22500350200000","Bristol County","2850.00000",NA
"3206","IA","Dike-New Hartford Comm School District","dike-new hartford community school district","1909120","16503801500000","Grundy County","945.00000"," dike-new hartford community school district "
"3207","AZ","Dilcon Community School",NA,"5900139",NA,"Navajo County","160.00000",NA
"3208","NE","DILLER-ODELL PUBLIC SCHOOLS","diller-odell public schools","3100125","28503430200000","Gage County","237.00000"," diller odell public schools "
"3209","TX","DILLEY ISD","dilley ind sch dist 902","4817100","44508200100000","Frio County","982.00000"," dilley independent school district "
"3210","AK","Dillingham City School District","dillingham city school district","0200120","02200500330100","Dillingham Census Area","442.00000"," dillingham city school district "
"3211","SC","Dillon 03","dillon county school district 3","4501950","41501700300000","Dillon County","1583.00000",NA
"3212","SC","Dillon 04","dillon county school district 4","4501920","41501700100000","Dillon County","4006.00000",NA
"3213","MT","Dillon Elem","dillon elem dist 10","3008910","27500101200000","Beaverhead County","744.00000",NA
"3214","MN","DILWORTH-GLYNDON-FELTON","dilworth-glydon-felton sch dist 2164","2710260","24501400700000","Clay County","1628.00000",NA
"3215","TX","DIME BOX ISD","dime box ind sch dist 903","4817130","44514400100000","Lee County","164.00000"," dime box independent school district "
"3216","IL","Dimmick Comm Cons SD #175","dimmick community consolidated sd #175","1701434","14617014340000","LaSalle County","169.00000",NA
"3217","TX","DIMMITT ISD","dimmitt ind sch dist 901","4817160","44503500100000","Castro County","1233.00000"," dimmitt independent school district "
"3218","CA","Dinuba Unified","dinuba unified school district","0600065","05505430100000","Tulare County","6670.00000"," dinuba unified school district "
"3219","VA","DINWIDDIE CO PBLC SCHS","dinwiddie co schs","5101170","47102702730100","Dinwiddie County","4347.00000",NA
"3220","AZ","Dishchii'bikoh Community School",NA,"5900145",NA,"Navajo County","554.00000",NA
"3221","IL","District 50 Schools","district 50 schools","1741010","14509070100000","Tazewell County","695.00000",NA
"3222","DC","District of Columbia Public Schools","district of columbia public schools","1100030","09200100130100","District of Columbia","50971.00000",NA
"3223","ND","DIVIDE COUNTY 1","divide county school district #1","3805160","35501280100000","Divide County","384.00000",NA
"3224","MT","Divide Elem","divide elem dist 4","3009000","27504700400000","Silver Bow County","7.00000",NA
"3225","TX","DIVIDE ISD","divide comm sch dist 905","4817190","44513300200000","Kerr County","24.00000"," divide independent school district "
"3226","FL","DIXIE","dixie county school district","1200450","10501500100000","Dixie County","2234.00000"," dixie county district school board "
"3227","WA","Dixie School District","dixie school district 101","5302160","48503600500000","Walla Walla County","16.00000",NA
"3228","MT","Dixon Elem","dixon elem dist 9","3009030","27504500200000","Sanders County","63.00000",NA
"3229","MO","DIXON R-I","dixon sch dist r 1","2910830","26508500700000","Pulaski County","894.00000","dixon r-i school district"
"3230","CA","Dixon Unified","dixon unified sch dist","0611280","05504800700000","Solano County","3081.00000"," dixon unified school district "
"3231","IL","Dixon USD 170","dixon unit school district 170","1712330","14505200300000","Lee County","2603.00000",NA
"3232","NY","DOBBS FERRY UNION FREE SCHOOL DISTRICT","dobbs ferry union free school district","3609120","33506000600000","Westchester County","1529.00000"," dobbs ferry union free school district "
"3233","TX","DODD CITY ISD","dodd city ind sch dist 904","4817280","44507400500000","Fannin County","354.00000"," dodd city independent school district "
"3234","WV","DODDRIDGE COUNTY SCHOOLS","doddridge co sch dist","5400270","49500900100000","Doddridge County","1121.00000"," doddridge county board of education "
"3235","KS","Dodge City","dodge city unified school district 443","2005580","17502900400000","Ford County","7318.00000",NA
"3236","GA","Dodge County","dodge co sch dist","1301770","11504500100000","Dodge County","3060.00000"," dodge county board of education "
"3237","GA","Dodge County","dodge co sch dist","1301770","11504500100000","Dodge County","3060.00000"," school district dodge county "
"3238","WI","Dodgeland School District","dodgeland school district","5507260","50501480100000","Dodge County","750.00000",NA
"3239","WI","Dodgeville School District","dodgeville school district","5503690","50502503100000","Iowa County","1217.00000"," dodgeville school district "
"3240","MT","Dodson K-12","dodson public schools","3009120","27503640100000","Phillips County","93.00000"," dodson public schools "
"3241","SD","Doland School District 56-2","doland school district 56-2","4619170","42505802200000","Spink County","157.00000",NA
"3242","NY","DOLGEVILLE CENTRAL SCHOOL DISTRICT","dolgeville central sch","3600001","33502200900000","Herkimer County","877.00000"," dolgeville central school district "
"3243","MI","Dollar Bay-Tamarack City Area K-12 School","dollar bay-tamarack city area school district","2626940","23503101600000","Houghton County","336.00000",NA
"3244","AR","DOLLARWAY SCHOOL DISTRICT","dollarway sch dist 2","0505410","04503500200000","Jefferson County","1020.00000"," dollarway school district no.2 "
"3245","CO","Dolores County School District RE-2J","dolores county re no 2","0803420","06501750100000","Dolores County","232.00000",NA
"3246","CO","Dolores School District No. Re-4A","dolores sch dist re4a","0803390","06504200300000","Montezuma County","692.00000",NA
"3247","IL","Dolton SD 148","dolton school district 148","1712450","14501603600000","Cook County","2089.00000","dolton west school district 148"
"3248","IL","Dolton SD 149","dolton school district 149","1712420","14501600900000","Cook County","2562.00000"," dolton school district 149 "
"3249","PA","Donegal SD","donegal sch dist","4207650","39503650100000","Lancaster County","2993.00000"," donegal school district "
"3250","IL","Dongola USD 66","dongola unit school district 66","1712480","14509101000000","Union County","271.00000",NA
"3251","MO","DONIPHAN R-I","doniphan sch dist r 1","2910920","26509150100000","Ripley County","1642.00000","doniphan r-i school district"
"3252","KS","Doniphan West Schools","doniphan west school district 111","2000348","17502201800000","Doniphan County","341.00000",NA
"3253","NE","DONIPHAN-TRUMBULL PUBLIC SCHS","doniphan-trumbull public schools","3100121","28504000300000","Hall County","460.00000","don iphan-trumbu ll public schools district no. 40-0126"
"3254","TX","DONNA ISD","donna ind sch dist 902","4817390","44510800200000","Hidalgo County","14400.00000"," donna independent school district "
"3255","IL","Donovan CUSD 3","donovan community unit school district 3","1712510","14503800700000","Iroquois County","280.00000",NA
"3256","GA","Dooly County","dooly co sch dist","1301800","11504600100000","Dooly County","1225.00000"," dooly county board of education "
"3257","GA","Dooly County","dooly co sch dist","1301800","11504600100000","Dooly County","1225.00000"," school district dooly county "
"3258","NM","DORA MUNICIPAL SCHOOLS","dora schools district","3500790","32502250300000","Roosevelt County","243.00000",NA
"3259","MO","DORA R-III","dora sch dist r 3","2910950","26507701700000","Ozark County","295.00000",NA
"3260","SC","Dorchester 02","dorchester county school district 2","4502010","41501800300000","Dorchester County","26238.00000",NA
"3261","SC","Dorchester 04","dorchester county school district 4","4500002","41501800100000","Dorchester County","2268.00000",NA
"3262","MD","Dorchester County Public Schools","dorchester co schs","2400300","21101000930100","Dorchester County","4710.00000",NA
"3263","NE","DORCHESTER PUBLIC SCHOOL","dorchester vlg sch di 44","3169840","28507600300000","Saline County","239.00000","dorchester school district no. 44"
"3264","CA","Dos Palos Oro Loma Joint Unified","dos palos oro-loma joint unified","0600033","05502400700000","Merced County","2346.00000","dos palos-oro loma joint unified school district"
"3265","TX","DOSS CONSOLIDATED CSD","doss cons sch dist 024","4817400","44508600200000","Gillespie County","30.00000"," doss consolidated community school district "
"3266","AL","Dothan City","dothan city school district","0101230","01503500100000","Houston County","8701.00000"," dothan city board of education "
"3267","AZ","Double Adobe Elementary District (4179)","double adobe school district 45","0402490","03500200900000","Cochise County","35.00000",NA
"3268","OR","Double O SD 28","double o sch dist 28","4104290","38501300700000","Harney County","7.00000",NA
"3269","GA","Dougherty County","dougherty co sch dist","1301830","11504700100000","Dougherty County","13882.00000"," dougherty county board of education "
"3270","GA","Dougherty County","dougherty co sch dist","1301830","11504700100000","Dougherty County","13882.00000"," school district dougherty county "
"3271","MA","Douglas","douglas town schs","2504230","22301401230100","Worcester County","1282.00000",NA
"3272","CA","Douglas City Elementary","douglas city elem sch dist","0611430","05505300500000","Trinity County","175.00000"," douglas city elementary school district "
"3273","NE","DOUGLAS CO WEST COMMUNITY SCHS","douglas county west community school district 15","3100165","28502800700000","Douglas County","975.00000"," douglas county west school district no. 15 "
"3274","GA","Douglas County","douglas co sch dist","1301860","11504800100000","Douglas County","26663.00000"," douglas county board of education "
"3275","NV","DOUGLAS COUNTY SCHOOL DISTRICT","douglas county school district","3200090","29500300100000","Douglas County","5786.00000"," douglas county school district "
"3276","CO","Douglas County School District No. Re 1","douglas co sch dist re 1","0803450","06501850100000","Douglas County","67305.00000"," douglas county school district re.1 "
"3277","OR","Douglas County SD 4","douglas co sch dist 4","4110710","38501002100000","Douglas County","6132.00000"," douglas county school district no. 4 "
"3278","SD","Douglas School District 51-1","douglas school district 51-1","4619410","42505201400000","Pennington County","2858.00000",NA
"3279","AZ","Douglas Unified District (4174)","douglas unified school district 27","0402530","03500201000000","Cochise County","4114.00000"," douglas unified school district no. 27 "
"3280","TX","DOUGLASS ISD","douglas ind sch dist 911","4817460","44517400600000","Nacogdoches County","460.00000"," douglass independent school district "
"3281","KS","Douglass Public Schools","douglass unified school district 396","2005610","17500801500000","Butler County","656.00000",NA
"3282","MA","Dover","dover town sch","2504260","22301100830100","Norfolk County","490.00000",NA
"3283","OK","DOVER","dover sch dist 2","4010050","37503700300000","Kingfisher County","153.00000"," dover school district i-2 "
"3284","WI","Dover #1 School District","dover tn school district 1","5503750","50505201900000","Racine County","92.00000",NA
"3285","PA","Dover Area SD","dover sch dist","4207680","39506700900000","York County","3493.00000","dover area school district"
"3286","OH","Dover City","dover city sch dist","3904389","36507900400000","Tuscarawas County","2614.00000"," dover city school district "
"3287","NJ","Dover Public School District","dover public sch dist","3403930","31501400800000","Morris County","3389.00000","town of dover board of education"
"3288","AR","DOVER SCHOOL DISTRICT","dover sch dist 17","0505430","04505800200000","Pope County","1344.00000"," dover school district no. 17 "
"3289","NH","Dover School District","dover school district","3302640","30200900130100","Strafford County","3966.00000",NA
"3290","NY","DOVER UNION FREE SCHOOL DISTRICT","dover u f sch dist","3609210","33501400400000","Dutchess County","1392.00000"," dover union free school district "
"3291","MN","DOVER-EYOTA PUBLIC SCHOOL DISTRICT","dover-eyota ind school dist 533","2711010","24505500500000","Olmsted County","1093.00000",NA
"3292","MA","Dover-Sherborn","dover sherborn reg high sch dist","2504290","22501170100000","Norfolk County","1204.00000",NA
"3293","MI","Dowagiac Union School District","dowagiac union school district","2612150","23501400900000","Cass County","2200.00000"," dowagiac union schools "
"3294","NJ","Downe Township School District","downe twp sch dist","3403960","31500600300000","Cumberland County","178.00000",NA
"3295","IL","Downers Grove GSD 58","downers grove elementary school district 58","1712540","14502201400000","DuPage County","5026.00000"," downers grove grade school district no. 58 "
"3296","CA","Downey Unified","downey unif sch dist","0611460","05501902700000","Los Angeles County","22101.00000"," downey unified school district "
"3297","PA","Downingtown Area SD","downingtown area sch dist","4207710","39501500700000","Chester County","13079.00000"," downingtown area school district "
"3298","NY","DOWNSVILLE CENTRAL SCHOOL DISTRICT","downsville central school dist","3609240","33501300900000","Delaware County","231.00000",NA
"3299","MA","Dracut","dracut town sch","2504320","22300901430100","Middlesex County","3677.00000",NA
"3300","ND","DRAKE 57","drake sch dist 57","3800029","35502501000000","McHenry County","70.00000",NA
"3301","ND","DRAYTON 19","drayton sch dist 19","3805340","35503402200000","Pembina County","188.00000",NA
"3302","NH","Dresden School District","dresden school dist","3302670","30500570100000","Grafton County","1102.00000",NA
"3303","AR","DREW CENTRAL SCHOOL DISTRICT","drew central sch dist 5","0505470","04502200200000","Drew County","1141.00000"," drew central school district no.5 "
"3304","OR","Drewsey SD 13","drewsey sch dist 13","4104380","38501300800000","Harney County","6.00000",NA
"3305","MO","DREXEL R-IV","drexel dist r-4","2911070","26501902400000","Cass County","291.00000",NA
"3306","TX","DRIPPING SPRINGS ISD","dripping spgs ind sch dist 904","4800008","44510500200000","Hays County","7210.00000"," dripping springs independent school district "
"3307","TX","DRISCOLL ISD","driscoll ind sch dist 905","4817550","44517800900000","Nueces County","303.00000"," driscoll independent school district "
"3308","OK","DRUMMOND","drummond sch dist 85","4010170","37502400400000","Garfield County","354.00000"," drummond school district no. i 85 "
"3309","WI","Drummond Area School District","drummond joint school district 1","5503810","50500400400000","Bayfield County","349.00000",NA
"3310","MT","Drummond Elem","drummond public sch dist 11 & 2","3009180","27502040130100","Granite County","98.00000",NA
"3311","MT","Drummond H S","drummond h s dist 2","3009210","27502040130200","Granite County","57.00000",NA
"3312","OK","DRUMRIGHT","drumright sch dist 39","4010200","37501900700000","Creek County","474.00000"," drumright school district i-39 "
"3313","CA","Dry Creek Joint Elementary","dry creek jt elem sch dist","0611490","05503100800000","Placer County","6681.00000"," dry creek joint elementary school district "
"3314","NY","DRYDEN CENTRAL SCHOOL DISTRICT","dryden central school district","3609330","33505500100000","Tompkins County","1485.00000"," dryden central school district "
"3315","MI","Dryden Community Schools","dryden community schools","2612240","23504402400000","Lapeer County","414.00000"," dryden community schools "
"3316","IL","Du Quoin CUSD 300","du quoin community unit school district 300","1712760","14507300300000","Perry County","1489.00000",NA
"3317","NY","DUANESBURG CENTRAL SCHOOL DISTRICT","duanesburg central sch dist","3609360","33504700200000","Schenectady County","687.00000",NA
"3318","CA","Duarte Unified","duarte unif sch dist","0611520","05501902900000","Los Angeles County","3433.00000"," duarte unified school district "
"3319","GA","Dublin City","dublin ind sch dist","1301870","11508780100000","Laurens County","2296.00000"," school district dublin city "
"3320","OH","Dublin City","dublin city school district","3904702","36502501500000","Franklin County","16624.00000"," dublin city school district "
"3321","TX","DUBLIN ISD","dublin ind sch district 902","4817580","44507200200000","Erath County","1126.00000"," dublin independent school district "
"3322","CA","Dublin Unified","dublin unif sch district","0600019","05500140100000","Alameda County","12575.00000"," dublin unified school district "
"3323","PA","Dubois Area SD","dubois area sch dist","4207830","39501701800000","Clearfield County","3491.00000"," dubois area school district "
"3324","IA","Dubuque Comm School District","dubuque community school district","1909480","16503101400000","Dubuque County","11064.00000"," dubuque community school district "
"3325","UT","Duchesne District","duchesne co sch dist","4900240","45500700100000","Duchesne County","5314.00000"," duchesne county school district "
"3326","NV","Duckwater Shoshone Elementary School",NA,"5900153",NA,"Nye County","10.00000",NA
"3327","CA","Ducor Union Elementary","ducor union elem sch dist","0611550","05505401100000","Tulare County","154.00000"," ducor union elementary school district "
"3328","MA","Dudley-Charlton Reg","dudley-charlton reg sch dist","2504360","22501490100000","Worcester County","3702.00000",NA
"3329","OR","Dufur SD 29","dufur sch dist 29","4104410","38503300300000","Wasco County","342.00000",NA
"3330","OK","DUKE","duke sch dist 14","4010260","37503300300000","Jackson County","163.00000"," duke school district i-14 "
"3331","NM","DULCE INDEPENDENT SCHOOLS","dulce ind school district","3500810","32502150100000","Rio Arriba County","584.00000"," dulce independent schools "
"3332","MN","DULUTH PUBLIC SCHOOL DISTRICT","duluth ind sch dist 709","2711040","24506900600000","St. Louis County","8896.00000",NA
"3333","TX","DUMAS ISD","dumas ind sch dist 901","4817610","44517100100000","Moore County","4317.00000"," dumas independent school district "
"3334","AR","DUMAS SCHOOL DISTRICT","dumas school district","0505500","04502100500000","Desha County","1207.00000","dumas school district no.6"
"3335","NH","Dummer School District","dummer town sch dist","3302730","30500400600000","Coos County","1.00000",NA
"3336","NJ","Dumont Public School District","dumont public sch dist","3403990","31500201000000","Bergen County","2587.00000","borough of dumont school district"
"3337","NH","Dunbarton School District","dunbarton sch dist","3302760","30500701000000","Merrimack County","239.00000",NA
"3338","OK","DUNCAN","duncan sch dist 1","4010290","37506900700000","Stephens County","3484.00000"," duncan school district i-1 "
"3339","AZ","Duncan Unified District (4228)","duncan unified school district 2","0402600","03500600300000","Greenlee County","390.00000",NA
"3340","TX","DUNCANVILLE ISD","duncanville ind sch district 907","4817640","44505700700000","Dallas County","12426.00000"," duncanville independent school district "
"3341","NY","DUNDEE CENTRAL SCHOOL DISTRICT","dundee central sch dist","3609390","33506200300000","Yates County","663.00000"," dundee central school district "
"3342","MI","Dundee Community Schools","dundee comm sch dist","2612300","23505800600000","Monroe County","1716.00000"," dundee community schools "
"3343","NE","DUNDY CO STRATTON PUBLIC SCHS","dundy co stratton sch dist 117","3100077","28502900100000","Dundy County","334.00000"," dundy county stratton public schools district no. 117 "
"3344","IN","Duneland School Corporation","duneland school corporation","1802800","15506401400000","Porter County","5865.00000"," duneland school corporation "
"3345","NJ","Dunellen Public School District","dunellen public sch dist","3404020","31501200300000","Middlesex County","1270.00000",NA
"3346","CA","Dunham Elementary","dunham elem sch dist","0611610","05504901600000","Sonoma County","168.00000"," dunham elementary school district "
"3347","IA","Dunkerton Comm School District","dunkerton community school district","1909540","16500701400000","Black Hawk County","428.00000"," dunkerton community school district "
"3348","NY","DUNKIRK CITY SCHOOL DISTRICT","dunkirk city sch dist","3609420","33500701000000","Chautauqua County","2104.00000"," dunkirk city school district "
"3349","MO","DUNKLIN R-V","dunklin sch dist r-5","2914250","26505000500000","Jefferson County","1478.00000",NA
"3350","IL","Dunlap CUSD 323","dunlap community unit school district 323","1712700","14507200800000","Peoria County","4592.00000"," dunlap community unit school district no. 323 "
"3351","PA","Dunmore SD","dunmore boro sch dist","4207980","39503501300000","Lackawanna County","1492.00000","dunmore school district"
"3352","ND","DUNSEITH 1","dunseith sch dist 1","3805460","35504000500000","Rolette County","530.00000",NA
"3353","ND","Dunseith Day School",NA,"5900149",NA,"Rolette County","239.00000",NA
"3354","CA","Dunsmuir Elementary","dunsmuir elem sch dist","0611670","05504700700000","Siskiyou County","93.00000"," dunsmuir elementary school district "
"3355","CA","Dunsmuir Joint Union High","dunsmuir jt high sch dist","0611700","05504700800000","Siskiyou County","59.00000","dunsmuir joint union high school district"
"3356","IL","DuPage HSD 88","dupage high school district 88","1713940","14502205800000","DuPage County","3923.00000"," dupage high school district no. 88 "
"3357","IL","DuPage ROE","dupage roe","1700179","14617001790000","DuPage County","45.00000",NA
"3358","NC","Duplin County Schools","duplin county schools","3701200","34103103130100","Duplin County","9969.00000",NA
"3359","IL","Dupo CUSD 196","dupo community unit school district 196","1712720","14508201000000","St. Clair County","1003.00000"," dupo community unit school district no. 196 "
"3360","SD","Dupree School District 64-2","dupree school district 64-2","4619450","42506860200000","Ziebach County","396.00000"," dupree school district no 64-2 "
"3361","MT","Dupuyer Elem","dupuyer elem dist 2","3009330","27503700200000","Pondera County","18.00000",NA
"3362","PA","Duquesne City SD","duquesne city sch dist","4208010","39500202500000","Allegheny County","410.00000"," duquesne city school district "
"3363","MI","Durand Area Schools","durand area sch dist","2612330","23507801500000","Shiawassee County","1308.00000"," durand area schools "
"3364","IL","Durand CUSD 322","durand community unit school district 322","1712810","14510100800000","Winnebago County","626.00000",NA
"3365","WI","Durand-Arkansaw School District","durand school district","5503840","50504750200000","Pepin County","945.00000",NA
"3366","CO","Durango School District No. 9-R","durango school dist 9-r","0803480","06503400400000","La Plata County","5545.00000"," durango school district 9-r "
"3367","OK","DURANT","durant sch dist 72","4010350","37500701400000","Bryan County","3781.00000"," durant school district no. 1-72 "
"3368","IA","Durant Comm School District","durant community school district","1909600","16501600400000","Cedar County","663.00000"," durant community school district "
"3369","NC","Durham Public Schools","durham county schools","3701260","34103203230200","Durham County","33435.00000",NA
"3370","CA","Durham Unified","durham unified sch dist","0611730","05500401600000","Butte County","1053.00000"," durham unified school district "
"3371","KS","Durham-Hillsboro-Lehigh","durham-hilsboro-lehigh school district 410","2007290","17505802500000","Marion County","610.00000",NA
"3372","MT","Dutton/Brady K-12 Schools","dutton/brady k-12 school district","3000102","27505040200000","Teton County","133.00000",NA
"3373","FL","DUVAL","duval county school district","1200480","10501600100000","Duval County","130279.00000"," duval county district school board "
"3374","FL","DUVAL","duval county school district","1200480","10501600100000","Duval County","130279.00000"," duval county public schools "
"3375","MA","Duxbury","duxbury town schs","2504410","22301200430100","Plymouth County","2972.00000",NA
"3376","IL","Dwight Common SD 232","dwight common school district 232","1712840","14505300700000","Livingston County","527.00000",NA
"3377","IL","Dwight Twp HSD 230","dwight township high school district 230","1712870","14505300800000","Livingston County","228.00000",NA
"3378","TN","Dyer County","dyer co sch dist","4701050","43102302330100","Dyer County","3896.00000"," dyer county schools "
"3379","TN","Dyersburg","dyersburg city sch dist","4701080","43202300130100","Dyer County","2595.00000"," dyersburg board of education "
"3380","MD","DYRS","dyrs","1100087","09611000870000","Anne Arundel County","36.00000",NA
"3381","AZ","Dysart Unified District (4243)","dysart school district 89","0402690","03500701300000","Maricopa County","24590.00000"," dysart unified school district no. 89 "
"3382","NM","Dzilth-Na-O-Dith-Hle Community School",NA,"5900033",NA,"San Juan County","157.00000",NA
"3383","SD","Eagle Butte School District 20-1","eagle butte school district 20-1","4620100","42502100100000","Ziebach County","340.00000",NA
"3384","CO","Eagle County School District No. Re 50","eagle co sch dist re-50","0803540","06501950100000","Eagle County","6812.00000","eagle county schools district re50j"
"3385","IA","Eagle Grove Comm School District","eagle grove community school district","1909990","16509900700000","Wright County","1008.00000"," eagle grove community school district "
"3386","TX","EAGLE MT-SAGINAW ISD","eagle mt saginaw ind sch dist 918","4817700","44522002500000","Tarrant County","21024.00000"," eagle mountain-saginaw independent school district "
"3387","TX","EAGLE PASS ISD","eagle pass ind sch dist 901","4817730","44516200100000","Maverick County","14500.00000"," eagle pass independent school district "
"3388","OR","Eagle Point SD 9","eagle point sch dist 9","4104500","38501500600000","Jackson County","4157.00000",NA
"3389","NJ","Eagleswood Township School District","eagleswood twp sch dist","3404050","31501500600000","Ocean County","130.00000",NA
"3390","OK","EAGLETOWN","eagletown sch dist 13","4010440","37504501200000","McCurtain County","160.00000"," eagletown public schools i-13 "
"3391","TX","EANES ISD","eanes ind sch dist 909","4817760","44522700500000","Travis County","8166.00000"," eanes independent school district "
"3392","AR","EARLE SCHOOL DISTRICT","earle sch dist","0505550","04501800200000","Crittenden County","540.00000","earle school district no.1"
"3393","IA","Earlham Comm School District","earlham community school district","1910050","16506100400000","Madison County","631.00000"," earlham community school district "
"3394","CA","Earlimart Elementary","earlimart elem sch dist","0611760","05505401200000","Tulare County","1614.00000"," earlimart school district "
"3395","OK","EARLSBORO","earlsboro sch dist 5","4010500","37506301100000","Pottawatomie County","276.00000"," earlsboro public schools i-5 "
"3396","IL","Earlville CUSD 9","earlville community unit school district 9","1712930","14505001100000","LaSalle County","401.00000",NA
"3397","GA","Early County","early co sch dist","1301920","11504900100000","Early County","1945.00000"," early county board of education "
"3398","GA","Early County","early co sch dist","1301920","11504900100000","Early County","1945.00000"," school district early county "
"3399","TX","EARLY ISD","early ind sch dist 909","4817790","44502500500000","Brown County","1199.00000"," early independent school district "
"3400","PA","East Allegheny SD","east allegheny sch dist","4208060","39500270800000","Allegheny County","1555.00000"," east allegheny school district "
"3401","IN","East Allen County Schools","east allen county schools","1802850","15500270100000","Allen County","10010.00000"," east allen county schools "
"3402","IL","East Alton SD 13","east alton school district 13","1712960","14506000400000","Madison County","770.00000"," east alton elementary school district no. 13 "
"3403","IL","East Alton-Wood River CHSD 14","east alton wood river community high school district 14","1712990","14506000500000","Madison County","570.00000",NA
