acfrs_original_name,census_id,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed,name,ratio,ratio_group,state,nces_original_name,student
El-Paso Gridley Community Unit School District No. 11,NA,167451,2020,School District,3051351,2880000,171351,0,0,0,1147267,0,0,0,0,0,0,0,20072173,226782,19845391,0,0,0,20072173,FALSE,el-paso gridley cusd 11,0.15201896675561735, Below 1%,Illinois,NA,NA
Elmhurst Community Unit School District 205,NA,32981,2020,School District,244689013,138031248,7270040,1811016,2350000,0,11234291,0,83992418,0,0,3464757,64210757,0,134494301,3440831,198728984,0,0,0,202169815,FALSE,elmhurst cusd 205,1.2103142746606361,1 - 5%,Illinois,NA,NA
Fenton High School District No. 100,NA,47193,2020,School District,9609055,9584937,24118,0,0,0,2780505,0,19679530,0,0,457055,13459816,0,29607450,927830,42596491,0,0,0,43524321,FALSE,fenton hsd 100,0.22077438037459562, Below 1%,Illinois,NA,NA
Fieldcrest Community Unit District No.6,NA,65556,2020,School District,3380000,3380000,0,0,0,0,0,0,0,0,0,0,0,0,50428620,455581,49973039,0,0,0,50428620,FALSE,fieldcrest community unit district 6,0.06702543119363567, Below 1%,Illinois,NA,NA
Four Rivers Special Education District No. 801,NA,33100,2020,School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7191808,173922,7017886,0,0,0,7191808,FALSE,four rivers special education district 801,0, Below 1%,Illinois,NA,NA
Fox Lake Grade School District No. 114,NA,65259,2020,School District,7189399,4076473,3112926,50577,0,0,828832,0,0,0,0,0,0,0,15245125,-712141,15957266,0,0,0,15245125,FALSE,fox lake grade sd 114,0.47158675314239795, Below 1%,Illinois,NA,NA
Franklin-Jefferson County Special Education District,NA,167459,2020,School District,0,0,0,0,0,0,209827,0,2274558,0,0,0,0,0,7390300,999504,6390796,0,0,0,7390300,FALSE,franklin-jefferson county special education district,0, Below 1%,Illinois,NA,NA
Genoa-Kingston Community Unit School District No. 424,NA,56601,2020,School District,2831307,2786711,44596,0,0,0,2797802,0,11049054,0,0,582759,5764377,0,20029776,974945,25401967,0,0,0,26376912,FALSE,ge-kingston cusd 424,0.1073403512890364, Below 1%,Illinois,NA,NA
Georgetown-Ridge Farm Comm Unit School No. 4,NA,167463,2020,School District,0,3200000,0,0,0,0,1397401,0,0,0,0,0,0,0,15408836,801377,14607459,0,0,0,15408836,FALSE,georgetown-ridge farm comm unit school 4,0, Below 1%,Illinois,NA,NA
Gurnee Grade School District No. 56,NA,65598,2020,School District,31596573,30835000,258084,503489,0,0,3567172,0,15735112,0,0,0,0,0,41443545,-1128870,42572415,0,0,0,41443545,FALSE,gurnee grade sd 56,0.7624003448546691, Below 1%,Illinois,NA,NA
Hamilton County Community Unit School District 10,NA,33004,2020,School District,3469027,3241200,108246,119581,0,0,1750284,0,0,0,0,0,0,0,22172405,1875403,20297002,0,0,0,22172405,FALSE,hamilton county cusd 10,0.15645695629319417, Below 1%,Illinois,NA,NA
Harlem Consolidated School District 122,NA,33167,2020,School District,81697146,14599272,9862638,16235,0,0,8686883,0,48150425,0,381693,2082057,47818862,0,85004631,10008945,124896605,0,0,0,134905550,FALSE,harlem consolidated sd 122,0.6055877315647874, Below 1%,Illinois,NA,NA
Harmony-Emge School District #175,NA,50749,2020,School District,3480,5427059,3480,836205,0,0,0,0,0,0,0,479958,2479718,14400,10139188,-1771946,14885210,0,0,0,13113264,FALSE,harmony-emge sd 175,2.6538015249292623e-4, Below 1%,Illinois,NA,NA
Hawthorn School District No. 73,NA,33034,2020,School District,71015383,70907174,108209,0,0,0,0,0,0,0,0,1342068,23903527,0,55656294,-109530,81011419,0,0,0,80901889,FALSE,hawthorn sd 73,0.8777963515783914, Below 1%,Illinois,NA,NA
Hazel Crest School District 152.5,NA,47226,2020,School District,3801696,3778028,23668,0,0,0,0,0,0,0,0,0,0,0,21272661,1602550,19670111,0,0,0,21272661,FALSE,hazel crest sd 152 5,0.1787127618871941, Below 1%,Illinois,NA,NA
Henderson Mercer and Warren Counties Regional Office of Education 33,NA,105453,2020,School District,2673441,0,1662621,0,0,0,199209,0,811611,0,0,304003,8365047,0,2013190,223158,10459082,0,0,0,10682240,FALSE,henderson mercer and warren counties roe 33,0.2502696999880175, Below 1%,Illinois,NA,NA
Henry-Stark Counties Special Education District No. 801,NA,33007,2020,School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14389312,1990589,12398723,0,0,0,14389312,FALSE,henry-stark counties special education district 801,0, Below 1%,Illinois,NA,NA
Hononegah Community High School District No. 207,NA,33168,2020,School District,21620000,21620000,0,0,0,0,1692520,0,0,0,0,0,0,0,38628973,929029,37699944,0,0,0,38628973,FALSE,hoegah chsd 207,0.5596835308047149, Below 1%,Illinois,NA,NA
Illinois Valley Central Unit School District No. 321,NA,94617,2020,School District,7488859,7379580,109279,0,0,0,0,0,0,0,0,0,0,0,31563197,-623488,32186685,0,0,0,31563197,FALSE,illis valley central unit sd 321,0.23726554062315044, Below 1%,Illinois,NA,NA
J. Sterling Morton High School District No. 201,NA,32926,2020,School District,179847037,95547900,13137664,0,0,0,12859950,0,58278240,0,23283,1355614,64565775,2095085,128092171,25196848,170911797,0,0,0,196108645,FALSE,j sterling morton hsd 201,0.9170785765206833, Below 1%,Illinois,NA,NA
Jamp Special Education Services,NA,33108,2020,School District,162380,0,162380,0,0,0,0,0,0,0,0,0,0,0,2944590,-195821,3140411,0,0,0,2944590,FALSE,jamp special education services,0.055145198482641045, Below 1%,Illinois,NA,NA
Jasper County Community Unit School District 1,NA,151226,2020,School District,5757857,4045000,125,74112,1638620,0,2750110,0,0,0,0,0,0,0,20360765,1394039,18966726,0,0,0,20360765,FALSE,jasper county cusd 1,0.282791781153606, Below 1%,Illinois,NA,NA
Joliet Public School District No. 86,NA,167478,2020,School District,143637619,40235080,14705934,459969,168310,0,13424659,0,71662618,0,697026,601769,76690157,50000,139651965,21025574,195968317,0,0,0,216993891,FALSE,joliet sd 86,0.6619431465930071, Below 1%,Illinois,NA,NA
Kaskaskia Special Education District,NA,167480,2020,School District,459,0,459,26472,0,0,0,0,0,0,0,0,0,0,10807795,682781,10125014,0,0,0,10807795,FALSE,kaskaskia special education district,4.2469347355311604e-5, Below 1%,Illinois,NA,NA
Kildeer Countryside Consolidated School District,NA,167481,2020,School District,551319,0,148660,402659,0,0,0,0,0,0,0,1483339,23627937,121427,48180364,-3072643,76485710,0,0,0,73413067,FALSE,kildeer countryside consolidated sd,0.007509821105825752, Below 1%,Illinois,NA,NA
Knoxville Community Unit School District 202,NA,167482,2020,School District,11976188,11410000,566188,0,0,0,453916,395025,0,0,0,0,0,0,15841925,-111328,15953253,0,0,0,15841925,FALSE,kville cusd 202,0.7559806021048578, Below 1%,Illinois,NA,NA
Lagrange Elementary School District 102,NA,32929,2020,School District,32688251,31004510,102555,0,0,0,0,0,0,0,0,872537,18565239,0,41548387,2608495,58377668,0,0,0,60986163,FALSE,lagrange esd 102,0.5359945501080302, Below 1%,Illinois,NA,NA
Lagrange School District 105 South,NA,167483,2020,School District,40041775,21167428,872364,0,0,0,2428904,0,15562048,0,11031,180110,13362254,50000,25366843,-413877,39373084,0,0,0,38959207,FALSE,lagrange sd 105 south,1.0277872185642793,1 - 5%,Illinois,NA,NA
Lake Park High School District 108,NA,46204,2020,School District,61237484,14023848,6452829,702126,1740000,0,4827123,0,32966803,0,524755,3375209,19001640,219011,53954552,8512592,68037820,0,0,0,76550412,FALSE,lake park hsd 108,0.7999628271105843, Below 1%,Illinois,NA,NA
Lansing Elementary School District No. 158,NA,42082,2020,School District,27482544,27482544,0,0,0,0,2011158,0,16802921,0,0,95770,7042666,0,35693986,7180711,35651711,0,0,0,42832422,FALSE,lansing esd 158,0.6416294647078328, Below 1%,Illinois,NA,NA
Lasalle-Peru Township High School District No. 120,NA,188067,2020,School District,47484597,47185000,0,299597,0,0,0,0,0,0,0,0,0,0,40484227,6874381,33609846,0,0,0,40484227,FALSE,lasalle-peru twp hsd 120,1.1729159852798967,1 - 5%,Illinois,NA,NA
