state.abb,county,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,id,state.name,population
TX,Liberty County,2020,General Purpose,90166128,7063353,7352167,1746931,0,1990000,10186659,0,37395052,0,1021966,8269411,6861016,0,45707471,-654331,61492229,0,0,0,60837898,0500000US48291,Texas,91628
CA,Mendocino County,2020,General Purpose,311501099,45095000,24648301,0,0,0,206708080,0,0,0,4822355,21148724,145480971,3191180,115183367,19720505,265283737,22910944,366572,0,285004242,0500000US06045,California,91601
WI,Ozaukee County,2020,General Purpose,37952265,17470075,8848160,2192638,0,5710000,0,6875848,0,0,3731392,35611641,22988146,64324,34455390,2300251,90819250,0,0,0,93119501,0500000US55089,Wisconsin,91503
VA,Frederick County,2020,General Purpose,278129742,165426991,13502704,7416308,1480526,0,14998353,0,55725882,0,4891727,15180106,18221384,6276035,179123859,15423319,203378065,0,0,0,218801384,0500000US51069,Virginia,91419
TX,Victoria County,2020,General Purpose,43311737,20820289,3916379,87290,0,0,13778737,0,1663830,0,1942798,11113505,9031558,806880,40619819,1358548,60213214,0,0,0,61571762,0500000US48469,Texas,91319
NY,Wayne County,2020,General Purpose,130851816,20485569,18759720,2250000,0,0,51445401,0,25615630,0,3478117,35986880,35030927,5783119,105206282,6961240,175045968,0,0,0,182007208,0500000US36117,New York,91283
NH,Grafton County,2020,General Purpose,96283157,22994975,3847137,0,0,0,24157738,0,43649705,0,1633602,18598687,2927771,0,28076439,-388627,49991524,0,0,0,49602897,0500000US33009,New Hampshire,91118
NC,Rockingham County,2020,General Purpose,144553001,39793390,9740242,0,0,0,14215229,151559,57059142,0,267058,15978052,14486195,3401884,76486902,5475117,104877916,0,0,0,110353033,0500000US37157,North Carolina,91096
FL,Nassau County,2020,General Purpose,206503804,33026055,15747566,317517,0,646281,104672569,0,27317377,0,8439148,19062589,19224067,6903996,114019524,8715633,150494543,0,0,0,159210176,0500000US12089,Florida,90352
ID,Twin Falls County,2020,General Purpose,12414859,0,4820056,0,0,0,6606744,0,0,0,907358,5936998,1039116,0,40878954,4254932,43600136,0,0,0,47855068,0500000US16083,Idaho,90046
MO,Christian County,2020,General Purpose,0,8976649,0,36075,0,0,0,0,0,0,283286,5769007,10995610,1050727,17450930,5356543,29909731,0,0,0,35266274,0500000US29043,Missouri,88842
MI,Lapeer County,2020,General Purpose,30042306,0,10775733,0,3397606,0,14042205,0,0,0,545822,40910899,28569011,0,19869072,4313261,85035721,0,0,0,89348982,0500000US26087,Michigan,88619
OR,Josephine County,2020,General Purpose,49528960,5650000,8044243,0,814312,0,30738955,0,631450,334256,2137000,17083649,45395248,2910037,13902263,13761635,65529562,725411,730191,0,79291197,0500000US41033,Oregon,88090
NC,Burke County,2020,General Purpose,107999745,4202138,10220634,0,0,56191340,11687912,168620,18514709,0,1912409,12311170,15401891,8743655,77657394,11590528,102523582,0,0,0,114114110,0500000US37023,North Carolina,87570
OR,Polk County,2020,General Purpose,56328756,15654859,2967341,0,0,0,34046477,0,2258462,351532,1401617,5013560,26970696,0,22447102,-2590175,57021533,0,0,0,54431358,0500000US41053,Oregon,87433
NC,Lincoln County,2020,General Purpose,243949858,64472006,9752194,0,10271824,0,16448201,161569,55722570,0,2560553,31117563,14732517,6111431,104830802,29862816,126929497,0,0,0,156792313,0500000US37109,North Carolina,86810
TX,Angelina County,2020,General Purpose,20946706,1480935,3143416,1097644,0,6245502,1045555,0,0,0,285044,24853132,4461123,0,27908554,5407295,51815514,0,0,0,57222809,0500000US48005,Texas,86395
PA,Lawrence County,2020,General Purpose,40448246,8880635,7496179,0,0,23352500,0,8559819,0,0,718932,6373237,33259834,0,32083909,6113787,65603193,0,0,0,71716980,0500000US42073,Pennsylvania,86070
GA,Dougherty County,2020,General Purpose,44394827,0,9759413,0,0,0,12863653,0,9723406,0,3020725,20184596,3019068,1089858,72698992,11546575,85445939,0,0,0,96992514,0500000US13095,Georgia,85790
WI,Jefferson County,2020,General Purpose,40983642,21047924,8894657,0,0,0,0,6803569,5860836,0,5180225,17036344,18565917,257481,42062489,6223632,71698599,0,0,0,77922231,0500000US55055,Wisconsin,84900
TX,Orange County,2020,General Purpose,116894760,0,12649107,0,0,0,8317563,0,89583011,0,1857564,5545084,6425802,0,39474646,-12572452,64017984,0,0,0,51445532,0500000US48361,Texas,84808
MO,Buchanan County,2020,General Purpose,11549032,0,3549665,0,0,0,4845370,0,811021,0,2342976,5809153,13817854,217731,32568614,4733925,47679427,0,0,0,52413352,0500000US29021,Missouri,84793
GA,Glynn County,2020,General Purpose,77740781,29730456,9857016,3737384,0,0,19019778,0,6691285,0,3820072,21484392,2558107,5341435,110941316,11745307,128579943,0,0,0,140325250,0500000US13127,Georgia,84499
MT,Cascade County,2020,General Purpose,33292471,0,3398413,0,3403771,0,23147339,0,241615,0,3101333,14174500,9370886,7702,28023817,3149448,48427457,2511294,25619,10918,51576905,0500000US30013,Montana,84414
WV,Wood County,2020,General Purpose,14797792,9343666,849007,303650,0,0,1565123,0,2359503,0,376843,5827330,454524,627045,17726513,750806,23884606,0,0,0,24635412,0500000US54107,West Virginia,84296
SC,Orangeburg County,2020,General Purpose,209663272,93810159,9579443,7321176,141422,1563689,45978287,0,48779000,0,2328168,15007138,3292783,3226946,62326474,-4746095,88599436,0,0,0,83853341,0500000US45075,South Carolina,84223
NY,Chemung County,2020,General Purpose,197932221,51588953,25213645,1285258,0,11365107,54193262,0,39720321,0,7809689,48322525,49180655,11965557,109991975,-3741922,223202634,0,0,0,219460712,0500000US36015,New York,84148
VA,Rockingham County,2020,General Purpose,191133696,129369141,13069790,6595000,0,6723467,13108838,0,6155265,0,1294721,27231445,16048963,867554,121150842,-3818582,169117386,0,0,0,165298804,0500000US51165,Virginia,83757
GA,Barrow County,2020,General Purpose,85787882,45452019,9462989,0,0,2261054,10223388,0,2240686,0,1780665,19593667,1065528,4182452,63252819,24475688,63618778,0,0,0,88094466,0500000US13013,Georgia,83505
