"","name","government_ID","id","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed","geo_id","city_town","state.name","population","state.abb","original_name","CITY","COUNTY_AREA_NAME"
"1720","Nederland","44212300500000",88388,"General Purpose",27208819,20855259,2907256,0,0,1040000,0,3562822,1554849,0,851455,7300650,1383225,0,16668386,5343615,20008646,0,0,0,25352261,FALSE,"1600000US4850580","Nederland city","Texas",18856,"TX","CITY OF NEDERLAND","NEDERLAND","JEFFERSON"
"1721","Ottawa","14205001600000",64817,"General Purpose",116851895,13078000,727467,153474,4108128,159043,51710791,0,46914992,0,0,11310888,222694,1317682,25446062,-1606516,39903842,0,0,0,38297326,FALSE,"1600000US1756926","Ottawa city","Illinois",18840,"IL","CITY OF OTTAWA","OTTAWA","LASALLE"
"1722","Creve Coeur","26209502300000",120228,"General Purpose",21508343,9640109,1563240,0,0,0,6588596,0,3041371,0,675027,2837663,1706806,437297,16548969,910040,20620695,0,0,0,21530735,FALSE,"1600000US2917272","Creve Coeur city","Missouri",18834,"MO","CITY OF CREVE COEUR","CREVE COEUR","ST LOUIS"
"1723","Bensenville","14202200200000",96642,"General Purpose",103042101,43941199,10070975,59506,24300384,2334145,16385756,3159736,4404934,0,1545202,17831404,1788271,1131651,25639834,13581881,32809279,0,0,0,46391160,FALSE,"1600000US1705248","Bensenville village","Illinois",18813,"IL","VILLAGE OF BENSENVILLE","BENSENVILLE","DUPAGE"
"1724","Bellwood","14201600600000",96640,"General Purpose",129434892,78286648,3416024,380913,1506293,414000,39371892,566077,5611787,0,447335,12734735,1420567,810447,27310920,13262638,29014031,0,0,0,42276669,FALSE,"1600000US1704975","Bellwood village","Illinois",18789,"IL","VILLAGE OF BELLWOOD","BELLWOOD","COOK"
"1725","Springfield","43207400300000",65520,"General Purpose",96661764,54495292,8651585,233589,29248659,1575205,0,3929455,1711747,0,745688,53928922,599627,1912309,15937158,11486384,60891632,0,0,0,72378016,FALSE,"1600000US4770500","Springfield city","Tennessee",18782,"TN","CITY OF SPRINGFIELD","SPRINGFIELD","ROBERTSON"
"1726","Martinsburg","49200200200000",39751,"General Purpose",132268095,32175777,4918718,502573,0,0,82020251,0,9708144,0,2942632,14189718,3659127,171779,19443031,1689957,35773698,0,0,0,37463655,FALSE,"1600000US5452060","Martinsburg city","West Virginia",18777,"WV","CITY OF MARTINSBURG","MARTINSBURG","BERKELEY"
"1727","Sheridan","51201700400000",40137,"General Purpose",64666609,400000,5271923,1943977,0,20046379,30927372,0,0,0,1638846,13343380,51439,8328507,20287900,622386,41388840,0,0,0,42011226,FALSE,"1600000US5669845","Sheridan city","Wyoming",18737,"WY","CITY OF SHERIDAN","SHERIDAN","SHERIDAN"
"1728","Altus","37203300100000",125667,"General Purpose",40919691,0,1840962,0,0,14692989,9539012,37125,3161918,0,2309297,40200149,109409,317213,9812190,-2308001,52746962,38963141,189757,0,50438961,FALSE,"1600000US4001700","Altus city","Oklahoma",18729,"OK","CITY OF ALTUS","ALTUS","JACKSON"
"1729","Round Lake","14204901800000",92970,"General Purpose",9875409,9650519,224890,0,0,0,11640488,0,1149620,0,0,7827672,704702,8500,8218829,646083,16113620,0,0,0,16759703,FALSE,"1600000US1766027","Round Lake village","Illinois",18721,"IL","VILLAGE OF ROUND LAKE","ROUND LAKE","LAKE"
"1730","Lynn Haven","10200300500000",69589,"General Purpose",76598007,49294545,4065237,0,5034333,14557831,2612991,0,433872,0,599198,11490060,10257327,2679209,13658455,8164581,29920470,0,0,0,38085051,FALSE,"1600000US1241825","Lynn Haven city","Florida",18695,"FL","CITY OF LYNN HAVEN","LYNN HAVEN","BAY"
"1731","West Chester Borough","39201501500000",126351,"General Purpose",35057765,23712261,2975520,0,0,0,1740331,0,5772355,0,857298,13625896,704081,216080,13125685,3216210,24455532,0,0,0,27671742,FALSE,"1600000US4282704","West Chester borough","Pennsylvania",18671,"PA","BOROUGH OF WEST CHESTER","WEST CHESTER","CHESTER"
"1732","Ellensburg","48201900200000",89020,"General Purpose",0,25770053,0,0,244604,0,3740644,0,8799394,0,2008533,45251122,4016487,0,27830823,5280036,71818396,0,0,0,77098432,FALSE,"1600000US5321240","Ellensburg city","Washington",18666,"WA","CITY OF ELLENSBURG","ELLENSBURG","KITTITAS"
"1733","Newton","17204000400000",114526,"General Purpose",89722473,52344621,1829564,0,15464275,0,18240269,0,1200123,0,643621,20259369,161641,3246926,17486885,3917627,37237194,0,0,0,41154821,FALSE,"1600000US2050475","Newton city","Kansas",18602,"KS","CITY OF NEWTON","NEWTON","HARVEY"
"1734","Phoenixville","39201501200000",126348,"General Purpose",33145903,27887042,1505490,0,0,0,0,4029502,2888928,0,864443,11047674,2276913,519345,9670786,2975832,20538886,0,0,0,23514718,FALSE,"1600000US4260120","Phoenixville borough","Pennsylvania",18602,"PA","BOROUGH OF PHOENIXVILLE","PHOENIXVILLE","CHESTER"
"1735","Clive","16207750100000",114025,"General Purpose",0,25205000,0,319677,0,0,8098445,0,0,0,748909,12214712,3127691,219163,37490775,11541750,41510591,0,1028118,0,53052341,FALSE,"1600000US1914520","Clive city","Iowa",18601,"IA","CITY OF CLIVE","CLIVE","POLK"
"1736","Brook Park","36201801200000",125157,"General Purpose",51520435,9503807,1046512,589207,2305408,0,26100928,39755,9438933,0,2535640,2061855,2949437,97710,24911083,-364893,30384978,0,0,0,30020085,FALSE,"1600000US3909288","Brook Park city","Ohio",18595,"OH","CITY OF BROOK PARK","BROOK PARK","CUYAHOGA"
"1737","Durant","37200700700000",46615,"General Purpose",40911281,0,2607311,348168,0,27848352,7532700,47783,0,0,1543294,13858343,2294270,6278448,25018239,8778944,38670356,0,0,0,47449300,FALSE,"1600000US4022050","Durant city","Oklahoma",18589,"OK","CITY OF DURANT","DURANT","BRYAN"
"1738","Sycamore","14201901100000",74159,"General Purpose",54958708,3808720,4166747,0,14865561,0,19247127,0,9317983,0,3552570,10411305,663900,2241298,25351947,1238814,37429636,2846054,882118,414666,38668450,FALSE,"1600000US1774223","Sycamore city","Illinois",18577,"IL","CITY OF SYCAMORE","SYCAMORE","DEKALB"
