"","name","government_ID","id","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed","geo_id","city_town","state.name","population","state.abb","original_name","CITY","COUNTY_AREA_NAME"
"1769","Colonial Heights","47210700100000",197644,"General Purpose",62961429,31260000,4537682,150917,7895532,0,11603753,0,4319149,0,3086258,9021800,6688762,5263281,49187933,7134544,63027232,0,0,0,70161776,FALSE,"1600000US5118448","Colonial Heights city","Virginia",18170,"VA","CITY OF COLONIAL HEIGHTS","COLONIAL HEIGHTS","COLONIAL HEIGHTS CITY"
"1770","Bourbonnais","14204600300000",96657,"General Purpose",41021012,19523201,1608200,380318,0,3887044,13447602,0,1404808,0,769839,7694214,0,0,8956011,-3021005,19671230,0,0,0,16650225,FALSE,"1600000US1707471","Bourbonnais village","Illinois",18164,"IL","VILLAGE OF BOURBONNAIS","BOURBONNAIS","KANKAKEE"
"1771","Steubenville","36204101500000",44631,"General Purpose",76623278,10328000,2819405,379022,30061640,0,20691729,45246,7082830,0,1418805,16072193,4057941,1643356,15376493,3647763,33502220,0,0,0,37149983,FALSE,"1600000US3974608","Steubenville city","Ohio",18161,"OH","CITY OF STEUBENVILLE","STEUBENVILLE","JEFFERSON"
"1772","Panama City Beach","10200300700000",145658,"General Purpose",190945941,0,11652040,1468956,4962470,140296497,26905671,0,2239015,0,1979654,52874342,17633679,506409,34728039,-7983326,113725795,0,0,0,105742469,FALSE,"1600000US1254725","Panama City Beach city","Florida",18094,"FL","CITY OF PANAMA CITY BEACH","PANAMA CITY BEACH","BAY"
"1773","Mount Washington","18201550100000",115850,"General Purpose",40428514,2015178,1872193,0,10617489,11604266,11230047,0,2856866,0,214812,9141105,0,0,9352229,-1728751,20222085,9141105,107160,0,18493334,FALSE,"1600000US2154228","Mount Washington city","Kentucky",18090,"KY","CITY OF MOUNT WASHINGTON","MOUNT WASHINGTON","BULLITT"
"1774","Crowley","44222000500000",88135,"General Purpose",50514974,43591414,3347912,0,0,0,2638525,0,289745,0,647378,11705959,1146962,1338157,13586192,5583481,22193789,0,0,0,27777270,FALSE,"1600000US4817960","Crowley city","Texas",18070,"TX","CITY OF CROWLEY","CROWLEY","TARRANT"
"1775","Bay City","44216100100000",65060,"General Purpose",33517210,25559591,2625594,116468,0,0,2848012,0,884707,0,417838,11253506,3491951,8574934,13268792,10947571,25641612,7700198,54666,26050,36589183,FALSE,"1600000US4805984","Bay City city","Texas",18061,"TX","CITY OF BAY CITY","BAY CITY","MATAGORDA"
"1776","Natchitoches","19203500400000",43404,"General Purpose",65102257,18087000,11446517,0,929796,0,25347711,0,6433454,0,2857779,31470306,1553043,490553,17144052,-3007390,53665344,28260353,0,0,50657954,FALSE,"1600000US2253545","Natchitoches city","Louisiana",18039,"LA","CITY OF NATCHITOCHES","NATCHITOCHES","NATCHITOCHES"
"1777","La Marque","44208400200000",65240,"General Purpose",44945802,27814455,3649440,494592,2845000,1284500,5175069,0,1282478,0,1910268,11614912,1171384,175744,12239205,-1121735,26322980,6400334,66961,0,25201245,FALSE,"1600000US4841116","La Marque city","Texas",18030,"TX","CITY OF LA MARQUE","LA MARQUE","GALVESTON"
"1778","Ashtabula","36200400200000",82485,"General Purpose",37982762,2965000,991756,0,8692034,0,16729627,0,5564881,0,2181998,8293033,3641677,796072,12869261,4311090,21288953,0,0,0,25600043,FALSE,"1600000US3902638","Ashtabula city","Ohio",17975,"OH","CITY OF ASHTABULA","ASHTABULA","ASHTABULA"
"1779","Fate","44219900100000",88165,"General Purpose",18990208,15215413,2332951,0,0,925000,0,39546,55666,0,461178,21458944,744597,15021316,6598852,21225796,22597913,9878457,4271820,6427026,43823709,FALSE,"1600000US4825572","Fate city","Texas",17958,"TX","CITY OF FATE","FATE","ROCKWALL"
"1780","Tiffin","36207400800000",48037,"General Purpose",50209225,9060501,1475500,870589,12055553,3155000,17424766,66397,4973095,0,1194221,8253150,2736976,1732387,12974214,5834398,19862329,0,0,0,25696727,FALSE,"1600000US3976778","Tiffin city","Ohio",17953,"OH","CITY OF TIFFIN","TIFFIN","SENECA"
"1781","Anoka","24200200100000",116889,"General Purpose",37447357,17810639,6400829,0,2308137,0,8849853,0,680059,0,1397840,43987286,5555413,3564068,13583818,11846708,54843877,0,0,0,66690585,FALSE,"1600000US2701720","Anoka city","Minnesota",17921,"MN","CITY OF ANOKA","ANOKA","ANOKA"
"1782","Alice","44212500100000",88048,"General Purpose",47877898,30114999,6022507,0,0,970430,0,2631914,1199907,0,1734303,12545452,1315522,978271,11099655,-6606266,32545166,0,0,0,25938900,FALSE,"1600000US4801852","Alice city","Texas",17891,"TX","CITY OF ALICE","ALICE","JIM WELLS"
"1783","Sevierville","43207800200000",38561,"General Purpose",286331947,197816186,38483425,0,0,2833316,14717687,4742177,2939515,0,5890335,174328741,379882,2433479,39513456,11901719,204753839,18066704,5709072,52445,216655558,FALSE,"1600000US4767120","Sevierville city","Tennessee",17889,"TN","CITY OF SEVIERVILLE","SEVIERVILLE","SEVIER"
"1784","Boerne","44213000100000",59344,"General Purpose",102909932,55444161,4789524,200496,0,19930000,16332628,0,4617828,0,1565295,35352198,1920520,9289340,22728713,7896568,61394203,0,0,0,69290771,FALSE,"1600000US4809160","Boerne city","Texas",17850,"TX","CITY OF BOERNE","BOERNE","KENDALL"
"1785","North Canton","36207601700000",83941,"General Purpose",36042261,10800479,1840554,0,6215441,0,11741325,0,4391445,0,1053017,12440820,2680396,3483304,13832914,7805434,24632000,0,0,0,32437434,FALSE,"1600000US3956294","North Canton city","Ohio",17842,"OH","CITY OF NORTH CANTON","NORTH CANTON","STARK"
"1786","Cary","14205600200000",96700,"General Purpose",21556768,0,2024208,0,4150936,0,14033485,0,1042659,0,305480,5373816,698955,128000,8402183,-1000305,15603259,0,0,0,14602954,FALSE,"1600000US1711592","Cary village","Illinois",17826,"IL","VILLAGE OF CARY","CARY","MCHENRY"
"1787","Godfrey","14206020100000",92344,"General Purpose",1297164,0,836884,0,0,46890,360630,0,0,0,52760,1754201,24709,516998,7508272,541772,9262408,0,0,0,9804180,FALSE,"1600000US1730094","Godfrey village","Illinois",17825,"IL","VILLAGE OF GODFREY","GODFREY","MADISON"
"1788","Gretna","19202600100000",33799,"General Purpose",56725832,20813941,3351896,0,0,0,29153979,0,1192154,0,2213862,10728247,854896,1115055,31540992,1451659,42787531,0,0,0,44239190,FALSE,"1600000US2231915","Gretna city","Louisiana",17814,"LA","CITY OF GRETNA","GRETNA","JEFFERSON"
"1789","Mebane","34200100400000",123085,"General Purpose",31823327,0,3697528,0,0,0,3857819,0,7870810,0,541228,9108969,957002,9328440,17164239,9826250,26732400,0,0,0,36558650,FALSE,"1600000US3742240","Mebane city","North Carolina",17797,"NC","CITY OF MEBANE","MEBANE","ALAMANCE"
"1790","Centerton","04200400200000",110924,"General Purpose",853501,10112596,853501,36472,0,338073,6499551,0,0,0,0,0,0,0,13489683,988005,12501678,0,0,0,13489683,FALSE,"1600000US0512820","Centerton city","Arkansas",17792,"AR","CITY OF CENTERTON","CENTERTON","BENTON"
"1791","Goodlettsville","43201950200000",87865,"General Purpose",22632038,0,1194501,0,9831013,0,2873378,0,8367290,0,365856,7681052,746900,641390,15314576,2410889,21973029,0,0,0,24383918,FALSE,"1600000US4729920","Goodlettsville city","Tennessee",17789,"TN","CITY OF GOODLETTSVILLE","GOODLETTSVILLE","DAVIDSON"
"1792","Southbridge","22201410100000",77339,"General Purpose",123828140,33267603,6735589,0,0,8534690,26564429,0,47291649,0,1434180,12889205,37493175,1505070,29174133,-1608437,82670020,0,0,0,81061583,FALSE,"1600000US2563345","Southbridge Town city","Massachusetts",17740,"MA","CITY OF SOUTHBRIDGE TOWN","SOUTHBRIDGE","WORCESTER"
"1793","Troy","01205500400000",91940,"General Purpose",158328261,103391923,9778886,1220296,0,12077818,25817853,0,3203244,0,2838241,65297890,1955497,1776046,23671876,-207222,92908531,30845755,50121,0,92701309,FALSE,"1600000US0176920","Troy city","Alabama",17727,"AL","CITY OF TROY","TROY","PIKE"
"1794","Wayne","23208202700000",81110,"General Purpose",80748808,17985000,4069872,0,0,29812,51594452,0,4836702,0,2232970,17806589,3029787,86304,11364879,-1582368,33869927,0,0,0,32287559,FALSE,"1600000US2684940","Wayne city","Michigan",17713,"MI","CITY OF WAYNE","WAYNE","WAYNE"
"1795","Ammon","13201000100000",111629,"General Purpose",33594841,1362207,2218976,0,0,0,1796636,0,0,0,83489,9406559,958612,9942420,7398492,12526153,15179930,3861989,250291,1913960,27706083,FALSE,"1600000US1601990","Ammon city","Idaho",17694,"ID","CITY OF AMMON","AMMON","BONNEVILLE"
"1796","Clemson","41203900200000",38288,"General Purpose",43858141,7588677,5058707,242000,12000827,0,18099648,0,0,0,868282,15630318,3067683,3009419,10677591,3456243,28928768,0,0,0,32385011,FALSE,"1600000US4514950","Clemson city","South Carolina",17681,"SC","CITY OF CLEMSON","CLEMSON","PICKENS"
"1797","New Philadelphia","36207901000000",36953,"General Purpose",36480582,4630940,1295035,225149,3498824,0,18262901,0,6734493,0,1833240,9536050,3678421,1463173,12192222,1222717,25647149,0,0,0,26869866,FALSE,"1600000US3955216","New Philadelphia city","Ohio",17677,"OH","CITY OF NEW PHILADELPHIA","NEW PHILADELPHIA","TUSCARAWAS"
"1798","Eastlake","36204300100000",83032,"General Purpose",39905880,7745000,2392750,948873,5816533,0,15030605,0,3947289,0,1368331,4252285,4235817,2582983,15591184,5925649,20736620,0,0,0,26662269,FALSE,"1600000US3923618","Eastlake city","Ohio",17670,"OH","CITY OF EASTLAKE","EASTLAKE","LAKE"
"1799","Stafford","44207900500000",65649,"General Purpose",28092455,8824637,9925085,2591999,0,0,3021728,0,519135,0,1496593,5637549,1093495,5388441,17604957,101031,29623411,0,0,0,29724442,FALSE,"1600000US4869908","Stafford city","Texas",17666,"TX","CITY OF STAFFORD","STAFFORD","FORT BEND"
"1800","Laguna Woods","05203030100000",67457,"General Purpose",1312074,0,1147156,0,0,0,15529,0,51013,0,98376,710475,365823,453524,6147007,-627470,8304299,0,0,0,7676829,FALSE,"1600000US0639259","Laguna Woods city","California",17644,"CA","CITY OF LAGUNA WOODS","LAGUNA WOODS","ORANGE"
"1801","Anacortes","48202900100000",88904,"General Purpose",76058884,43273258,3663909,0,10111636,0,4315357,3754154,7127102,0,1506519,27282604,3263860,12292311,21466213,8971127,55333860,11013321,906606,9827111,64304988,FALSE,"1600000US5301990","Anacortes city","Washington",17637,"WA","CITY OF ANACORTES","ANACORTES","SKAGIT"
"1802","Takoma Park","21201601200000",64901,"General Purpose",28270241,9052500,3238761,0,150000,0,14825283,0,0,0,1003697,2818215,9556806,223874,19597650,5467316,26729229,0,0,0,32196545,FALSE,"1600000US2476650","Takoma Park city","Maryland",17629,"MD","CITY OF TAKOMA PARK","TAKOMA PARK","MONTGOMERY"
"1803","Lemont","14201605000000",92538,"General Purpose",50977968,33101928,3407989,81985,0,110585,12383164,0,1193792,0,698525,7908717,707922,2373764,11783074,2614542,20158935,0,0,0,22773477,FALSE,"1600000US1742795","Lemont village","Illinois",17629,"IL","VILLAGE OF LEMONT","LEMONT","COOK"
"1804","Jacksonville","14206900400000",32813,"General Purpose",72068810,29465094,2045056,44316,0,0,40250605,0,0,0,263739,9255433,2619601,53019,18045800,1203311,28770542,0,0,0,29973853,FALSE,"1600000US1738115","Jacksonville city","Illinois",17616,"IL","CITY OF JACKSONVILLE","JACKSONVILLE","MORGAN"
"1805","Coalinga","05201000200000",31757,"General Purpose",18859787,14971402,2577989,47177,0,0,761876,0,0,0,501343,13355158,5368289,125152,7512183,4324908,22035874,0,0,0,26360782,FALSE,"1600000US0614274","Coalinga city","California",17590,"CA","CITY OF COALINGA","COALINGA","FRESNO"
"1806","Pinehurst","34206360100000",123330,"General Purpose",6146290,0,1301187,0,141600,0,4000218,0,0,0,703285,1487262,581759,516976,18859417,2769157,18676257,0,0,0,21445414,FALSE,"1600000US3751940","Pinehurst village","North Carolina",17581,"NC","VILLAGE OF PINEHURST","PINEHURST","MOORE"
"1807","Cortland","33201200100000",36025,"General Purpose",128033505,17643422,3772949,1883771,0,17118404,11918585,0,68214504,0,7481870,6827288,2511459,1577900,16394874,-2595287,29906808,0,0,0,27311521,FALSE,"1600000US3618388","Cortland city","New York",17556,"NY","CITY OF CORTLAND","CORTLAND","CORTLAND"
"1808","St Matthews","18205602200000",115972,"General Purpose",18702743,0,0,0,0,0,13566751,0,3524219,0,710436,370675,0,0,14797614,88132,15080157,0,0,0,15168289,FALSE,"1600000US2167944","St. Matthews city","Kentucky",17534,"KY","CITY OF ST MATTHEWS","LOUISVILLE","JEFFERSON"
"1809","Kirksville","26200100300000",81479,"General Purpose",37570450,23092201,2786772,1795070,0,0,779493,0,0,0,1047032,11266779,926258,1108779,15244277,907947,27638146,0,0,0,28546093,FALSE,"1600000US2939026","Kirksville city","Missouri",17530,"MO","CITY OF KIRKSVILLE","KIRKSVILLE","ADAIR"
"1810","South Ogden","45202900800000",88624,"General Purpose",19871001,10263086,3694073,2066252,0,374320,1971256,271152,811960,0,690054,8465011,1235642,823064,9974973,2678509,17820181,0,0,0,20498690,FALSE,"1600000US4970960","South Ogden city","Utah",17488,"UT","CITY OF SOUTH OGDEN","SOUTH OGDEN","WEBER"
"1811","Morganton","34201200300000",81733,"General Purpose",52925497,0,4776390,0,8533376,0,7551416,0,18804069,0,1488204,50246211,749741,7427616,18983321,10370220,67036669,0,0,0,77406889,FALSE,"1600000US3744400","Morganton city","North Carolina",17474,"NC","CITY OF MORGANTON","MORGANTON","BURKE"
"1812","Terrell","44212900600000",38692,"General Purpose",72217925,42726378,5988428,0,0,2365973,6794891,0,4850290,0,1637584,20059291,8799478,3790480,28774404,4958704,56464949,0,0,0,61423653,FALSE,"1600000US4872284","Terrell city","Texas",17465,"TX","CITY OF TERRELL","TERRELL","KAUFMAN"
"1813","Stuart","10204300200000",65619,"General Purpose",84103734,21709000,7147259,0,0,15741127,33790486,0,2667900,0,3047962,24750534,531839,1281301,25008567,3216985,48355256,0,0,0,51572241,FALSE,"1600000US1268875","Stuart city","Florida",17425,"FL","CITY OF STUART","STUART","MARTIN"
"1814","West Columbia","41203201200000",128163,"General Purpose",99241521,56160570,4534936,1297478,0,0,22652903,0,1454183,0,1150992,25940392,272301,1063374,8995487,4779595,31491959,0,0,0,36271554,FALSE,"1600000US4575850","West Columbia city","South Carolina",17416,"SC","CITY OF WEST COLUMBIA","WEST COLUMBIA","LEXINGTON"
"1815","Hinsdale","14202200800000",92424,"General Purpose",1716459,1483904,78974,0,0,0,0,492073,113535,0,40046,6027,21020,0,3231814,922452,2336409,0,0,0,3258861,FALSE,"1600000US1735307","Hinsdale village","Illinois",17395,"IL","VILLAGE OF HINSDALE","HINSDALE","DUPAGE"
"1816","Gainesville","44204900100000",88183,"General Purpose",52275417,39292965,2319591,472872,0,0,8342442,0,762753,0,387221,16894082,1079275,0,18174942,5792156,30356143,0,0,0,36148299,FALSE,"1600000US4827984","Gainesville city","Texas",17394,"TX","CITY OF GAINESVILLE","GAINESVILLE","COOKE"
"1817","Brenham","44223900100000",65061,"General Purpose",53780635,31149332,4777098,804795,0,1137069,12790783,0,1866632,0,820098,35055891,2675813,3164898,18158250,4845424,54209428,0,0,0,59054852,FALSE,"1600000US4810156","Brenham city","Texas",17369,"TX","CITY OF BRENHAM","BRENHAM","WASHINGTON"
"1818","Amesbury","22200510100000",34050,"General Purpose",236995184,49469141,4706397,567231,11498589,1432899,41934989,0,125789507,0,1596431,9169241,21062975,1825300,49723850,-10603116,92384482,0,0,0,81781366,FALSE,"1600000US2501260","Amesbury Town city","Massachusetts",17366,"MA","CITY OF AMESBURY","AMESBURY","ESSEX"
"1819","Clayton","26209501800000",120223,"General Purpose",46158313,32882283,6985875,118624,0,0,4125520,0,1588069,0,457942,6306863,3260578,2065607,25078453,1564429,35147072,0,0,0,36711501,FALSE,"1600000US2914572","Clayton city","Missouri",17355,"MO","CITY OF CLAYTON","CLAYTON","ST LOUIS"
"1820","Groves","44212300300000",47937,"General Purpose",6849498,4495000,1900294,0,0,0,9839,0,0,0,444365,6811062,164969,0,10216472,268773,16923730,0,0,0,17192503,FALSE,"1600000US4831328","Groves city","Texas",17335,"TX","CITY OF GROVES","GROVES","JEFFERSON"
"1821","Murray","18201800300000",33588,"General Purpose",109314367,0,5001013,0,63391660,2507170,29958875,0,7673259,0,782391,23827775,2558699,370616,11197479,1192219,36762350,0,0,0,37954569,FALSE,"1600000US2154642","Murray city","Kentucky",17307,"KY","CITY OF MURRAY","MURRAY","CALLOWAY"
"1822","Conyers","11212200100000",53994,"General Purpose",50251440,16756523,3842374,871071,0,0,7752129,0,19809825,0,919518,7495004,284743,3728351,16849917,5346243,23011772,0,0,0,28358015,FALSE,"1600000US1319336","Conyers city","Georgia",17305,"GA","CITY OF CONYERS","CONYERS","ROCKDALE"
"1823","Johnstown","06206201400000",111220,"General Purpose",4049534,0,3886367,0,0,0,0,23081990,0,0,163167,12258817,1374493,7387215,23589570,21144329,23465766,0,0,0,44610095,FALSE,"1600000US0839855","Johnstown town","Colorado",17303,"CO","TOWN OF JOHNSTOWN","JOHNSTOWN","WELD"
"1824","Fairview Park","36201801900000",125158,"General Purpose",49343696,16638684,1215360,727858,4063229,1051897,18289988,0,5568187,0,1788493,4529725,2722092,941018,17976986,2936788,23233033,0,0,0,26169821,FALSE,"1600000US3926446","Fairview Park city","Ohio",17291,"OH","CITY OF FAIRVIEW PARK","FAIRVIEW PARK","CUYAHOGA"
"1825","Siloam Springs","04200401100000",91955,"General Purpose",30255543,9301465,6889414,104747,0,0,9900403,0,2600747,0,1458767,39119211,1384898,0,21139364,8836063,52807410,0,0,0,61643473,FALSE,"1600000US0564370","Siloam Springs city","Arkansas",17287,"AR","CITY OF SILOAM SPRINGS","SILOAM SPRINGS","BENTON"
"1826","Beckley","49204100100000",39760,"General Purpose",69642695,13238772,2095658,743407,0,0,41903111,0,9719432,0,1166351,3024903,5082015,224622,22609741,2738335,28202946,0,0,0,30941281,FALSE,"1600000US5405332","Beckley city","West Virginia",17286,"WV","CITY OF BECKLEY","BECKLEY","RALEIGH"
"1827","Charleston","14201500200000",71583,"General Purpose",64601944,4734336,1325539,0,0,4246765,49640929,32960,2633694,0,2020681,8682867,1004994,908239,12366188,-931298,23893586,0,0,0,22962288,FALSE,"1600000US1712567","Charleston city","Illinois",17286,"IL","CITY OF CHARLESTON","CHARLESTON","COLES"
"1828","Shelbyville","18210600100000",116156,"General Purpose",27270993,4885720,1123401,236519,0,1074470,15093914,0,3922184,0,934785,1050003,1447615,360634,10531047,457356,12931943,0,0,0,13389299,FALSE,"1600000US2170050","Shelbyville city","Kentucky",17282,"KY","CITY OF SHELBYVILLE","SHELBYVILLE","SHELBY"
"1829","El Segundo","05201901500000",146638,"General Purpose",220029497,0,11021407,8202967,0,0,153431491,0,29126015,0,5321617,39306076,2932318,7691323,66282747,292759,115919705,26404788,243092,0,116212464,FALSE,"1600000US0622412","El Segundo city","California",17272,"CA","CITY OF EL SEGUNDO","EL SEGUNDO","LOS ANGELES"
"1830","Streetsboro","36206780200000",84461,"General Purpose",36326997,5323286,2606877,0,462131,6264570,15005039,29173,4703149,0,1294684,5683455,2136700,710486,16411628,3735277,21206992,0,0,0,24942269,FALSE,"1600000US3975014","Streetsboro city","Ohio",17260,"OH","CITY OF STREETSBORO","STREETSBORO","PORTAGE"
"1831","Los Lunas","32203200300000",122008,"General Purpose",71435964,8765000,7367746,113993,26005972,0,21751236,0,6369096,0,600424,15576875,2300677,838564,31166905,14331005,35552016,0,0,0,49883021,FALSE,"1600000US3543370","Los Lunas village","New Mexico",17242,"NM","VILLAGE OF LOS LUNAS","LOS LUNAS","VALENCIA"
"1832","Aurora","36206700100000",82510,"General Purpose",34958904,2500000,4562492,510000,369489,315000,18479741,0,6641291,0,1427939,7601691,2422436,1949797,22249064,5028306,29194682,0,0,0,34222988,FALSE,"1600000US3903086","Aurora city","Ohio",17239,"OH","CITY OF AURORA","AURORA","PORTAGE"
"1833","Danville","18201100100000",64886,"General Purpose",102705522,70202009,1783935,1429746,0,0,23233801,0,5685146,0,370885,11540989,1595981,482651,18223629,212999,31630251,9579561,352583,0,31843250,FALSE,"1600000US2119882","Danville city","Kentucky",17234,"KY","CITY OF DANVILLE","DANVILLE","BOYLE"
"1834","Manassas Park","47214190100000",130810,"General Purpose",112670930,90721644,5461306,898420,7255000,0,3338071,0,3745481,0,1248008,11839136,3507904,31509,41522789,3229865,53671473,0,0,0,56901338,FALSE,"1600000US5148968","Manassas Park city","Virginia",17219,"VA","CITY OF MANASSAS PARK","MANASSAS PARK","MANASSAS PARK CITY"
"1835","Bristol","47210200100000",39488,"General Purpose",161380034,107695742,5660079,4186649,0,0,21520496,0,6782019,0,1887536,7446950,17124532,1507606,35498478,875968,60701598,0,0,0,61577566,FALSE,"1600000US5109816","Bristol city","Virginia",17219,"VA","CITY OF BRISTOL","BRISTOL","BRISTOL CITY"
"1836","Norcross","11206700700000",92040,"General Purpose",26368420,4530000,4064562,257913,0,0,2151572,0,14787367,0,283601,20770424,1022293,4437485,10769884,4120164,32879922,0,0,0,37000086,FALSE,"1600000US1355776","Norcross city","Georgia",17209,"GA","CITY OF NORCROSS","NORCROSS","GWINNETT"
"1837","Bellaire","44210100200000",88079,"General Purpose",141147157,121751097,3686211,547561,0,0,11339707,0,2130101,0,1022515,11835279,2872562,0,25701028,-1168490,41577359,0,0,0,40408869,FALSE,"1600000US4807300","Bellaire city","Texas",17202,"TX","CITY OF BELLAIRE","BELLAIRE","HARRIS"
"1838","Zephyrhills","10205100600000",32311,"General Purpose",63651977,10734775,4627829,0,8489066,0,19455173,0,18754000,0,1591134,18394726,0,6992347,14662570,6986225,33063418,0,0,0,40049643,FALSE,"1600000US1279225","Zephyrhills city","Florida",17194,"FL","CITY OF ZEPHYRHILLS","ZEPHYRHILLS","PASCO"
"1839","Wixom","23206350200000",81237,"General Purpose",36174753,30139487,3304927,0,0,0,1267153,0,0,2471188,905094,8666897,2379254,675593,13428999,1407152,23743591,0,0,0,25150743,FALSE,"1600000US2688140","Wixom city","Michigan",17193,"MI","CITY OF WIXOM","WIXOM","OAKLAND"
"1840","Laurel","25203400200000",43223,"General Purpose",103921279,34965000,14222176,4303492,0,17875363,32253226,0,0,0,302022,15527380,663556,1288775,24444024,4296485,37627250,0,0,0,41923735,FALSE,"1600000US2839640","Laurel city","Mississippi",17161,"MS","CITY OF LAUREL","LAUREL","JONES"
"1841","Buford","11206700200000",47523,"General Purpose",101161357,63698321,10345025,0,0,0,7666183,0,12017144,0,357305,77056309,2624220,3945182,27736749,9695749,101666711,0,0,0,111362460,FALSE,"1600000US1311784","Buford city","Georgia",17144,"GA","CITY OF BUFORD","BUFORD","GWINNETT"
"1842","Canon","06202200100000",111104,"General Purpose",19691731,0,1839012,690000,0,0,0,209831,0,0,649446,10366480,1350139,927874,17477113,6204326,23917280,0,0,0,30121606,FALSE,"1600000US0811810","Ca̱on City city","Colorado",17141,"CO","CITY OF CANON","CANON CITY","FREMONT"
"1843","Morton","14209001100000",92687,"General Purpose",1525452,0,192117,0,0,1333335,0,0,0,0,0,11841344,121697,0,11891916,-1487930,25342887,0,0,0,23854957,FALSE,"1600000US1750621","Morton village","Illinois",17117,"IL","VILLAGE OF MORTON","MORTON","TAZEWELL"
"1844","Pendleton","38203000700000",37573,"General Purpose",65060877,19544240,7399166,0,18120475,463090,17480353,0,1320888,170371,732665,17126631,3559980,8618544,12922930,5740083,36488002,0,0,0,42228085,FALSE,"1600000US4157150","Pendleton city","Oregon",17107,"OR","CITY OF PENDLETON","PENDLETON","UMATILLA"
"1845","Easton","21202100100000",65210,"General Purpose",47529628,8149237,7582677,196222,17545296,277769,7060646,0,4715459,11316,2002322,56000689,2000112,0,15591743,7909463,65683081,0,0,0,73592544,FALSE,"1600000US2424475","Easton town","Maryland",17101,"MD","TOWN OF EASTON","EASTON","TALBOT"
"1846","Safety Harbor","10205201900000",70142,"General Purpose",23262806,2824622,3202954,210000,0,12710748,1689387,2133033,1386639,0,1238456,17999612,1656628,39200,16569614,6979692,29285362,0,0,0,36265054,FALSE,"1600000US1262425","Safety Harbor city","Florida",17072,"FL","CITY OF SAFETY HARBOR","SAFETY HARBOR","PINELLAS"
"1847","Milledgeville","11200500100000",32465,"General Purpose",11738708,1202606,3106944,0,0,3407472,1909883,0,0,0,717226,11837702,302621,857559,11282591,-86233,24366706,0,0,0,24280473,FALSE,"1600000US1351492","Milledgeville city","Georgia",17070,"GA","CITY OF MILLEDGEVILLE","MILLEDGEVILLE","BALDWIN"
"1848","Norwalk","36203900600000",83976,"General Purpose",36534612,0,864525,661161,11592073,365000,15497588,0,5862744,0,1691521,9455503,4006624,226250,11074806,58000,24705183,0,0,0,24763183,FALSE,"1600000US3957302","Norwalk city","Ohio",17068,"OH","CITY OF NORWALK","NORWALK","HURON"
"1849","Defiance","36202000100000",82980,"General Purpose",76154719,15162913,1769148,481460,32150829,0,18735216,80361,6830706,0,1024447,16642837,3238068,2047021,13672206,6572944,29027188,0,0,0,35600132,FALSE,"1600000US3921308","Defiance city","Ohio",17066,"OH","CITY OF DEFIANCE","DEFIANCE","DEFIANCE"
"1850","Tifton","11213700200000",92048,"General Purpose",26559397,1345000,2323983,0,0,396153,8689103,0,0,0,311385,18752416,142376,3850896,13012662,4701408,31056942,0,0,0,35758350,FALSE,"1600000US1376476","Tifton city","Georgia",17045,"GA","CITY OF TIFTON","TIFTON","TIFT"
"1851","Washougal","48200600600000",89415,"General Purpose",34427780,26981000,0,0,2132261,0,1550870,1180050,1250206,0,978443,13067250,2582902,0,16733691,4308479,28075364,0,0,0,32383843,FALSE,"1600000US5376405","Washougal city","Washington",17039,"WA","CITY OF WASHOUGAL","WASHOUGAL","CLARK"
"1852","Princeton","44204301000000",88416,"General Purpose",56623329,47930121,5222539,1802014,0,0,627432,0,113865,0,605100,24298666,1138896,28592204,10122882,39987104,24165544,0,0,0,64152648,FALSE,"1600000US4859576","Princeton city","Texas",17027,"TX","CITY OF PRINCETON","PRINCETON","COLLIN"
"1853","Bridgeview","14201601000000",96662,"General Purpose",318753476,249224158,5692827,0,486443,362582,49065919,0,12752015,0,1169532,10005902,1236685,361284,38570767,-2857515,53032153,0,0,0,50174638,FALSE,"1600000US1708225","Bridgeview village","Illinois",17027,"IL","VILLAGE OF BRIDGEVIEW","BRIDGEVIEW","COOK"
"1854","Bluffdale","45201860200000",88517,"General Purpose",12358149,10071958,1518870,0,0,0,586668,0,0,0,180653,10889959,1057102,18935587,8284867,19639525,19527990,0,0,0,39167515,FALSE,"1600000US4906810","Bluffdale city","Utah",17014,"UT","CITY OF BLUFFDALE","BLUFFDALE","SALT LAKE"
"1855","Rancho Mirage","05203390100000",54974,"General Purpose",10113088,0,8646537,0,133154,0,0,578798,0,200766,1236186,26977219,1461283,811100,37399016,-4244872,70893490,0,0,0,66648618,FALSE,"1600000US0659500","Rancho Mirage city","California",16999,"CA","CITY OF RANCHO MIRAGE","RANCHO MIRAGE","RIVERSIDE"
"1856","Ashwaubenon","50200560100000",131114,"General Purpose",70996489,66190771,1963001,0,0,0,0,2354944,0,0,2842717,12121379,1390164,1306199,21111342,1679145,34249939,0,0,0,35929084,FALSE,"1600000US5503425","Ashwaubenon village","Wisconsin",16991,"WI","VILLAGE OF ASHWAUBENON","ASHWAUBENON","BROWN"
