acfrs_original_name,id,year,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,name,ratio,ratio_group,state,NCES District ID,nces_original_name,county,student
Red Lion Area School District,38199,2020,195745894,33752686,12048258,0,0,10645000,122897911,0,15090312,0,1311727,1201806,20610272,1126541,69669230,2347958,90259891,0,0,0,92607849,red lion area,2.113707381325745,1 - 5%,Pennsylvania,4220100,Red Lion Area SD,York County,5087
Avon Grove School District,37936,2020,208561040,49532456,12567098,30912,0,0,111109000,0,21789408,0,1724771,1206354,16299567,0,77578339,1790853,93293407,0,0,0,95084260,avon grove,2.1934339079885565,1 - 5%,Pennsylvania,4202790,Avon Grove SD,Chester County,5084
Mountain View Whisman School District,42668,2020,412935860,317216224,5187075,0,0,0,79439177,0,11033092,0,60292,3730171,16413221,0,83266532,-14011315,117421239,0,0,0,103409924,mountain view whisman,3.9931937286792705,1 - 5%,California,0626280,Mountain View Whisman,Santa Clara County,5082
Mcfarland School District,89532,2020,72089160,57594667,1612605,433569,0,5350000,0,3540622,5702319,0,1396000,26661417,3855217,6765,32058118,1702630,60878887,0,0,0,62581517,mcfarland,1.1519241376012026,1 - 5%,Wisconsin,5508910,McFarland School District,Dane County,5076
Hardee County District School Board,32392,2020,38429308,2046000,1449163,0,0,0,29600652,0,2782915,0,2550578,85227,3005730,288735,46609931,-4957448,54947071,0,0,0,49989623,hardee,0.7687457054837161, Below 1%,Florida,1200750,HARDEE,Hardee County,5068
Republic R-III School District,35218,2020,0,38403000,0,6938035,0,0,0,0,0,0,0,2035664,5904868,382769,46859026,-3364777,58547104,0,0,0,55182327,republic r-iii,0, Below 1%,Missouri,2926220,REPUBLIC R-III,Greene County,5062
Ossining Union Free School District,36472,2020,417840115,40602983,11723567,0,0,0,8429462,8726129,351737919,0,1844849,871636,8995798,291154,131836767,-18124901,160120256,0,0,0,141995355,ossining union free,2.942632278358683,1 - 5%,New York,3622020,OSSINING UNION FREE SCHOOL DISTRICT,Westchester County,5061
Kankakee School District 111,33027,2020,38321968,37390000,105319,826649,0,0,5434108,0,0,0,0,0,0,0,104518021,1726004,102792017,0,0,0,104518021,kankakee,0.36665416770568204, Below 1%,Illinois,1720760,Kankakee SD 111,Kankakee County,5051
Baker County District School Board,32370,2020,40847863,0,2158400,0,0,0,27933033,0,3542718,0,4023692,397126,2950401,170065,45400856,-1406947,50325395,0,0,0,48918448,baker,0.8350196024207472, Below 1%,Florida,1200060,BAKER,Baker County,5047
Baldwin County Board of Education,105248,2020,104259863,6924432,10778879,0,0,0,47791154,0,38314007,0,451391,372768,38614966,623797,28147009,1249478,66509062,0,0,0,67758540,baldwin,1.5386970114763394,1 - 5%,Georgia,1300210,Baldwin County,Baldwin County,5027
Meade County School District,33712,2020,116822034,80972881,2674604,940015,0,0,17887002,0,13645572,0,644088,198430,6809420,106087,46825836,-1379291,55319064,0,0,0,53939773,meade,2.165786533806881,1 - 5%,Kentucky,2104050,Meade County,Meade County,5020
Plainview-Old Bethpage Central School District,36274,2020,243637362,42195000,13905681,0,0,6000000,11588224,10074142,161187523,0,8760934,1707583,2298020,68479,152762524,-11437109,168273715,0,0,0,156836606,plainview-old bethpage central,1.5534470441167287,1 - 5%,New York,3623220,PLAINVIEW-OLD BETHPAGE CENTRAL SCHOOL DISTRICT,Nassau County,5016
Stroudsburg Area School District,38084,2020,307430441,107009498,13486714,1081466,0,0,155851162,0,26686617,0,3314984,1053874,21422954,5448579,90166892,5701241,112391058,0,0,0,118092299,stroudsburg area,2.603306427288709,1 - 5%,Pennsylvania,4222860,Stroudsburg Area SD,Monroe County,5016
Quakertown Community School District,37903,2020,315886309,143801955,12445077,996358,0,7236000,138523000,0,10948338,0,1935581,902833,17433243,0,95346688,9633585,104049179,0,0,0,113682764,quakertown community,2.7786649258457508,1 - 5%,Pennsylvania,4219890,Quakertown Community SD,Bucks County,5002
Madison County Board of Education,105325,2020,131035460,14570398,6881327,73685,0,0,52343272,0,38944181,0,120236,1356615,39536969,189305,25732806,721160,66094535,0,0,0,66815695,madison,1.961147900953511,1 - 5%,Georgia,1303480,Madison County,Madison County,4996
Chippewa Falls Area Unified School District,39946,2020,103304177,63125522,13764002,175707,0,13000000,1362524,6152181,10458435,0,1417987,2273743,7114596,0,63264443,-703046,73355828,0,0,0,72652782,chippewa falls area unified,1.4218887997984715,1 - 5%,Wisconsin,5502550,Chippewa Falls Area Unified School District,Chippewa County,4987
Euclid City School District,37055,2020,257668281,129778935,19159894,6449,0,0,82105747,0,8092173,0,1480944,1755644,14641082,478517,71721016,-5204144,93800403,0,0,478517,88596259,euclid city,2.908342676184555,1 - 5%,Ohio,3904395,Euclid City,Cuyahoga County,4985
Atwater Elementary School District,145907,2020,76847787,12713058,5668338,137267,0,0,55411258,0,2866353,0,51513,74314,12648798,0,57338107,5673951,64387268,0,0,0,70061219,atwater elementary,1.0968662563521767,1 - 5%,California,0603420,Atwater Elementary,Merced County,4978
Jacksonville Independent School District,38869,2020,123093275,87580881,3958717,0,0,0,13440725,0,17771577,0,341375,863450,10314588,0,52133767,831631,62480174,257906,0,0,63311805,jacksonville,1.944238914054022,1 - 5%,Texas,4824590,JACKSONVILLE ISD,Cherokee County,4978
Armstrong School District,37861,2020,312144598,138763785,13821871,0,0,0,135061000,0,23380000,0,1117942,641486,29239806,1366511,72061991,1642931,101666863,0,0,0,103309794,armstrong,3.0214424587856596,1 - 5%,Pennsylvania,4202590,Armstrong SD,Armstrong County,4965
San Gabriel Unified School District,146596,2020,184955826,101856405,13585240,0,0,0,62033145,0,6819314,0,661722,1729670,13216146,0,58580167,-9175310,82701293,0,0,0,73525983,san gabriel unified,2.5155165351546542,1 - 5%,California,0634425,San Gabriel Unified,Los Angeles County,4947
Little Miami Local School District,37297,2020,189616637,118874988,8210380,0,0,4000000,49509628,0,5382253,0,3639388,2849995,3773981,0,59730758,-752068,67106802,0,0,0,66354734,little miami local,2.8576203319570235,1 - 5%,Ohio,3905044,Little Miami Local,Warren County,4946
Alamo Heights Independent School District,43490,2020,225554122,182966417,11039535,0,0,0,14655618,0,16892552,0,0,3374294,5243806,0,91075726,2016519,97677307,0,0,0,99693826,alamo heights,2.26246830972261,1 - 5%,Texas,4807590,ALAMO HEIGHTS ISD,Bexar County,4944
Lennox School District,31219,2020,184376582,41332933,16877650,2498536,8000000,0,77959934,0,32710866,0,435971,37031,19101262,1080,66291444,2502898,82927919,0,0,0,85430817,lennox,2.158197574067447,1 - 5%,California,0621420,Lennox,Los Angeles County,4944
Kings Local School District,37295,2020,124590436,45644770,6287378,0,0,0,60324091,0,6037781,3466782,6033353,3687574,5459699,0,55340536,-5319648,69807457,0,0,0,64487809,kings local,1.931999829611206,1 - 5%,Ohio,3905043,Kings Local,Warren County,4942
Mercedes Independent School District,39017,2020,111318537,53453733,5019442,0,68964,4475000,20185095,0,26007657,0,2108646,1419543,15010735,0,55525401,-1546468,73502147,6161913,7237,0,71955679,mercedes,1.5470431041308081,1 - 5%,Texas,4830250,MERCEDES ISD,Hidalgo County,4941
Desoto County District School Board,32381,2020,36327873,2954989,1434227,0,0,0,27357145,0,2743633,0,1837880,149871,2494154,180155,50732872,-2525790,56082842,0,0,0,53557052,desoto,0.6783023270212857, Below 1%,Florida,1200420,DESOTO,DeSoto County,4939
Northmont City School District,37195,2020,141595915,54455435,8885497,1037344,0,0,66926117,0,6413330,3897853,3878192,3732060,5246880,0,62395785,-4345658,75720383,0,0,0,71374725,northmont city,1.9838383265224488,1 - 5%,Ohio,3904872,Northmont City,Montgomery County,4937
Whitehouse Independent School District,39181,2020,148124968,117325598,3336224,0,0,0,11826868,0,15383971,0,252307,986073,8717504,0,48648108,439820,57911865,0,0,0,58351685,whitehouse,2.5384865578431883,1 - 5%,Texas,4845600,WHITEHOUSE ISD,Smith County,4936
Williamsport Area School District,38073,2020,275324384,85702043,28267436,227324,0,0,134734000,0,25877522,0,516059,2577828,31688221,415157,63889641,4933839,93637008,0,0,0,98570847,williamsport area,2.7931624042958667,1 - 5%,Pennsylvania,4226460,Williamsport Area SD,Lycoming County,4921
William Penn School District,43159,2020,214038765,51916932,13898058,0,0,0,120652000,0,26644231,0,927544,133570,29886550,0,78863461,2601982,106281599,0,0,0,108883581,william penn,1.9657579502275921,1 - 5%,Pennsylvania,4226390,William Penn SD,Delaware County,4916
Edcouch-Elsa Independent School District,39014,2020,79708467,31207169,4908334,0,0,6188083,15747672,0,21383102,0,111775,1761781,13555471,0,51315500,-827484,67460236,0,0,0,66632752,edcouch-elsa,1.196235553951006,1 - 5%,Texas,4818060,EDCOUCH-ELSA ISD,Hidalgo County,4912
Manalapan-Englishtown Regional School District,35831,2020,58502436,27650000,1746260,1470690,0,0,24978477,0,0,0,2657009,1185275,10265122,0,84403778,4438855,91415320,0,0,0,95854175,manalapan-englishtown regional,0.6103274687826586, Below 1%,New Jersey,3409390,Manalapan-Englishtown Regional Schools School District,Monmouth County,4910
Guilderland Central School District,36101,2020,380416386,25038617,2355174,0,0,3163860,8127187,6628507,334511069,0,2655679,1051497,2946553,0,100559723,-34119299,138677072,0,0,0,104557773,guilderland central,3.6383367308330103,1 - 5%,New York,3613080,GUILDERLAND CENTRAL SCHOOL DISTRICT,Albany County,4909
Hamilton School District,40094,2020,63582770,57487461,3581397,158121,0,0,0,6086032,2355791,0,0,2489655,4108998,0,60263068,2631939,64229782,0,0,0,66861721,hamilton,0.9509592192519244, Below 1%,Wisconsin,5506030,Hamilton School District,Waukesha County,4909
Park City School District,39327,2020,36812357,0,9337992,152278,0,0,23515225,0,0,0,1440923,2653900,7710338,0,85385397,243570,95506065,0,0,0,95749635,park city,0.38446472406918314, Below 1%,Utah,4900750,Park City District,Summit County,4905
Shaker Heights City School District,37064,2020,184529823,38354714,15374850,0,0,0,110124858,0,12810726,6019902,7364675,4708116,6416355,533108,93759447,-8034424,113451450,0,0,0,105417026,shaker heights city,1.7504745675523041,1 - 5%,Ohio,3904475,Shaker Heights City,Cuyahoga County,4901
Windsor Unified School District,146792,2020,173615007,104964788,6462310,6126,0,0,53869260,0,8017373,0,129773,3221734,8570247,1861,60662238,-627266,73083346,0,0,0,72456080,windsor unified,2.396141317609233,1 - 5%,California,0600034,Windsor Unified,Sonoma County,4898
Wissahickon School District,44275,2020,227419195,20179128,17832137,0,0,0,174920000,0,12352008,0,2135922,1298109,15256278,0,91706170,-2541348,110801905,0,0,0,108260557,wissahickon,2.100665295856551,1 - 5%,Pennsylvania,4202400,Wissahickon SD,Montgomery County,4881
Liberty Hill Independent School District,47664,2020,279811836,248987036,4886960,254369,0,1010551,10597093,0,14075827,0,0,1421338,7028283,738000,56517488,1250599,64454510,0,0,0,65705109,liberty hill,4.258600895099344,1 - 5%,Texas,4827420,LIBERTY HILL ISD,Williamson County,4878
Winslow Township School District,197075,2020,20180495,80000,4793214,0,0,0,12786475,0,0,0,2520806,4543901,25500584,0,97426717,10517527,116953674,0,0,0,127471202,winslow township,0.15831415004621985, Below 1%,New Jersey,3418060,Winslow Township School District,Camden County,4874
Soledad Unified School District,146659,2020,151871403,57870728,7712849,4822923,0,0,61413558,0,16984043,0,70760,24471,12678596,0,61313341,-8785031,82801439,0,0,0,74016408,soledad unified,2.0518612981056847,1 - 5%,California,0637050,Soledad Unified,Monterey County,4871
Alice Independent School District,39044,2020,88069363,41690234,6228816,7454177,0,0,12390227,0,20305911,0,0,752975,10609498,0,48265037,-2215302,61842812,0,0,0,59627510,alice,1.4769921299749058,1 - 5%,Texas,4807800,ALICE ISD,Jim Wells County,4870
Mifflin County School District,38082,2020,208805341,90289400,10854343,0,0,0,90169589,0,15181309,0,2310700,672326,22797276,0,58475929,6751468,75194063,0,0,0,81945531,mifflin,2.548099187983784,1 - 5%,Pennsylvania,4215290,Mifflin County SD,Mifflin County,4869
South Pasadena Unified School District,146669,2020,197229162,118364211,9057188,0,0,0,53998383,0,15406322,0,403058,2335450,7066482,15407,56222001,-3760744,69400084,1074029,6803,0,65639340,south pasadena unified,3.0047401756324787,1 - 5%,California,0637500,South Pasadena Unified,Los Angeles County,4860
Muskego-Norway School District,40095,2020,56718548,42002119,4447610,0,0,1245869,0,6257475,8514503,0,508447,2156749,3439586,0,61656569,3796309,63456595,0,0,0,67252904,muskego-norway,0.8433620650790039, Below 1%,Wisconsin,5510170,Muskego-Norway School District,Waukesha County,4854
Port Chester-Rye Union Free School District,40664,2020,238856219,97154689,11079221,0,0,0,6508999,6932810,119993208,0,4120102,497394,8090483,655327,101130392,-4261280,114634876,0,0,0,110373596,port chester-rye union free,2.164070281809066,1 - 5%,New York,3623460,PORT CHESTER-RYE UNION FREE SCHOOL DISTRICT,Westchester County,4849
South Colonie Central School District,36099,2020,407833590,17220000,8521680,0,0,2562188,8676804,7252883,369142857,0,1710061,2455546,5470632,0,98372225,-39654869,145953272,0,0,0,106298403,south colonie central,3.836685956608398,1 - 5%,New York,3627210,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,Albany County,4838
Sevier School District,39326,2020,73408592,49903520,9176857,0,0,0,13583733,0,0,0,744482,1422086,18467431,0,32852875,5141130,47601262,0,0,0,52742392,sevier,1.3918328163804174,1 - 5%,Utah,4900930,Sevier District,Sevier County,4833
Alexander County Board of Education,36491,2020,80502476,0,3145847,0,0,0,20069392,0,53901037,73739,3146660,977254,40453037,261091,13182436,1194418,53679400,0,0,261091,54873818,alexander,1.4670471079668632,1 - 5%,North Carolina,3700090,Alexander County Schools,Alexander County,4826
Trussville City Board of Education,51807,2020,97153908,1763514,4058839,241114,0,30115000,42384000,0,16746449,0,508504,3307624,31789091,1256201,22920238,3638004,55635150,0,0,0,59273154,trussville city,1.6390878744195054,1 - 5%,Alabama,0100013,Trussville City,Jefferson County,4823
Kerrville Independent School District,39061,2020,139612524,99908503,9689086,0,0,0,13243790,0,16771145,0,0,1907252,10472758,0,44770227,2770109,54380128,0,254396,0,57150237,kerrville,2.4429036750976203,1 - 5%,Texas,4825590,KERRVILLE ISD,Kerr County,4818
Lakewood City School District,37057,2020,265105982,146162426,9954466,6018214,0,0,87939018,0,7870701,5118341,7161157,5060940,10204420,495923,75092712,-5733398,96587393,0,0,0,90853995,lakewood city,2.9179342306301446,1 - 5%,Ohio,3904419,Lakewood City,Cuyahoga County,4814
Orchard Park Central School District,36187,2020,86169072,44201399,7289057,0,0,10700000,9103318,5914688,7765801,0,6283078,893595,3597909,0,100715237,-1729075,106935816,0,0,0,105206741,orchard park central,0.8190451598533977, Below 1%,New York,3621900,ORCHARD PARK CENTRAL SCHOOL DISTRICT,Erie County,4812
Millburn Township School District,168073,2020,92969652,62179072,3482465,4905572,0,0,20435239,0,0,0,1967304,1580091,31169565,0,93335846,5416510,120668992,0,0,0,126085502,millburn township,0.7373540218763613, Below 1%,New Jersey,3410200,Millburn Township School District,Essex County,4811
Greenbrier County Board of Education,39786,2020,27054196,12673451,6023301,2317752,0,0,3165284,0,2874408,0,0,271405,10743982,317984,53756058,2547622,62541807,0,0,0,65089429,greenbrier,0.41564654070018037, Below 1%,West Virginia,5400390,GREENBRIER COUNTY SCHOOLS,Greenbrier County,4807
Marshall County School District,33709,2020,91345539,59951480,1435226,0,0,0,15420653,0,13861929,0,654381,482519,20650973,1523155,33147158,-2173413,57977218,0,0,0,55803805,marshall,1.6369052074495638,1 - 5%,Kentucky,2103810,Marshall County,Marshall County,4807
Terrell County Independent School District,164100,2020,8280048,6631330,87458,0,0,370000,543383,0,647877,0,0,11764,319286,0,3839039,217031,3953058,0,0,0,4170089,terrell,1.985580643482669,1 - 5%,Texas,4842450,TERRELL ISD,Kaufman County,4804
Terrell Independent School District,44989,2020,121322742,76283790,3391893,0,0,9530000,14929456,0,17187603,0,0,1320132,10582334,0,53178789,1853245,63228010,354334,4310,0,65081255,terrell,1.864173362975253,1 - 5%,Texas,4842450,TERRELL ISD,Kaufman County,4804
Branson R-IV School District,35338,2020,0,90375000,0,1970000,0,0,0,0,0,0,689251,1354368,7389826,40920,54718812,1828719,61675207,0,0,0,63503926,branson r-iv,0, Below 1%,Missouri,2905760,BRANSON R-IV,Taney County,4788
Jamestown City School District,36140,2020,88698396,50117700,6565594,1633062,0,15995000,7897340,5217671,4859973,0,910399,160110,13213320,0,84343535,-6193281,103910246,0,0,0,97716965,jamestown city,0.9077072338462415, Below 1%,New York,3615630,JAMESTOWN CITY SCHOOL DISTRICT,Chautauqua County,4785
Wylie Independent School District,38879,2020,716699413,574164477,39538543,2689207,0,0,45444297,0,53814949,0,1047938,4217847,19432531,0,189653472,935793,212368057,0,0,0,213303850,wylie,3.3599928599507227,1 - 5%,Texas,4846500,WYLIE ISD,Taylor County,4783
Franklin Public School District,40016,2020,85361469,61035000,6135884,0,0,0,9211945,0,7338535,0,459904,6743256,5057226,33756,57831138,4556279,65109097,0,0,0,69665376,franklin public,1.2253069444425306,1 - 5%,Wisconsin,5504830,Franklin Public School District,Milwaukee County,4782
Nazareth Area School District,38108,2020,265241420,104143246,11576050,0,0,0,123975916,0,18887907,0,6658301,1168171,14302504,299105,79271094,1149423,93891451,0,0,0,95040874,nazareth area,2.7908141922179714,1 - 5%,Pennsylvania,4216380,Nazareth Area SD,Northampton County,4779
Marlboro Township School District,197032,2020,27409215,0,3080552,1325300,0,0,20801442,0,0,0,2685038,798963,22056387,0,90520136,5873601,107501885,798963,372324,0,113375486,marlboro township,0.24175609708080986, Below 1%,New Jersey,3409720,Marlboro Township School District,Monmouth County,4759
Watauga County Board of Education,36682,2020,83968947,0,2201219,0,0,0,21426427,0,57175779,79336,3101003,965560,35071533,122794,18693400,-2500484,57353771,0,0,84833,54853287,watauga,1.530791527588857,1 - 5%,North Carolina,3704830,Watauga County Schools,Watauga County,4756
Denison Independent School District,43468,2020,152317845,115523742,7743780,0,0,0,12136721,0,16673129,0,240473,1246887,11087059,0,53753833,-94905,66182684,0,0,0,66087779,denison,2.304780812803529,1 - 5%,Texas,4816710,DENISON ISD,Grayson County,4750
Warren City School District,37280,2020,122470570,26843871,8819810,0,0,449000,75009488,0,8032693,4157489,3315708,2068772,22178840,0,68607185,1712096,91142701,0,0,0,92854797,warren city,1.3189471514325748,1 - 5%,Ohio,3904499,Warren City,Trumbull County,4748
Frontier Central School District,42869,2020,74336957,26156971,9102627,0,0,15726063,7862822,0,8212706,0,4355629,1388126,17186390,0,70703377,-2024842,91302735,0,0,0,89277893,frontier central,0.8326468569324323, Below 1%,New York,3611670,FRONTIER CENTRAL SCHOOL DISTRICT,Erie County,4747
Methacton School District,38102,2020,251236440,67815732,18197933,1703762,0,2505000,147552000,0,10475744,0,2986269,1564489,23027410,672223,87448888,10209210,102503800,0,0,0,112713010,methacton,2.2289923763015467,1 - 5%,Pennsylvania,4214250,Methacton SD,Montgomery County,4742
Nelson County School District,33721,2020,85873383,54478324,922167,0,0,0,16510494,0,13564515,0,397883,968269,5908281,0,35444175,-988885,43309610,0,0,0,42320725,nelson,2.029109449330086,1 - 5%,Kentucky,2104410,Nelson County,Nelson County,4734
Decatur County Board of Education,70976,2020,107044450,15434842,5908098,0,0,0,45183425,0,40518083,0,0,1257280,37087316,586438,24418780,6107927,57241888,0,0,0,63349815,decatur,1.6897357948085563,1 - 5%,Georgia,1301710,Decatur County,Decatur County,4732
Wyoming Valley West School District,38062,2020,176636853,32624523,12816043,290494,0,0,100582607,0,24596670,0,1815946,220627,21858707,0,60611219,2171232,80519321,0,0,0,82690553,wyoming valley west,2.1361188986122754,1 - 5%,Pennsylvania,4225950,Wyoming Valley West SD,Luzerne County,4721
Wadsworth City School District,37180,2020,144630626,64501466,6017239,6527851,0,0,56405522,0,5096855,3275227,6081693,3152561,5507078,30896,55248312,-1755393,65694240,0,0,0,63938847,wadsworth city,2.2620149218518124,1 - 5%,Ohio,3910029,Wadsworth City,Medina County,4715
Pemberton Township School District,168085,2020,46327239,0,4532974,0,0,0,38278031,0,2485418,0,1030816,677762,35053922,0,97978798,3166086,130544396,314536,1815418,0,133710482,pemberton township,0.3464742502386612, Below 1%,New Jersey,3412810,Pemberton Township School District,Burlington County,4712
Montgomery County School District,33717,2020,74440381,42718710,832078,1606297,0,0,16200197,0,12592289,0,415032,527838,7081490,737730,36500840,-328040,45175938,0,0,0,44847898,montgomery,1.6598410253252003,1 - 5%,Kentucky,2104250,Montgomery County,Montgomery County,4704
Board of Education of Talbot County,40482,2020,134359900,0,6977899,891182,0,0,4817864,0,121131480,0,541475,467215,12460374,27608995,57245187,18678245,79103526,0,0,0,97781771,talbot,1.3740792238258805,1 - 5%,Maryland,2400630,Talbot County Public Schools,Talbot County,4703
Muhlenberg County School District,33719,2020,73344444,34032234,1443812,0,0,0,21393115,0,14829791,0,1645492,430468,8195138,3182425,51417945,-8725,63234701,0,0,0,63225976,muhlenberg,1.1600365647182733,1 - 5%,Kentucky,2100081,Muhlenberg County,Muhlenberg County,4692
Maywood-Melrose Park-Broadview School District 89,32948,2020,72354131,26231431,10752147,0,0,0,4013216,0,31277008,0,80329,106770,36603582,50000,61428866,10180491,88008727,0,0,0,98189218,maywood-melrose park-broadview,0.7368846852411025, Below 1%,Illinois,1725110,Maywood-Melrose Park-Broadview 89,Cook County,4690
Licking Heights Local School District,48515,2020,165079988,95095289,13845523,0,0,0,43085363,0,4180659,2497196,1525794,2071017,4914997,0,55410768,5563920,56832862,0,0,0,62396782,licking heights local,2.6456490656841885,1 - 5%,Ohio,3904800,Licking Heights Local,Licking County,4687
Moreland School District,146398,2020,210501208,113037580,3633028,0,0,0,62018085,0,10239197,0,73627,9524595,7928335,0,55903236,-10771185,84127351,0,0,0,73356166,moreland,2.869577562164304,1 - 5%,California,0625770,Moreland,Santa Clara County,4683
Belton School District 124,41731,2020,800097,42125000,800097,9733000,0,0,0,0,0,0,0,1359415,7348090,0,50500978,-13569232,72777715,0,0,0,59208483,belton,0.013513215665397135, Below 1%,Missouri,2904620,BELTON 124,Cass County,4680
Jackson Public Schools,34458,2020,247716970,114773894,12943325,0,178610,4400000,93861265,0,20034902,0,385000,667650,21534172,0,49421732,626230,70997324,0,0,0,71623554,jackson,3.4585964555738187,1 - 5%,Michigan,2619620,Jackson Public Schools,Jackson County,4678
Grady County Board of Education,196518,2020,109842595,8861636,8273635,14760544,0,0,42428246,0,35518534,0,0,376673,34997643,224457,17493818,598027,52494564,0,0,0,53092591,grady,2.0688874460845206,1 - 5%,Georgia,1302460,Grady County,Grady County,4676
Garnet Valley School District,48695,2020,294985893,81761191,17930500,511208,0,13939000,169165911,0,9108255,0,2569828,2783139,16033615,0,94894109,3803442,109907421,0,0,0,113710863,garnet valley,2.594175131711031,1 - 5%,Pennsylvania,4210590,Garnet Valley SD,Delaware County,4674
Lawrence County Board of Education,42558,2020,87645834,7430574,4205006,469214,0,0,39353000,0,18917262,0,232605,4274702,37965790,1985559,9609652,3354872,50480831,0,0,0,53835703,lawrence,1.6280243243038919,1 - 5%,Alabama,0102040,Lawrence County,Lawrence County,4658
Penfield Central School District,36234,2020,184290926,12965000,4575963,0,0,0,7583883,5442491,158831829,0,334251,1720428,2884209,0,101401460,-824359,106830456,0,0,0,106006097,penfield central,1.738493645323061,1 - 5%,New York,3622710,PENFIELD CENTRAL SCHOOL DISTRICT,Monroe County,4656
North Babylon Union Free School District,36399,2020,322983671,10715000,7742642,0,0,19815000,9043644,7142122,264559739,0,8701969,1025385,4520654,0,116716722,-9043265,131306026,0,0,0,122262761,north babylon union free,2.6417174645679724,1 - 5%,New York,3620910,NORTH BABYLON UNION FREE SCHOOL DISTRICT,Suffolk County,4652
Hudson City School District,37268,2020,195152428,80937699,10847016,1218487,0,0,76265556,0,7595445,4311334,4118225,4128333,5843531,29930,70569664,-1329885,81901343,0,0,0,80571458,hudson city,2.422103718167791,1 - 5%,Ohio,3905002,Hudson City,Summit County,4649
Solon City School District,44207,2020,118732298,3127194,10807624,0,0,0,86605088,0,8577933,4889150,9614459,3459667,2593277,0,71213738,-5976446,83243128,0,0,0,77266682,solon city,1.5366558382822755,1 - 5%,Ohio,3904660,Solon City,Cuyahoga County,4643
Benicia Unified School District,145931,2020,153609292,82960438,6124862,4972907,0,0,53342779,0,6000263,0,208043,1953416,8098970,1458514,52394316,7393835,56511381,0,0,0,63905216,benicia unified,2.403705074715654,1 - 5%,California,0604620,Benicia Unified,Solano County,4642
Atascadero Unified School District,31436,2020,176250771,110742502,5976649,1257425,0,0,54619189,0,3445925,0,209081,922538,7103805,0,56113314,-480102,64619759,0,0,0,64139657,atascadero unified,2.7479219447649994,1 - 5%,California,0603300,Atascadero Unified,San Luis Obispo County,4638
Hatboro-Horsham School District,38089,2020,262130523,68335618,17638114,0,0,0,161213000,0,12521666,0,2422126,2354785,12939730,224648,96101743,4334406,107286500,0,0,0,111620906,hatboro-horsham,2.348399886666392,1 - 5%,Pennsylvania,4211610,Hatboro-Horsham SD,Montgomery County,4634
Gregory-Portland Independent School District,39167,2020,182899910,138442228,12687908,344630,0,0,14466094,0,16959050,0,0,444109,5995201,0,84000288,23720637,66718961,0,0,0,90439598,gregory-portland,2.022343243940558,1 - 5%,Texas,4821780,GREGORY-PORTLAND ISD,San Patricio County,4625
Opelika City Board of Education,30360,2020,68711960,2437338,3397291,0,0,0,44446000,0,18184779,0,246552,2917617,31942778,2109609,20263123,5427482,51805645,0,0,0,57233127,opelika city,1.2005627440206088,1 - 5%,Alabama,0102580,Opelika City,Lee County,4616
Webb City R-VII School District,35243,2020,0,26040000,0,240337,0,1800000,0,0,0,0,819444,1048914,5884032,3356,36641894,-1110121,44688317,0,47816,0,43578196,webb city r-vii,0, Below 1%,Missouri,2931500,WEBB CITY R-VII,Jasper County,4613
Willard R-II School District,42500,2020,677620,46855000,677620,381520,0,0,36768804,0,0,0,0,2331668,4902364,46262,43774254,-2680785,53735333,0,0,0,51054548,willard r-ii,0.013272470848238634, Below 1%,Missouri,2932010,WILLARD R-II,Greene County,4613
Okemos Public Schools,34444,2020,177127993,34374649,8106383,0,0,9308152,100024383,0,21922632,0,2724329,3725446,9759853,0,53646885,-2546256,69678440,0,0,0,67132184,okemos,2.638495911290477,1 - 5%,Michigan,2626280,Okemos Public Schools,Ingham County,4610
North Monterey County Unified School District,31295,2020,108816755,33110138,4216835,2482710,0,0,63983900,0,284084,0,161931,92078,15014671,0,57499721,-3581122,76187592,0,0,0,72606470,north monterey  unified,1.4987198110581605,1 - 5%,California,0627590,North Monterey County Unified,Monterey County,4594
Baldwin Union Free School District,45330,2020,220818778,2279694,9822736,0,0,0,9811058,8537814,193632126,0,2992759,1609166,2982858,222084,131870944,-13641981,150327033,0,0,0,136685052,baldwin union free,1.615529823992751,1 - 5%,New York,3603840,BALDWIN UNION FREE SCHOOL DISTRICT,Nassau County,4593
Crandall Independent School District,39055,2020,191965794,163599834,3955911,0,0,0,11364308,0,13045741,0,0,1171739,7497033,0,45550812,-193900,54413484,0,0,0,54219584,crandall,3.540525025053678,1 - 5%,Texas,4815510,CRANDALL ISD,Kaufman County,4592
San Rafael City Elementary School District,146612,2020,243664236,167869009,9195027,0,0,0,51604078,0,11730409,0,265713,427030,11406729,0,61398531,-1763342,74995632,0,0,0,73232290,san rafael city elementary,3.327278663551283,1 - 5%,California,0635090,San Rafael City Elementary,Marin County,4588
Huntington Union Free School District,36411,2020,333619792,1220000,7291419,0,0,0,10555321,7366131,305014491,0,6807940,373886,5141160,0,130398422,-13537181,149450649,0,0,0,135913468,huntington union free,2.4546485120959463,1 - 5%,New York,3615090,HUNTINGTON UNION FREE SCHOOL DISTRICT,Suffolk County,4586
