acfrs_original_name,id,year,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,name,ratio,ratio_group,state,NCES District ID,nces_original_name,county,student
Bowlegs Public Schools,146895,2020,231623,60000,155588,16035,0,0,0,0,0,0,0,0,0,0,2668421,60422,2607999,0,0,0,2668421,bowlegs,0.08680152044973413, Below 1%,Oklahoma,4005130,BOWLEGS,Seminole County,212
Richmond Elementary School District,146554,2020,1997018,165000,180616,0,0,0,1651402,0,0,0,0,33210,230706,0,2008937,130012,2142841,0,0,0,2272853,richmond elementary,0.8786393136731676, Below 1%,California,0632520,Richmond Elementary,Lassen County,211
Yukon Flats School District,30413,2020,9659917,0,1173730,0,0,0,2396201,0,77212,9763,0,99020,1926277,76854,9292190,393832,11000509,0,0,0,11394341,yukon flats,0.8477819823015653, Below 1%,Alaska,0200775,Yukon Flats School District,Yukon-Koyukuk Census Area,211
Zephyr Independent School District,164116,2020,6276736,3813961,153334,262000,0,276000,523141,0,974047,0,0,70027,588129,0,2528433,104994,3081595,0,0,0,3186589,zephyr,1.9697350364292352,1 - 5%,Texas,4846770,ZEPHYR ISD,Brown County,211
Elwood Public Schools,109097,2020,0,0,0,1646500,0,0,914222,0,0,0,0,122220,439329,0,3985894,12015,4535428,0,0,0,4547443,elwood,0, Below 1%,Nebraska,3170220,ELWOOD PUBLIC SCHOOLS,Gosper County,209
Amador County Office of Education,31117,2020,14268694,0,444723,468372,0,0,13215077,0,123721,0,16801,4910162,4497027,3751758,4071242,3765277,13464912,0,0,0,17230189,amador  office of education,0.8281217344742997, Below 1%,California,0691001,Amador County Office of Education,Amador County,208
Blochman Union Elementary School District,145949,2020,2117441,0,126977,0,0,0,1990464,0,0,0,0,31219,333963,0,2699118,280563,2783737,0,0,0,3064300,blochman union elementary,0.6910031654864079, Below 1%,California,0605280,Blochman Union Elementary,Santa Barbara County,208
Franklin Township Public Schools,35873,2020,147317860,85291079,8097898,8156868,0,0,40746829,0,0,0,2132114,1739665,51036862,214128,156498258,6384330,203104583,0,0,0,209488913,franklin township,0.7032250914395647, Below 1%,New Jersey,3405520,Franklin Township School District,Warren County,208
Borden County Independent School District,164129,2020,14272497,10955620,283121,0,0,0,1283984,0,1549094,0,200678,72665,797804,571893,14075154,2274262,13243254,0,0,0,15517516,borden,0.919766862170466, Below 1%,Texas,4810860,BORDEN COUNTY ISD,Borden County,207
Hart Independent School District,99175,2020,4556249,1946591,638586,0,0,0,809052,0,1162020,0,0,31386,706680,0,2805673,-252073,3795812,0,0,0,3543739,hart,1.2857179944685542,1 - 5%,Texas,4822650,HART ISD,Castro County,207
