"","name","government_ID","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed","geo_id","city_town","state.name","population","state.abb","original_name","CITY","COUNTY_AREA_NAME"
"15","El Paso","44207100200000","General Purpose",2782722728,1608864857,175729645,7552341,0,7059380,590743738,0,156786139,0,69805882,248370140,90009016,31837251,562855469,88901985,844169891,0,0,0,933071876,FALSE,"1600000US4824000","El Paso city","Texas",678815,"TX","CITY OF EL PASO","EL PASO","EL PASO"
"16","Boston","22201300100000","General Purpose",6518670000,1208360000,591067000,56410000,0,23308000,1754871000,0,2273281000,0,250008000,305892000,788801000,38382000,3126113000,613786000,3645402000,0,0,0,4259188000,FALSE,"1600000US2507000","Boston city","Massachusetts",675647,"MA","CITY OF BOSTON","BOSTON","SUFFOLK"
"17","Portland","38202600300000","General Purpose",9174347541,3226187185,330486470,27847077,171949990,0,5078795811,0,84298521,7679943,96499054,1200566770,61943758,218326797,849680285,79069857,2251447753,0,0,0,2330517610,FALSE,"1600000US4159000","Portland city","Oregon",652503,"OR","CITY OF PORTLAND","PORTLAND","MULTNOMAH"
"18","Las Vegas","29200200200000","General Purpose",1814290240,646092887,97549812,1754720,0,0,878316585,0,55107913,0,48860079,330284946,146134231,252074885,496501417,266783614,958211865,0,0,0,1224995479,FALSE,"1600000US3240000","Las Vegas city","Nevada",641903,"NV","CITY OF LAS VEGAS","LAS VEGAS","CLARK"
"19","Detroit","23208200400000","General Purpose",5377049394,2822384399,466040162,0,26503010,0,1792678121,37262730,0,0,98596755,783231122,345717294,34525983,991664813,-27406870,2182546082,0,0,0,2155139212,FALSE,"1600000US2622000","Detroit city","Michigan",639111,"MI","CITY OF DETROIT","DETROIT","WAYNE"
"20","Memphis","43207900500000","General Purpose",4403060000,1870382000,605559000,28184000,296682000,53532000,578293000,0,933940000,0,132839000,2002165000,60921000,13834000,792533000,-55604000,2925057000,0,0,0,2869453000,FALSE,"1600000US4748000","Memphis city","Tennessee",633104,"TN","CITY OF MEMPHIS","MEMPHIS","SHELBY"
"21","Baltimore","21200400100000","General Purpose",9195780000,4003667000,821471000,157753000,13919000,0,1875711000,9121000,1245666000,0,175875000,743585000,378546000,314112000,1756858000,-115150000,3308251000,0,0,0,3193101000,FALSE,"1600000US2404000","Baltimore city","Maryland",585708,"MD","CITY OF BALTIMORE","BALTIMORE","BALTIMORE CITY"
"22","Milwaukee","50204100900000","General Purpose",4631245000,1322744000,189324000,0,303147000,180000000,850751000,0,1690355000,0,50710000,408224000,165929000,13549000,700924000,-296004000,1584630000,98587,4931,493,1288626000,FALSE,"1600000US5553000","Milwaukee city","Wisconsin",577222,"WI","CITY OF MILWAUKEE","MILWAUKEE","MILWAUKEE"
"23","Albuquerque","32200100100000","General Purpose",2308654159,631777067,201164074,0,25544834,0,773785015,0,256989344,0,47498529,220210849,89662962,69351254,740933930,37016534,1083142461,0,12673342,0,1120158995,FALSE,"1600000US3502000","Albuquerque city","New Mexico",564559,"NM","CITY OF ALBUQUERQUE","ALBUQUERQUE","BERNALILLO"
"24","Kansas","26204800600000","General Purpose",5330276000,3565786000,428601000,0,2769000,82088000,870059000,0,115354000,0,49670000,884086000,136566000,55657000,841368000,-43148000,1960825000,0,0,0,1917677000,FALSE,"1600000US2938000","Kansas City city","Missouri",508090,"MO","CITY OF KANSAS CITY","KANSAS CITY","JACKSON"
"25","Atlanta","11206000200000","General Purpose",10846929000,6741826000,510812000,212120000,926000,185690000,1114364000,0,992098000,0,24678000,1199257000,55389000,258186000,1107416000,577522000,2042726000,0,0,0,2620248000,FALSE,"1600000US1304000","Atlanta city","Georgia",498715,"GA","CITY OF ATLANTA","ATLANTA","FULTON"
"26","Omaha","28202800400000","General Purpose",3055956416,1077928756,83975087,228220238,0,5855549,967110658,0,491560909,0,93007157,290719099,144950074,46667247,462907209,165633338,779610291,0,0,0,945243629,FALSE,"1600000US3137000","Omaha city","Nebraska",486051,"NE","CITY OF OMAHA","OMAHA","DOUGLAS"
"27","Raleigh","34209200800000","General Purpose",2241239412,1018919476,191899615,30179781,0,0,157437366,0,190900860,0,0,385174864,56607272,45958676,485788412,177554488,795974736,0,0,0,973529224,FALSE,"1600000US3755000","Raleigh city","North Carolina",467665,"NC","CITY OF RALEIGH","RALEIGH","WAKE"
"28","Virginia Beach","47213200100000","General Purpose",2174515595,1383608358,103328094,0,0,0,417692180,0,103615930,0,50506959,311619577,230798711,14456834,1075242969,85729324,1546388767,0,0,0,1632118091,FALSE,"1600000US5182000","Virginia Beach city","Virginia",459470,"VA","CITY OF VIRGINIA BEACH","VIRGINIA BEACH","VIRGINIA BEACH CITY"
"29","Miami","10201301300000","General Purpose",2854317892,327700020,127908952,29641986,15454063,182155000,994144647,0,867949431,0,74312829,236702616,120557951,7128248,660180721,-71396627,1095966163,0,0,0,1024569536,FALSE,"1600000US1245000","Miami city","Florida",442241,"FL","CITY OF MIAMI","MIAMI","MIAMI-DADE"
"30","Minneapolis","24202702000000","General Purpose",1730749000,717596000,103434000,0,0,112392000,528974000,0,41281000,0,47724000,420478000,128766000,39030000,559151000,67233000,1080192000,0,0,0,1147425000,FALSE,"1600000US2743000","Minneapolis city","Minnesota",429954,"MN","CITY OF MINNEAPOLIS","MINNEAPOLIS","HENNEPIN"
"31","Tulsa","37207201000000","General Purpose",1315222000,874945000,71276000,0,0,0,15849000,0,702000,0,37241000,133558000,37174000,14653000,494318000,88632000,591071000,0,0,0,679703000,FALSE,"1600000US4075000","Tulsa city","Oklahoma",413066,"OK","CITY OF TULSA","TULSA","TULSA"
"32","Wichita","17208701400000","General Purpose",1466116636,1068344000,64834687,413000,0,111030000,99941000,0,42211000,0,15075000,255626109,84661658,65843781,266850228,74639121,598342655,104016756,2028369,0,672981776,FALSE,"1600000US2079000","Wichita city","Kansas",397532,"KS","CITY OF WICHITA","WICHITA","SEDGWICK"
