"","name","government_ID","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed","geo_id","city_town","state.name","population","state.abb","original_name","CITY","COUNTY_AREA_NAME"
"342","Ames","16208500100000","General Purpose",406218777,184065038,54396340,0,65182044,0,85166379,0,6943337,0,10378136,297177721,17208863,5550870,55047904,24586841,350398517,0,0,0,374985358,FALSE,"1600000US1901855","Ames city","Iowa",66427,"IA","CITY OF AMES","AMES","STORY"
"343","Malden","22200900400000","General Purpose",436659018,57572945,8287065,0,0,20164882,79206439,0,266298276,0,4221182,41244534,91995149,5997297,117658454,8006992,248888442,0,0,0,256895434,FALSE,"1600000US2537875","Malden city","Massachusetts",66263,"MA","CITY OF MALDEN","MALDEN","MIDDLESEX"
"344","Novi","23206350500000","General Purpose",74042878,17003181,14842506,0,0,0,39559321,0,0,2504109,2637870,35956056,9637162,4610794,49095539,9546698,89752853,0,0,0,99299551,FALSE,"1600000US2659440","Novi city","Michigan",66243,"MI","CITY OF NOVI","NOVI","OAKLAND"
"345","Alpharetta","11206000100000","General Purpose",154321093,84270023,14875702,0,0,27340000,19829270,0,0,298137,2843945,18271076,673654,11110983,85100867,13025733,102130847,0,0,0,115156580,FALSE,"1600000US1301696","Alpharetta city","Georgia",65818,"GA","CITY OF ALPHARETTA","ALPHARETTA","FULTON"
"346","Victoria","44223500100000","General Purpose",169356587,110367400,9574455,202006,0,0,32611864,0,11118705,0,1142523,40762174,7344600,262500,49581018,5600165,92350127,26344859,2658036,200000,97950292,FALSE,"1600000US4875428","Victoria city","Texas",65534,"TX","CITY OF VICTORIA","VICTORIA","VICTORIA"
"347","Utica","33203301700000","General Purpose",176834127,46762103,17594023,7545154,0,23173927,14371289,0,59093630,0,2146001,9093089,11189837,7618500,67910998,17621735,78190689,0,0,0,95812424,FALSE,"1600000US3676540","Utica city","New York",65283,"NY","CITY OF UTICA","UTICA","ONEIDA"
"348","Waltham","22200901000000","General Purpose",1064923906,123032338,9034442,0,0,0,177717842,0,744540439,0,10117923,44112052,52619262,4164815,221919853,-52078887,374894869,0,0,0,322815982,FALSE,"1600000US2572600","Waltham city","Massachusetts",65218,"MA","CITY OF WALTHAM","WALTHAM","MIDDLESEX"
"349","Lorain","36204700700000","General Purpose",274456790,46698842,7316353,3363799,128260565,2810600,54915241,0,19975383,0,9373804,44945267,17991576,986739,39924618,11912006,91936194,0,0,0,103848200,FALSE,"1600000US3944856","Lorain city","Ohio",65211,"OH","CITY OF LORAIN","LORAIN","LORAIN"
"350","Muncie","15201800400000","General Purpose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"1600000US1851876","Muncie city","Indiana",65194,"IN","CITY OF MUNCIE","MUNCIE","DELAWARE"
"351","Pflugerville","44222770100000","General Purpose",310007696,271649395,25119483,0,0,0,9744104,0,2495399,0,999315,40015222,4257314,24142338,50428315,19829198,99013991,0,0,0,118843189,FALSE,"1600000US4857176","Pflugerville city","Texas",65191,"TX","CITY OF PFLUGERVILLE","PFLUGERVILLE","TRAVIS"
"352","Cheyenne","51201100300000","General Purpose",215992894,11290420,12047669,2838739,49661558,4108603,115167941,0,5655229,0,6126525,60587397,8516501,3280837,73236745,9390455,136231025,0,0,0,145621480,FALSE,"1600000US5613900","Cheyenne city","Wyoming",65132,"WY","CITY OF CHEYENNE","CHEYENNE","LARAMIE"
"353","Idaho Falls","13201000200000","General Purpose",66883421,0,14128666,1313274,12800196,0,31186242,18948797,3057,0,7451986,103138028,7593642,22102480,52265283,29905627,155193806,0,0,0,185099433,FALSE,"1600000US1639700","Idaho Falls city","Idaho",64818,"ID","CITY OF IDAHO FALLS","IDAHO FALLS","BONNEVILLE"
"354","Burnsville","24201970200000","General Purpose",131069526,76634008,13148775,0,0,0,25697964,0,11496086,0,4092693,32589144,6993639,6531418,47196379,-198820,93509400,0,0,0,93310580,FALSE,"1600000US2708794","Burnsville city","Minnesota",64317,"MN","CITY OF BURNSVILLE","BURNSVILLE","DAKOTA"
"355","Eden Prairie","24202770200000","General Purpose",77428632,38944000,8660129,60000,0,0,23979296,1982261,2842148,0,2944000,39327635,7493339,12609165,46228365,14977703,90680801,0,0,0,105658504,FALSE,"1600000US2718116","Eden Prairie city","Minnesota",64198,"MN","CITY OF EDEN PRAIRIE","EDEN PRAIRIE","HENNEPIN"
"356","Bellevue","28207700100000","General Purpose",100548081,79541742,5791298,1090129,0,0,2713536,0,3290668,0,5554933,20011040,7445867,2057065,39969231,2228002,67255201,0,0,0,69483203,FALSE,"1600000US3103950","Bellevue city","Nebraska",64176,"NE","CITY OF BELLEVUE","BELLEVUE","SARPY"
"357","Lakewood","48202730100000","General Purpose",25961637,14626186,4662427,0,3110818,28225,0,6633401,0,0,3280980,16304788,7211477,4886817,36226446,10530011,54099517,0,0,0,64629528,FALSE,"1600000US5338038","Lakewood city","Washington",63612,"WA","CITY OF LAKEWOOD","LAKEWOOD","PIERCE"
"358","Coon Rapids","24200200700000","General Purpose",107590280,67541532,3950458,0,0,0,21424115,0,10980954,0,3075910,24764592,6972338,4892674,43149227,9188669,70590162,19004041,789762,0,79778831,FALSE,"1600000US2713114","Coon Rapids city","Minnesota",63599,"MN","CITY OF COON RAPIDS","COON RAPIDS","ANOKA"
"359","Ocala","10204200400000","General Purpose",390561371,114645000,35995571,0,22880000,0,106689499,0,16395000,0,6322959,237619069,9660320,8570985,73408408,-53062599,382321381,0,0,0,329258782,FALSE,"1600000US1250750","Ocala city","Florida",63591,"FL","CITY OF OCALA","OCALA","MARION"
"360","Taylor","23208280100000","General Purpose",294933645,35841830,10474231,1580202,0,283576,114961521,0,123325256,0,4109555,36077767,8772348,2615654,46400278,82462072,11403975,0,0,0,93866047,FALSE,"1600000US2679000","Taylor city","Michigan",63409,"MI","CITY OF TAYLOR","TAYLOR","WAYNE"
"361","Hamilton","36200900100000","General Purpose",366659100,175225427,22703129,23870000,16230692,0,85264011,0,35592170,0,7773671,143716258,9409269,3106891,47890396,-4187658,208310472,17849755,133180,0,204122814,FALSE,"1600000US3933012","Hamilton city","Ohio",63399,"OH","CITY OF HAMILTON","HAMILTON","BUTLER"
"362","Millcreek","45201880200000","General Purpose",23742898,21663275,1185323,0,0,0,648162,0,0,0,246138,2419849,3116658,862813,23824985,3526419,26697886,0,0,0,30224305,FALSE,"1600000US4950150","Millcreek city","Utah",63380,"UT","CITY OF MILLCREEK","MILLCREEK","SALT LAKE"
"363","Dearborn Heights","23208270100000","General Purpose",280892319,11160744,6899846,0,7567221,0,73099356,0,169925400,0,8219868,29877865,7283180,3133211,38475846,-4972789,83742891,22695497,1420949,0,78770102,FALSE,"1600000US2621020","Dearborn Heights city","Michigan",63292,"MI","CITY OF DEARBORN HEIGHTS","DEARBORN HTS","WAYNE"
"364","Council Bluffs","16207800400000","General Purpose",146991879,57043628,13582827,9068970,4045000,3516000,50282559,0,4279599,0,3773787,26095015,13421968,17736016,78817889,19269120,116801768,9282722,47430,2075826,136070888,FALSE,"1600000US1916860","Council Bluffs city","Iowa",62799,"IA","CITY OF COUNCIL BLUFFS","COUNCIL BLUFFS","POTTAWATTAMIE"
"365","Moore","37201400200000","General Purpose",187332109,36308851,11225992,350000,0,62137364,25754408,168386,40585507,0,6527289,29858750,16041837,3481576,50632231,20609465,79404929,25080351,851871,1150914,100014394,FALSE,"1600000US4049200","Moore city","Oklahoma",62793,"OK","CITY OF MOORE","MOORE","CLEVELAND"
"366","Bossier City","19200800200000","General Purpose",567723650,422424843,12447326,0,46541102,0,77558234,7847712,4867661,0,2211677,49643117,13051385,2773694,92208123,25350350,132325969,0,0,0,157676319,FALSE,"1600000US2208920","Bossier City city","Louisiana",62701,"LA","CITY OF BOSSIER CITY","BOSSIER CITY","BOSSIER"
"367","Port Orange","10206401000000","General Purpose",107816301,38727211,13086209,0,10423466,5390000,30975200,0,6024930,0,3189285,48545691,1390937,9708669,36702308,13945512,82402093,0,0,0,96347605,FALSE,"1600000US1258575","Port Orange city","Florida",62596,"FL","CITY OF PORT ORANGE","PORT ORANGE","VOLUSIA"
"368","Rowlett","44205702200000","General Purpose",180338255,149223669,10078342,2136807,0,995000,11623969,0,2451812,0,3828656,48132681,5432039,36238018,52184434,42931212,99055960,0,0,0,141987172,FALSE,"1600000US4863572","Rowlett city","Texas",62535,"TX","CITY OF ROWLETT","ROWLETT","DALLAS"
"369","Revere","22201300300000","General Purpose",538704661,140677304,10214831,0,0,22780977,93204000,0,266279549,0,4538000,33968804,120752187,3591083,113520180,-10903061,282735315,0,0,0,271832254,FALSE,"1600000US2556585","Revere city","Massachusetts",62186,"MA","CITY OF REVERE","REVERE","SUFFOLK"
"370","Chapel Hill","34206800200000","General Purpose",150362733,47992150,5946385,0,123146,12359365,21319337,0,58966739,0,3655611,14634136,26245539,6683370,68587566,1213050,114937561,0,0,0,116150611,FALSE,"1600000US3711800","Chapel Hill town","North Carolina",61960,"NC","TOWN OF CHAPEL HILL","CHAPEL HILL","ORANGE"
"371","Springfield","38202000900000","General Purpose",124086005,17399607,9582814,150385,19332885,3841284,63635443,0,7224718,576806,2188869,32689344,7687715,6695043,50234037,6692088,90614051,0,0,0,97306139,FALSE,"1600000US4169600","Springfield city","Oregon",61851,"OR","CITY OF SPRINGFIELD","SPRINGFIELD","LANE"
"372","Hendersonville","43208380100000","General Purpose",24646464,0,5333542,0,0,11989064,2834691,0,2539024,0,1950143,6078847,2358418,6745962,44999211,6440933,53741505,0,0,0,60182438,FALSE,"1600000US4733280","Hendersonville city","Tennessee",61753,"TN","CITY OF HENDERSONVILLE","HENDERSONVILLE","SUMNER"
"373","Wellington","10205030100000","General Purpose",71332316,2695000,18141117,0,18160130,0,28999087,1050853,0,0,3336982,41986904,1481179,5293256,47649951,6364624,90046666,0,0,0,96411290,FALSE,"1600000US1275812","Wellington village","Florida",61637,"FL","VILLAGE OF WELLINGTON","WELLINGTON","PALM BEACH"
"374","Pontiac","23206302400000","General Purpose",107219842,3018250,10415502,0,0,0,19870386,256583033,69322430,4702027,400593,5509728,15233133,295281,39059443,11647365,48450220,0,7000564,0,60097585,FALSE,"1600000US2665440","Pontiac city","Michigan",61606,"MI","CITY OF PONTIAC","PONTIAC","OAKLAND"
"375","Huntersville","34206000400000","General Purpose",68048683,45535400,7528097,0,0,0,7734918,0,2661247,0,819021,26755140,2718722,2060482,47118175,7522462,71130057,0,0,0,78652519,FALSE,"1600000US3733120","Huntersville town","North Carolina",61376,"NC","TOWN OF HUNTERSVILLE","HUNTERSVILLE","MECKLENBURG"
"376","Sanford","10205900500000","General Purpose",135031675,3190000,10284528,712913,53887473,8105000,37377865,0,16400723,0,2798093,46601862,6147827,8101377,51944338,19992087,92803317,0,0,0,112795404,FALSE,"1600000US1263650","Sanford city","Florida",61051,"FL","CITY OF SANFORD","SANFORD","SEMINOLE"
"377","Jupiter","10205001100000","General Purpose",76295087,20676497,14572921,0,0,2015000,31589986,0,1263876,0,4988800,43903410,3681395,2595714,57728378,18568568,89340329,0,0,0,107908897,FALSE,"1600000US1235875","Jupiter town","Florida",61047,"FL","TOWN OF JUPITER","JUPITER","PALM BEACH"
"378","Euless","44222000800000","General Purpose",137651339,88040815,17718411,0,0,1110000,16274784,0,12011923,0,2495406,38155733,3594939,4868683,64049878,17397765,93271468,0,0,0,110669233,FALSE,"1600000US4824768","Euless city","Texas",61032,"TX","CITY OF EULESS","EULESS","TARRANT"
"379","Marietta","11203300400000","General Purpose",264129237,68379960,23265452,198644,0,16476655,89895000,0,50193561,0,5550751,170536204,1577233,17014758,40053684,8022719,221159160,0,0,0,229181879,FALSE,"1600000US1349756","Marietta city","Georgia",60972,"GA","CITY OF MARIETTA","MARIETTA","COBB"
"380","Vineland","31200600400000","General Purpose",631365291,177910000,0,26682269,3656909,16400000,111102445,0,16644332,0,4237200,0,0,0,268596336,25303276,243293060,0,0,0,268596336,FALSE,"1600000US3476070","Vineland city","New Jersey",60780,"NJ","CITY OF VINELAND","VINELAND","CUMBERLAND"
"381","Des Plaines","14201602100000","General Purpose",231830513,15508714,17177018,0,0,0,172829457,6412904,0,20434948,4800143,29399929,4401349,342832,87308940,2653840,118799210,0,0,0,121453050,FALSE,"1600000US1719642","Des Plaines city","Illinois",60675,"IL","CITY OF DES PLAINES","DES PLAINES","COOK"
"382","Richland","48200350100000","General Purpose",227247665,149625422,18895805,1020510,0,8921671,15041376,10781423,18207823,0,6373476,141151942,5639086,14683757,62523839,57089419,166909205,0,0,0,223998624,FALSE,"1600000US5358235","Richland city","Washington",60560,"WA","CITY OF RICHLAND","RICHLAND","BENTON"
"383","Taylorsville","45201830100000","General Purpose",11332992,7780000,2583308,0,0,0,730353,0,0,0,239331,4162256,5065983,447638,17319595,15797,26979675,0,0,0,26995472,FALSE,"1600000US4975360","Taylorsville city","Utah",60448,"UT","CITY OF TAYLORSVILLE","TAYLORSVILLE","SALT LAKE"
"384","Great Falls","27200700300000","General Purpose",117289185,55665813,4834822,1992461,995171,5341235,34848514,0,8426068,0,5185063,52469744,6137168,3148306,41875101,9927669,93702650,0,0,0,103630319,FALSE,"1600000US3032800","Great Falls city","Montana",60442,"MT","CITY OF GREAT FALLS","GREAT FALLS","CASCADE"
"385","Hoboken","31200900500000","General Purpose",388490247,109777442,0,0,103612481,0,166608148,0,925222408,0,0,0,0,0,271744027,9400562,262343465,0,0,0,271744027,FALSE,"1600000US3432250","Hoboken city","New Jersey",60419,"NJ","CITY OF HOBOKEN","HOBOKEN","HUDSON"
"386","North Miami","10201301800000","General Purpose",136481981,0,26223991,1210053,0,11117248,48370578,0,13227754,0,8879518,58094373,8138621,264018,67245731,5328478,128414265,0,0,0,133742743,FALSE,"1600000US1249450","North Miami city","Florida",60191,"FL","CITY OF NORTH MIAMI","NORTH MIAMI","MIAMI-DADE"
"387","Youngstown","36205001000000","General Purpose",244668928,8379000,9045593,3630387,94559092,11660000,79917075,153098,27663904,0,8186618,67660583,19113948,3471587,55965292,14894188,131317222,0,0,0,146211410,FALSE,"1600000US3988000","Youngstown city","Ohio",60068,"OH","CITY OF YOUNGSTOWN","YOUNGSTOWN","MAHONING"
"388","Caldwell","13201400100000","General Purpose",18573047,0,6121718,0,0,0,10175662,6268160,723395,0,1552272,40306807,3452042,19936488,31297378,32762112,62230603,0,0,0,94992715,FALSE,"1600000US1612250","Caldwell city","Idaho",59996,"ID","CITY OF CALDWELL","CALDWELL","CANYON"
"389","Corvallis","38200200100000","General Purpose",119198650,28862030,8188020,0,0,240000,47268664,0,26770504,579965,7869432,50959272,12624550,17056598,45864611,26068041,100436990,0,0,0,126505031,FALSE,"1600000US4115800","Corvallis city","Oregon",59922,"OR","CITY OF CORVALLIS","CORVALLIS","BENTON"
"390","Dubuque","16203100700000","General Purpose",329495911,129737942,13905371,0,6051625,117057507,50125551,0,5882693,0,6735222,51518607,17451939,21860865,65189575,18287755,137733231,12605087,1294879,69575,156020986,FALSE,"1600000US1922395","Dubuque city","Iowa",59667,"IA","CITY OF DUBUQUE","DUBUQUE","DUBUQUE"
"391","Medford","22200900600000","General Purpose",516854017,63066460,9808857,0,0,3140153,121450437,0,313167566,0,4564573,37840783,39754083,7794822,142306430,-18433053,246129171,0,0,0,227696118,FALSE,"1600000US2539835","Medford city","Massachusetts",59659,"MA","CITY OF MEDFORD","MEDFORD","MIDDLESEX"
"392","Kokomo","15203400200000","General Purpose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"1600000US1840392","Kokomo city","Indiana",59604,"IN","CITY OF KOKOMO","KOKOMO","HOWARD"
"393","White Plains","33206002700000","General Purpose",916901221,187115340,39614236,0,0,0,84001207,0,570622996,0,6016775,68208487,4551900,1399578,126723937,-28922640,229806542,0,0,0,200883902,FALSE,"1600000US3681677","White Plains city","New York",59559,"NY","CITY OF WHITE PLAINS","WHITE PLAINS","WESTCHESTER"
"394","Taunton","22200300400000","General Purpose",650547115,140703245,16683157,1220182,14474800,750000,72283847,0,372765241,0,25792603,37373179,98924050,29771196,150987875,44820609,272235691,0,0,0,317056300,FALSE,"1600000US2569170","Taunton city","Massachusetts",59408,"MA","CITY OF TAUNTON","TAUNTON","BRISTOL"
"395","Leander","44224660100000","General Purpose",216460326,181281101,18217113,194682,0,7665964,6424257,0,1014809,0,1662400,52373419,1001916,59922049,50096964,74079647,89314701,0,0,0,163394348,FALSE,"1600000US4842016","Leander city","Texas",59202,"TX","CITY OF LEANDER","LEANDER","WILLIAMSON"
"396","Palm Beach Gardens","10205051100000","General Purpose",122481201,23874816,10098833,4851343,0,0,68659097,0,9748024,0,4838075,33705415,4496879,50748,85008997,12792220,110469819,0,0,0,123262039,FALSE,"1600000US1254075","Palm Beach Gardens city","Florida",59182,"FL","CITY OF PALM BEACH GARDENS","PALM BEACH GARDENS","PALM BEACH"
"397","Grand Forks","35201800300000","General Purpose",364530385,156313207,15131842,1346906,77053485,0,100570871,0,1863249,0,6930926,57173077,16664754,31162852,59877023,22826902,142050804,0,0,0,164877706,FALSE,"1600000US3832060","Grand Forks city","North Dakota",59166,"ND","CITY OF GRAND FORKS","GRAND FORKS","GRAND FORKS"
"398","Casper","51201300100000","General Purpose",170010771,0,11638072,0,0,19230597,105999311,0,21973837,0,2295135,54837978,2297731,2428640,62927693,5815882,116676160,29186263,1083468,0,122492042,FALSE,"1600000US5613150","Casper city","Wyoming",59038,"WY","CITY OF CASPER","CASPER","NATRONA"
"399","St. Cloud","10204900200000","General Purpose",116779288,18164595,17257569,288820,0,62089542,11557206,2733049,3420235,0,2245033,59674653,1535897,36158203,30565545,36452367,91481931,0,0,0,127934298,FALSE,"1600000US1262625","St. Cloud city","Florida",58964,"FL","CITY OF ST CLOUD","SAINT CLOUD","OSCEOLA"
"400","St. Clair Shores","23205001200000","General Purpose",264559153,9263950,14840815,4948591,905198,1499999,102185545,0,102762296,0,6283047,33888178,7179514,132016,47106960,12763895,75542773,0,0,0,88306668,FALSE,"1600000US2670760","St. Clair Shores city","Michigan",58874,"MI","CITY OF ST CLAIR SHORES","ST CLAIR SHORES","MACOMB"
"401","Apex","34209200100000","General Purpose",213984726,110336903,15464537,0,0,29973672,14618419,0,41183061,0,2408134,74882141,3028130,82480397,52398581,74100481,138688768,0,0,0,212789249,FALSE,"1600000US3701520","Apex town","North Carolina",58780,"NC","TOWN OF APEX","APEX","WAKE"
"402","Margate","10200650800000","General Purpose",180144996,31991015,10651723,396320,0,0,99518985,0,19152742,0,14058535,55317031,2316236,1608478,56162598,6090144,109314199,25049915,1942462,0,115404343,FALSE,"1600000US1243125","Margate city","Florida",58712,"FL","CITY OF MARGATE","MARGATE","BROWARD"
"403","Orland Park","14201607200000","General Purpose",156722489,50025000,17130985,0,23841269,0,47404649,0,15984057,0,2336529,44027923,4357559,2805442,54721748,7500872,98411800,31753312,156166,2117021,105912672,FALSE,"1600000US1756640","Orland Park village","Illinois",58703,"IL","VILLAGE OF ORLAND PARK","ORLAND PARK","COOK"
"404","Springfield","36201200800000","General Purpose",214063411,42808977,11220914,3779487,46277049,6018000,71515779,0,23301418,0,8746231,36597171,9634903,6879063,54141917,10161850,97091204,0,0,0,107253054,FALSE,"1600000US3974118","Springfield city","Ohio",58662,"OH","CITY OF SPRINGFIELD","SPRINGFIELD","CLARK"
"405","Carson City","29201300100000","General Purpose",402219899,172976489,22826463,2433,0,3466000,92320737,0,92320964,0,7584491,54487314,10107161,7777850,92557974,26154051,138776248,0,0,0,164930299,FALSE,"1600000US3209700","Carson City","Nevada",58639,"NV","CITY OF CARSON CITY","CARSON CITY","CARSON CITY"
"406","Shoreline","48201720500000","General Purpose",70514139,33054962,5277648,0,326475,25000000,5429646,0,0,0,1425409,17352936,10976183,9326346,47939704,21544166,64051003,0,0,0,85595169,FALSE,"1600000US5363960","Shoreline city","Washington",58608,"WA","CITY OF SHORELINE","SHORELINE","KING"
"407","Blue Springs","26204800100000","General Purpose",126666178,88253789,7387280,1158435,0,0,0,6112909,0,0,1927841,27758813,1833776,10537365,43624479,18860307,64894126,0,0,0,83754433,FALSE,"1600000US2906652","Blue Springs city","Missouri",58603,"MO","CITY OF BLUE SPRINGS","BLUE SPRINGS","JACKSON"
"408","Midwest City","37205501300000","General Purpose",243362511,164581022,14443589,0,0,2280047,26774282,131036,26200223,0,7411104,39838921,5703947,57411,62957732,3951292,104606719,29729135,895397,433237,108558011,FALSE,"1600000US4048350","Midwest City city","Oklahoma",58409,"OK","CITY OF MIDWEST CITY","MIDWEST CITY","OKLAHOMA"
"409","Oak Lawn","14201606900000","General Purpose",421856803,69548797,16292061,9296950,101496874,6732937,173099287,3463975,39049726,0,3213798,71359448,4850929,1428609,53343036,-662398,131644420,0,0,0,130982022,FALSE,"1600000US1754820","Oak Lawn village","Illinois",58362,"IL","VILLAGE OF OAK LAWN","OAK LAWN","COOK"
"410","Bowie","21201700300000","General Purpose",58243658,32835638,5027989,0,1330477,0,14359931,0,2761628,0,1927995,10231637,1489971,1777151,49995641,-650819,64145219,7658656,453141,0,63494400,FALSE,"1600000US2408775","Bowie city","Maryland",58329,"MD","CITY OF BOWIE","BOWIE","PRINCE GEORGES"
"411","Royal Oak","23206302600000","General Purpose",346552252,194233302,24697605,0,0,9836686,97440759,0,14635222,0,3914630,46864037,6530374,306117,64283583,-3151402,121135513,0,0,0,117984111,FALSE,"1600000US2670040","Royal Oak city","Michigan",58211,"MI","CITY OF ROYAL OAK","ROYAL OAK","OAKLAND"
"412","Lancaster","39203600900000","General Purpose",601413318,341676381,17403497,3852708,0,15526821,34404043,0,181085510,0,2034513,63421335,13097014,4271106,43226895,-3546834,127563184,0,0,0,124016350,FALSE,"1600000US4241216","Lancaster city","Pennsylvania",58039,"PA","CITY OF LANCASTER","LANCASTER","LANCASTER"
"413","Kettering","36205700800000","General Purpose",152026073,27438815,8163606,0,0,405725,80071457,0,30261715,0,5684755,4275524,4884548,3026141,71384301,-8483701,92054215,0,0,0,83570514,FALSE,"1600000US3940040","Kettering city","Ohio",57862,"OH","CITY OF KETTERING","KETTERING","MONTGOMERY"
"414","Coconut Creek","10200680100000","General Purpose",117694858,0,9206062,0,0,22140000,60991396,0,17560386,0,7797014,47674424,439534,797067,49899074,-2838274,101648373,0,0,0,98810099,FALSE,"1600000US1213275","Coconut Creek city","Florida",57833,"FL","CITY OF COCONUT CREEK","COCONUT CREEK","BROWARD"
"415","Bartlett","43207900200000","General Purpose",239893411,88054862,12909249,2808163,0,9948000,37781438,11521612,80922698,0,4111905,27881935,57545919,9079692,86085562,-3061715,183654823,0,0,0,180593108,FALSE,"1600000US4703440","Bartlett city","Tennessee",57786,"TN","CITY OF BARTLETT","BARTLETT","SHELBY"
"416","St. Peters","26209200500000","General Purpose",201914142,87340000,15835611,0,0,13305000,10176557,0,56650716,0,2148225,36986975,5293363,3578756,51957913,-2883161,100700168,0,0,0,97817007,FALSE,"1600000US2965126","St. Peters city","Missouri",57732,"MO","CITY OF ST PETERS","SAINT PETERS","ST CHARLES"
"417","Wylie","44204301400000","General Purpose",115705852,82350719,10856463,3875733,0,0,14110422,0,541037,0,2916478,30783473,388250,17492672,48523188,20663586,76523997,0,0,0,97187583,FALSE,"1600000US4880356","Wylie city","Texas",57526,"TX","CITY OF WYLIE","WYLIE","COLLIN"
"418","Weymouth","22201110200000","General Purpose",681766547,68838720,11261937,0,0,37190198,101512804,0,458018741,0,4844147,41496454,64381021,7428783,134963693,-13437898,261707849,0,0,0,248269951,FALSE,"1600000US2578972","Weymouth Town city","Massachusetts",57437,"MA","CITY OF WEYMOUTH TOWN","WEYMOUTH","NORFOLK"
"419","Lenexa","17204600700000","General Purpose",216588185,142276735,9295717,0,161042,5075000,46293537,1973290,8456627,0,3513581,14002948,3285133,9566336,104720707,19892395,111682729,0,0,0,131575124,FALSE,"1600000US2039350","Lenexa city","Kansas",57434,"KS","CITY OF LENEXA","LENEXA","JOHNSON"
"420","Burlington","34200100100000","General Purpose",98489664,30730715,13098948,0,0,0,20074219,0,29480120,0,3133868,40181271,3794200,0,51734759,1534317,94175913,0,0,0,95710230,FALSE,"1600000US3709060","Burlington city","North Carolina",57303,"NC","CITY OF BURLINGTON","BURLINGTON","ALAMANCE"
"421","Berwyn","14201600800000","General Purpose",306770070,186102628,12315927,438897,3850000,300000,76678312,151250,17392921,0,6118516,28278519,4037465,1499806,62501465,614645,95702610,0,0,0,96317255,FALSE,"1600000US1705573","Berwyn city","Illinois",57250,"IL","CITY OF BERWYN","BERWYN","COOK"
"422","Mount Prospect","14201606100000","General Purpose",244108942,105353468,7043785,0,0,35905176,74977133,0,14857280,0,4522902,27680879,2962935,1348000,64688534,6156469,90523879,16732889,191774,0,96680348,FALSE,"1600000US1751089","Mount Prospect village","Illinois",56852,"IL","VILLAGE OF MOUNT PROSPECT","MT PROSPECT","COOK"
"423","Albany","38202200100000","General Purpose",175010577,42723001,9773273,84408,54487065,0,60371361,0,4957916,577211,2613553,47290601,13362737,2990462,46735251,-292875,110671926,0,0,0,110379051,FALSE,"1600000US4101000","Albany city","Oregon",56472,"OR","CITY OF ALBANY","ALBANY","LINN"
"424","Apple Valley","24201980100000","General Purpose",52952340,22117222,8683250,177964,0,0,16120925,2479120,2047434,0,3805545,32510735,900830,9427745,37340225,17895222,62284313,10878589,99930,0,80179535,FALSE,"1600000US2701900","Apple Valley city","Minnesota",56374,"MN","CITY OF APPLE VALLEY","APPLE VALLEY","DAKOTA"
"425","Pocatello","13200300900000","General Purpose",65215935,31463556,6602413,1395330,0,0,20993725,4596525,0,0,4719647,53724761,10649726,4666512,40095774,22320190,86816583,0,0,0,109136773,FALSE,"1600000US1664090","Pocatello city","Idaho",56320,"ID","CITY OF POCATELLO","POCATELLO","BANNOCK"
"426","Desoto","44205700800000","General Purpose",95718886,73813080,11232295,925765,0,0,3046911,0,1237784,0,5463051,37352056,2047972,0,47019578,10597606,75822000,0,0,0,86419606,FALSE,"1600000US4820092","DeSoto city","Texas",56145,"TX","CITY OF DESOTO","DESOTO","DALLAS"
"427","Tinley Park","14201609500000","General Purpose",90637534,12561919,6039404,0,0,0,43343152,0,27402762,0,1290297,29582926,2435587,1061314,56867390,4380063,85567154,0,0,0,89947217,FALSE,"1600000US1775484","Tinley Park village","Illinois",55971,"IL","VILLAGE OF TINLEY PARK","TINLEY PARK","COOK"
"428","Bradenton","10204100200000","General Purpose",131786899,30881905,5841308,71309,0,20407281,40371228,0,28997038,0,2516721,42151547,3346989,2073514,53483010,12395461,88659599,0,0,0,101055060,FALSE,"1600000US1207950","Bradenton city","Florida",55698,"FL","CITY OF BRADENTON","BRADENTON","MANATEE"
"429","Smyrna","11203300600000","General Purpose",93387960,53367379,7168162,0,0,0,18795204,0,11092842,0,1059116,36489425,770064,11386650,39605261,17507310,70744090,0,0,0,88251400,FALSE,"1600000US1371492","Smyrna city","Georgia",55663,"GA","CITY OF SMYRNA","SMYRNA","COBB"
"430","Olympia","48203400200000","General Purpose",167624407,65181268,13496920,0,1210018,38001491,12224207,13827913,29540866,0,7969637,92808684,6834009,7419676,77912977,27268894,157706452,0,0,0,184975346,FALSE,"1600000US5351300","Olympia city","Washington",55605,"WA","CITY OF OLYMPIA","OLYMPIA","THURSTON"
"431","Chicopee","22200700100000","General Purpose",600254624,193534724,15553060,0,3000000,0,69586952,0,290774923,0,9457812,89123715,114435616,2147107,110662878,4809933,311559383,12772975,208223,0,316369316,FALSE,"1600000US2513660","Chicopee city","Massachusetts",55560,"MA","CITY OF CHICOPEE","CHICOPEE","HAMPDEN"
