acfrs_original_name,census_id,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed,name,ratio,ratio_group,state,nces_original_name,student
Macomb Community Unit School District No. 185,NA,33060,2020,School District,34765960,15759559,4479127,224242,0,0,2011453,0,11678001,0,0,449043,11662969,1171106,22915072,1184099,35014091,0,0,0,36198190,FALSE,macomb cusd 185,0.9604336570419681, Below 1%,Illinois,Macomb CUSD 185,2034.00000
Madison Community Unit School District No. 12,NA,93870,2020,School District,6146240,4800000,1213336,132904,0,0,0,6435863,0,0,0,0,0,0,11475263,-316931,11792194,0,0,0,11475263,FALSE,madison cusd 12,0.5356077677696799, Below 1%,Illinois,Madison CUSD 12,631.00000
Maercker School District No. 60,NA,47451,2020,School District,55789130,38782290,1966811,890408,0,0,2251334,0,11898287,0,0,644273,10720686,0,22178226,-6636933,40180118,0,0,0,33543185,FALSE,maercker sd 60,1.6632031215878873,1 - 5%,Illinois,Maercker SD 60,1416.00000
Mahomet-Seymour Community Unit School District No.3,NA,32884,2020,School District,32210232,20345000,161357,243875,11460000,0,0,0,0,0,0,0,0,0,41079114,1782975,39296139,0,0,0,41079114,FALSE,mahomet-seymour cusd 3,0.784102402987562, Below 1%,Illinois,Mahomet-Seymour CUSD 3,3228.00000
Mannheim School District No. 83,NA,149458,2020,School District,61422940,34025000,288461,0,0,0,3826386,0,23283093,0,0,1165776,21185982,0,51013578,8577828,64787508,0,0,0,73365336,FALSE,mannheim sd 83,0.83722018256687325, Below 1%,Illinois,Mannheim SD 83,2652.00000
Marion Community Unit School District 2,NA,33165,2020,School District,21356249,17210000,1249,4145000,0,0,3924879,0,19233562,0,0,0,0,0,64207354,-30261,64237615,0,0,0,64207354,FALSE,marion cusd 2,0.33261375324701903, Below 1%,Illinois,Marion CUSD 2,3992.00000
Marissa Community Unit School District No. 40,NA,65340,2020,School District,367402,310000,0,57402,0,0,929637,0,0,0,0,0,0,0,9497141,49365,9447776,0,0,0,9497141,FALSE,marissa cusd 40,0.038685537047412476, Below 1%,Illinois,Marissa CUSD 40,523.00000
Marquardt School District No. 15,NA,42074,2020,School District,72992718,36437921,4117679,921640,0,0,5097563,0,26417915,0,0,1541745,23113057,0,47019188,5144255,66529735,0,0,0,71673990,FALSE,marquardt sd 15,1.0183989756953673,1 - 5%,Illinois,Marquardt SD 15,2419.00000
Marseilles Elementary School District 150,NA,167493,2020,School District,1015000,1015000,0,0,0,0,0,0,0,0,0,0,0,0,9772672,687146,9085526,0,0,0,9772672,FALSE,marseilles esd 150,0.10386105253506922, Below 1%,Illinois,Marseilles ESD 150,523.00000
Matteson Elementary School District 162,NA,32936,2020,School District,77577080,45938757,9826522,0,0,0,2166405,0,19513862,0,131534,1580438,21261694,0,37440305,2472049,57810388,0,0,0,60282437,FALSE,matteson esd 162,1.286893560723167,1 - 5%,Illinois,Matteson ESD 162,2561.00000
Mattoon Community Unit School District No.2,NA,93872,2020,School District,11017500,7787345,3230155,0,0,0,6241968,0,0,0,0,0,0,0,53652666,1591482,52061184,0,0,0,53652666,FALSE,mattoon cusd 2,0.20534860280754735, Below 1%,Illinois,Mattoon CUSD 2,3142.00000
Mendota Community Consolidated School District No. 289,NA,33049,2020,School District,5290000,5290000,0,0,0,0,0,0,0,0,0,0,0,0,16518370,214979,16303391,0,0,0,16518370,FALSE,mendota ccsd 289,0.3202495161447528, Below 1%,Illinois,Mendota CCSD 289,1081.00000
Meridian Community Unit School District No. 101,NA,33107,2020,School District,3121825,2940000,0,0,181825,0,0,0,0,0,0,0,0,0,9137064,-76086,9213150,0,0,0,9137064,FALSE,meridian cusd 101,0.341666097556064, Below 1%,Illinois,Meridian CUSD 101,444.00000
Midwest Central Community Unit School District No. 191,NA,33093,2020,School District,1261464,1210000,0,51464,0,0,0,0,0,0,0,0,0,0,16646464,-334544,16981008,0,0,0,16646464,FALSE,midwest central cusd 191,0.07577969711765814, Below 1%,Illinois,Midwest Central CUSD 191,928.00000
Monmouth-Roseville Community Unit School District No. 238,NA,196577,2020,School District,5526000,5501000,25000,0,0,0,1186233,0,7815193,0,0,0,0,0,27274061,760653,26513408,0,0,0,27274061,FALSE,monmouth-roseville cusd 238,0.20261009169114932, Below 1%,Illinois,Monmouth-Roseville CUSD 238,1605.00000
Monticello Community Unit School District 25,NA,169392,2020,School District,33515502,29920000,356802,3238700,0,0,0,0,0,0,25697,0,0,0,28344987,-18731831,47076818,0,0,0,28344987,FALSE,monticello cusd 25,1.1824137368628886,1 - 5%,Illinois,Monticello CUSD 25,1613.00000
Morton Community Unit School District No. 709,NA,33138,2020,School District,5629161,5445000,0,184161,0,0,0,0,0,0,0,1344096,23582011,0,36047247,5375313,55598041,0,0,0,60973354,FALSE,morton cusd 709,0.09232165578426274, Below 1%,Illinois,Morton CUSD 709,3132.00000
Mount Prospect School District 57,NA,65744,2020,School District,28447680,7101640,3548068,147610,0,0,1879653,0,15744992,0,25717,1484874,13704643,50000,28057517,2682751,40614283,0,0,0,43297034,FALSE,mount prospect sd 57,0.6570353063907334, Below 1%,Illinois,Mount Prospect SD 57,2320.00000
Mundelein Elementary School District No. 75,NA,65498,2020,School District,33603066,11609268,3330599,0,0,0,2427812,0,16205104,0,30283,723910,10512008,48099,21381841,675022,31990836,0,0,0,32665858,FALSE,mundelein esd 75,1.0286907510587966,1 - 5%,Illinois,Mundelein ESD 75,1748.00000
Murphysboro Community Unit School District 186,NA,33012,2020,School District,10622362,9200000,464029,0,958334,0,4737136,0,10662807,0,0,0,0,0,38923875,-2161983,41085858,0,0,0,38923875,FALSE,murphysboro cusd 186,0.2729009380489481, Below 1%,Illinois,Murphysboro CUSD 186,1948.00000
New Trier Township High School District 203,NA,150836,2020,School District,177064697,92540986,9866572,1978097,0,0,5518587,2839019,66667805,0,492650,3503568,49800150,0,120845883,5805588,168344013,0,0,0,174149601,FALSE,new trier twp hsd 203,1.016739033470424,1 - 5%,Illinois,New Trier Twp HSD 203,4040.00000
Niles Township High School District No. 219,NA,196581,2020,School District,130621422,55994202,1958675,0,0,0,5528927,5060850,61735161,0,396955,2630514,49211599,416426,147959364,5959103,194258800,0,0,0,200217903,FALSE,niles twp hsd 219,0.6523963144294843, Below 1%,Illinois,Niles Twp HSD 219,4592.00000
Oak Lawn Community High School District 229,NA,50293,2020,School District,14754150,14754150,0,0,0,0,0,0,0,0,0,1358188,2610817,0,29515876,1311107,32173774,0,0,0,33484881,FALSE,oak lawn chsd 229,0.44062124634697075, Below 1%,Illinois,Oak Lawn CHSD 229,1842.00000
Oak Lawn-Hometown School District 123,NA,32941,2020,School District,79151693,42294307,3424294,629270,0,0,4406798,0,28273345,0,123679,1702285,23571157,0,45017325,2023804,68266963,0,0,0,70290767,FALSE,oak lawn-hometown sd 123,1.1260610230643806,1 - 5%,Illinois,Oak Lawn-Hometown SD 123,3287.00000
Oak Park Elementary School District 97,NA,42662,2020,School District,137329584,56987321,6396508,393604,0,0,8367816,0,64645335,0,539000,1761889,49401278,50000,94862286,8496045,137579408,0,0,0,146075453,FALSE,oak park esd 97,0.9401277297425188, Below 1%,Illinois,Oak Park ESD 97,6043.00000
Olympia Community Unit School District No. 16,NA,99983,2020,School District,30061679,26216100,400451,0,3445128,0,0,0,0,0,0,0,0,0,30606875,-14934304,45541179,0,0,0,30606875,FALSE,olympia cusd 16,0.982187139327357, Below 1%,Illinois,Olympia CUSD 16,1786.00000
Oregon Community Unit School District 220,NA,46172,2020,School District,8931525,8726500,102006,103019,0,0,1134407,0,8544257,0,0,0,0,0,22324566,-3204167,25528733,0,0,0,22324566,FALSE,oregon cusd 220,0.400076086585513, Below 1%,Illinois,Oregon CUSD 220,1495.00000
Orland School District 135,NA,32943,2020,School District,80630587,10119476,6390177,0,0,0,14405104,0,48175069,0,508118,2336603,38153187,0,73083998,-6379292,119953080,0,0,0,113573788,FALSE,orland sd 135,0.7099401051939908, Below 1%,Illinois,Orland SD 135,5223.00000
Ottawa Elementary School District 141,NA,33050,2020,School District,9609560,8290000,371117,948443,0,0,0,0,0,0,0,0,0,0,36430585,1437844,34992741,0,0,0,36430585,FALSE,ottawa esd 141,0.26377726297834636, Below 1%,Illinois,Ottawa ESD 141,1904.00000
Ottawa Township High School District No. 140,NA,172242,2020,School District,7904933,7815000,0,89932,0,0,0,0,0,0,0,0,0,0,33635549,838031,32797518,0,0,0,33635549,FALSE,ottawa twp hsd 140,0.23501721348445956, Below 1%,Illinois,Ottawa Twp HSD 140,1190.00000
Palos Community Consolidated School District No. 118,NA,44006,2020,School District,28739628,8534895,638207,0,0,0,2535024,0,16838441,0,193061,682711,14181226,0,25800633,-1496204,42160774,0,0,0,40664570,FALSE,palos ccsd 118,0.7067486020385805, Below 1%,Illinois,Palos CCSD 118,2012.00000
Pana Community Unit School District 8,NA,32888,2020,School District,6035100,5814000,33630,187470,0,0,0,0,0,0,0,0,0,0,22273863,2567423,19706440,0,0,0,22273863,FALSE,pana cusd 8,0.2709498572385042, Below 1%,Illinois,Pana CUSD 8,1244.00000
Pikeland Community Unit School District 10,NA,33106,2020,School District,3810988,3450000,0,360988,0,0,0,0,0,0,0,0,0,0,19609239,561715,19047524,0,0,0,19609239,FALSE,pikeland cusd 10,0.19434655266326245, Below 1%,Illinois,Pikeland CUSD 10,1185.00000
Pleasant Valley School District No. 62,NA,48477,2020,School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7756790,-135820,7892610,0,0,0,7756790,FALSE,pleasant valley sd 62,0, Below 1%,Illinois,Pleasant Valley SD 62,517.00000
Prairie Central Community Unit School District No. 8,NA,196584,2020,School District,0,4279000,0,0,0,0,1790350,0,0,0,0,0,0,0,33078788,1581851,31496937,0,0,0,33078788,FALSE,prairie central cusd 8,0, Below 1%,Illinois,Prairie Central CUSD 8,1784.00000
Prairie-Hills Elementary School District 144,NA,32935,2020,School District,54917062,53880580,0,1036482,0,0,1356973,389845,14734737,0,0,338409,18905269,3121200,36435695,8672189,50128384,0,0,0,58800573,FALSE,prairie-hills esd 144,0.9339545381641093, Below 1%,Illinois,Prairie-Hills ESD 144,2869.00000
Prospect Heights School District No. 23,NA,53233,2020,School District,8974285,8705000,106954,162331,0,0,2467743,0,0,0,0,850785,11992270,0,21118974,-295832,34257861,0,0,0,33962029,FALSE,prospect heights sd 23,0.264244665711816, Below 1%,Illinois,Prospect Heights SD 23,1480.00000
Proviso Township High School District 209,NA,167515,2020,School District,124841067,78632674,11102962,242629,744918,0,2744218,1902182,30982081,0,0,411568,32339620,50000,89347916,9195868,112953236,0,0,0,122149104,FALSE,proviso twp hsd 209,1.0220383360323297,1 - 5%,Illinois,Proviso Twp HSD 209,4244.00000
Queen Bee School District No. 16,NA,150853,2020,School District,47152493,22616554,3740497,0,685000,0,5320041,0,14543643,0,246758,556249,20928312,0,28840736,2758121,47567176,0,0,0,50325297,FALSE,queen bee sd 16,0.9369540928889103, Below 1%,Illinois,Queen Bee SD 16,1753.00000
Quincy Public School District No. 172,NA,32877,2020,School District,95263425,94275440,750006,237979,0,0,0,0,0,0,0,0,0,0,98007520,-4033150,102040670,0,0,0,98007520,FALSE,quincy sd 172,0.9720011790931962, Below 1%,Illinois,Quincy SD 172,6502.00000
Red Hill Community Unit School District No. 10,NA,33054,2020,School District,50423,0,0,0,0,50423,1230350,0,0,0,0,0,0,0,12870021,778647,12091374,0,0,0,12870021,FALSE,red hill cusd 10,0.003917864625084916, Below 1%,Illinois,Red Hill CUSD 10,982.00000
Rich Township High School District 227,NA,167519,2020,School District,172492564,130904165,6211638,148814,0,0,4672119,0,30344915,0,144767,448692,30233765,0,65993813,1922013,94754257,0,0,0,96676270,FALSE,rich twp hsd 227,1.7842285806020444,1 - 5%,Illinois,Rich Twp HSD 227,2667.00000
Richland County Community Unit School District No. 1,NA,196586,2020,School District,41238497,41036550,150582,0,0,51365,2490680,0,0,0,0,0,0,0,37304470,-11989163,49293633,0,0,0,37304470,FALSE,richland county cusd 1,1.105457254854445,1 - 5%,Illinois,Richland County CUSD 1,2371.00000
Ridgeland School District 122,NA,32949,2020,School District,59112351,59112351,0,0,0,0,1667438,0,14910064,0,0,152880,4680625,0,32974447,6250186,31557766,0,0,0,37807952,FALSE,ridgeland sd 122,1.5634898975749862,1 - 5%,Illinois,Ridgeland SD 122,2449.00000
River Trails School District 26,NA,32920,2020,School District,38199270,13260877,1692753,28825,5605000,0,2386995,0,15224820,0,0,1152676,12248575,0,25035381,2181394,36255238,0,0,0,38436632,FALSE,river trails sd 26,0.9938245890014505, Below 1%,Illinois,River Trails SD 26,1610.00000
Riverton Community Unit School District 14,NA,45064,2020,School District,15135596,13784286,1351310,0,0,0,629622,189013,0,0,0,0,0,0,31616163,7966786,23649377,0,0,0,31616163,FALSE,riverton cusd 14,0.4787296927840358, Below 1%,Illinois,Riverton CUSD 14,1434.00000
Robinson Community Unit School District 2,NA,32975,2020,School District,10818709,10565000,0,16327,237382,0,1708193,0,0,0,0,0,0,0,31651425,1468593,30182832,0,0,0,31651425,FALSE,robinson cusd 2,0.34180795967322164, Below 1%,Illinois,Robinson CUSD 2,1606.00000
Rochester Community Unit School District No. 3A,NA,196587,2020,School District,35140275,35140000,275,0,0,0,1788317,0,10397551,0,0,1306893,1604319,0,29660582,1817815,30753979,0,0,0,32571794,FALSE,rochester cusd 3a,1.0788559880981685,1 - 5%,Illinois,Rochester CUSD 3A,2204.00000
Rock Falls Elementary School District 13,NA,33151,2020,School District,2890000,2890000,0,0,0,0,515910,135727,5599608,0,0,0,0,0,17099401,-160496,17259897,0,0,0,17099401,FALSE,rock falls esd 13,0.16901176830697168, Below 1%,Illinois,Rock Falls ESD 13,956.00000
