acfrs_original_name,census_id,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed,name,ratio,ratio_group,state,nces_original_name,student
Waterloo Community Unit School District 5,NA,47186,2020,School District,44404356,44278383,14680,0,111293,0,2469690,0,0,0,0,1429085,2760981,74686,36559001,4003668,36820085,0,0,0,40823753,FALSE,waterloo cusd 5,1.0877088150126717,1 - 5%,Illinois,Waterloo CUSD 5,2727.00000
Wauconda Community Unit School District No. 118,NA,45041,2020,School District,46482539,45155000,2159,1325380,0,0,7669731,0,35674081,0,0,1074755,34688822,50000,60218708,1470874,94561411,0,0,0,96032285,FALSE,wauconda cusd 118,0.48403033417355423, Below 1%,Illinois,Wauconda CUSD 118,4501.00000
Waukegan Community Unit School District No. 60,NA,46598,2020,School District,192041584,46942532,6522626,0,0,0,25641140,0,111911383,0,1023903,1021516,139567390,50000,209479964,18587406,331531464,0,0,0,350118870,FALSE,waukegan cusd 60,0.5485039523862282, Below 1%,Illinois,Waukegan CUSD 60,15336.00000
Wheeling Community Consolidated School District No. 21,NA,32959,2020,School District,182678854,92819266,11036924,287085,0,0,15923882,0,62044464,0,567233,934662,55982292,0,110395538,16776612,150535880,0,0,0,167312492,FALSE,wheeling ccsd 21,1.091842287544196,1 - 5%,Illinois,Wheeling CCSD 21,6123.00000
Whiteside School District No. 115,NA,46275,2020,School District,1856247,0,693247,0,1163000,0,1122528,0,0,0,0,0,0,0,13417393,-2199969,15617362,0,0,0,13417393,FALSE,whiteside sd 115,0.13834632405863045, Below 1%,Illinois,Whiteside SD 115,1285.00000
Will County School District 92,NA,50815,2020,School District,5069606,5069606,0,0,0,0,4898961,0,3091488,0,0,255120,10902020,17055,25577975,1669359,35082811,0,0,0,36752170,FALSE,will county sd 92,0.13794031753771274, Below 1%,Illinois,Will County SD 92,1480.00000
Wilmette Public School District 39,NA,167558,2020,School District,70687857,13060786,8893553,0,4605000,0,3776358,0,40352160,0,0,3437816,29106189,0,60407895,2583940,90367960,0,0,0,92951900,FALSE,wilmette sd 39,0.7604778062632394, Below 1%,Illinois,Wilmette SD 39,3526.00000
Wilmington Community Unit School District No. 209u,NA,50812,2020,School District,27105998,27105998,0,0,0,0,2353514,0,5973359,0,0,746756,2526198,50000,15952844,-595023,19870821,0,0,0,19275798,FALSE,wilmington cusd 209u,1.406219239276112,1 - 5%,Illinois,Wilmington CUSD 209U,1225.00000
Wood Dale School District No.7,NA,49439,2020,School District,2746587,2735000,11587,0,0,0,2124221,0,8448495,0,0,543655,7538399,50000,15176103,40931,23267226,0,0,0,23308157,FALSE,wood dale sd 7,0.11783801696547694, Below 1%,Illinois,Wood Dale SD 7,1058.00000
Wood River-Hartford Elementary School District 15,NA,167559,2020,School District,8244337,7256000,181147,807190,0,0,1256044,0,0,0,0,0,0,0,12509315,-2377480,14886795,0,0,0,12509315,FALSE,wood river-hartford esd 15,0.6590558315942959, Below 1%,Illinois,Wood River-Hartford ESD 15,705.00000
Woodland Community Consolidated School District No. 50,NA,48212,2020,School District,132490577,67013507,3782852,529179,0,0,10763303,0,50401736,0,0,1572532,37969497,50000,71389716,-6412687,117394432,0,0,0,110981745,FALSE,woodland ccsd 50,1.1938051343488967,1 - 5%,Illinois,Woodland CCSD 50,5279.00000
Woodridge School District 68,NA,44005,2020,School District,39007555,0,7337706,0,0,0,8045577,0,23333090,0,31550,461501,22740842,0,45076082,3468932,64809493,0,0,0,68278425,FALSE,woodridge sd 68,0.5713013298124554, Below 1%,Illinois,Woodridge SD 68,2957.00000
Woodstock Community Unit School District No. 200,NA,33064,2020,School District,198240548,94173780,39841007,8404,0,0,12829615,0,50895048,0,492694,5384400,43033745,0,83297650,-617563,132333358,0,0,0,131715795,FALSE,woodstock cusd 200,1.5050628362376737,1 - 5%,Illinois,Woodstock CUSD 200,6332.00000
Worth School District 127,NA,47453,2020,School District,3013048,2993667,19381,0,0,0,628326,0,6810835,0,0,212543,1745187,0,17465114,5155092,14267752,0,0,0,19422844,FALSE,worth sd 127,0.15512908408264, Below 1%,Illinois,Worth SD 127,1089.00000
Yorkville Community Unit School District 115,NA,53283,2020,School District,72694080,66992571,0,1235414,4466095,0,39867056,0,40822521,0,0,1578444,37590714,0,79923373,11212384,107880147,0,0,0,119092531,FALSE,yorkville cusd 115,0.6103999922547619, Below 1%,Illinois,Yorkville CUSD 115,6255.00000
Zion Elementary School District 6,NA,33040,2020,School District,6968233,6513901,442131,12201,0,0,3425568,553650,24512498,0,0,0,13908389,0,37652695,3678170,47882914,0,0,0,51561084,FALSE,zion esd 6,0.13514519981775402, Below 1%,Illinois,Zion ESD 6,2483.00000
