ncesid,nces_original_name,county_nces,city_nces,state,student
4226070,Western Wayne SD,Wayne County,Lake Ariel,PA,1827.00000
0500041,WESTERN YELL CO. SCHOOL DIST.,Yell County,HAVANA,AR,370.00000
3904504,Westerville City,Franklin County,Westerville,OH,15174.00000
3904910,Westfall Local,Pickaway County,Williamsport,OH,1437.00000
2512630,Westfield,Hampden County,Westfield,MA,5261.00000
3630990,WESTFIELD CENTRAL SCHOOL DISTRICT,Chautauqua County,WESTFIELD,NY,684.00000
3417760,Westfield Public School District,Union County,Westfield,NJ,6299.00000
5516440,Westfield School District,Marquette County,Westfield,WI,1048.00000
5008910,Westfield School District,Orleans County,Newport,VT,1.00000
1813080,Westfield-Washington Schools,Hamilton County,Westfield,IN,8435.00000
2512660,Westford,Middlesex County,Westford,MA,4928.00000
2512690,Westhampton,Hampshire County,Westhampton,MA,120.00000
3631020,WESTHAMPTON BEACH UNION FREE SCHOOL DISTRICT,Suffolk County,WESTHAMPTON BEACH,NY,1845.00000
3607320,WESTHILL CENTRAL SCHOOL DISTRICT,Onondaga County,SYRACUSE,NY,1799.00000
4845240,WESTHOFF ISD,DeWitt County,WESTHOFF,TX,79.00000
3819470,WESTHOPE 17,Bottineau County,Westhope,ND,145.00000
3904506,Westlake City,Cuyahoga County,Westlake,OH,3410.00000
0642150,Westminster,Orange County,Westminster,CA,9036.00000
0807230,Westminster Public Schools,Adams County,WESTMINSTER,CO,9090.00000
4226130,Westmont Hilltop SD,Cambria County,Johnstown,PA,1484.00000
5009000,Westmore School District,Orleans County,Orleans,VT,2.00000
3631050,WESTMORELAND CENTRAL SCHOOL DISTRICT,Oneida County,WESTMORELAND,NY,889.00000
5103980,WESTMORELAND CO PBLC SCHS,Westmoreland County,Montross,VA,1603.00000
3307020,Westmoreland School District,Cheshire County,Keene,NH,135.00000
0642180,Westmorland Union Elementary,Imperial County,Westmorland,CA,395.00000
2512750,Weston,Middlesex County,Weston,MA,2039.00000
5604830,Weston County School District #1,Weston County,Newcastle,WY,810.00000
5606090,Weston County School District #7,Weston County,Upton,WY,235.00000
0905010,Weston School District,Fairfield County,Weston,CT,2282.00000
5516470,Weston School District,Sauk County,Cazenovia,WI,296.00000
2722920,WESTONKA PUBLIC SCHOOL DISTRICT,Hennepin County,MINNETRISTA,MN,2504.00000
4845330,WESTPHALIA ISD,Falls County,LOTT,TX,157.00000
2512780,Westport,Bristol County,Westport,MA,1418.00000
0905040,Westport School District,Fairfield County,Westport,CT,5312.00000
2931860,WESTRAN R-I,Randolph County,HUNTSVILLE,MO,570.00000
3178660,WESTSIDE COMMUNITY SCHOOLS,Douglas County,OMAHA,NE,6094.00000
0504020,WESTSIDE CONS. SCHOOL DISTRICT,Craighead County,JONESBORO,AR,1814.00000
0642210,Westside Elementary,Fresno County,Five Points,CA,189.00000
0514020,WESTSIDE SCHOOL DISTRICT,Johnson County,HARTMAN,AR,637.00000
0642120,Westside Union Elementary,Los Angeles County,Quartz Hill,CA,9686.00000
2931890,WESTVIEW C-6,Newton County,NEOSHO,MO,120.00000
1813110,Westview School Corporation,LaGrange County,Topeka,IN,2292.00000
4032400,WESTVILLE,Adair County,Westville,OK,1133.00000
3417790,Westville Boro Public School District,Gloucester County,Westville,NJ,361.00000
1710820,Westville CUSD 2,Vermilion County,Westville,IL,1265.00000
2512810,Westwood,Norfolk County,Westwood,MA,3000.00000
1931470,Westwood Comm School District,Woodbury County,Sloan,IA,614.00000
2611640,Westwood Community School District,Wayne County,DEARBORN HEIGHTS,MI,1575.00000
2635970,Westwood Heights Schools,Genesee County,FLINT,MI,1593.00000
4843290,WESTWOOD ISD,Anderson County,PALESTINE,TX,1514.00000
3417820,Westwood Regional School District,Bergen County,TOWNSHIP OF WASHINGTON,NJ,2832.00000
0642300,Westwood Unified,Lassen County,Westwood,CA,183.00000
1742060,Wethersfield CUSD 230,Henry County,Kewanee,IL,569.00000
0905070,Wethersfield School District,Hartford County,Wethersfield,CT,3575.00000
4032430,WETUMKA,Hughes County,Wetumka,OK,428.00000
5401560,WETZEL COUNTY SCHOOLS,Wetzel County,NEW MARTINSVILLE,WV,2459.00000
4032460,WEWOKA,Seminole County,Wewoka,OK,662.00000
5516500,Weyauwega-Fremont School District,Waupaca County,Weyauwega,WI,836.00000
2512840,Weymouth,Norfolk County,Weymouth,MA,5763.00000
3417850,Weymouth Township School District,Atlantic County,Dorothy,NJ,157.00000
3417880,Wharton Borough School District,Morris County,WHARTON,NJ,751.00000
4845380,WHARTON ISD,Wharton County,WHARTON,TX,2001.00000
2512870,Whately,Franklin County,South Deerfield,MA,127.00000
0642330,Wheatland,Yuba County,Wheatland,CA,1393.00000
2006630,Wheatland,Gove County,Grainfield,KS,136.00000
5516560,Wheatland J1 School District,Kenosha County,Burlington,WI,548.00000
2931920,WHEATLAND R-II,Hickory County,WHEATLAND,MO,300.00000
0642350,Wheatland Union High,Yuba County,Wheatland,CA,878.00000
3631170,WHEATLAND-CHILI CENTRAL SCHOOL DISTRICT,Monroe County,SCOTTSVILLE,NY,653.00000
2742330,WHEATON AREA PUBLIC SCHOOL DISTRICT,Traverse County,WHEATON,MN,372.00000
2931950,WHEATON R-III,Barry County,WHEATON,MO,442.00000
3178670,WHEELER CENTRAL SCHOOLS,Wheeler County,BARTLETT,NE,105.00000
1305640,Wheeler County,Wheeler County,Alamo,GA,1000.00000
4845420,WHEELER ISD,Wheeler County,WHEELER,TX,459.00000
3904966,Wheelersburg Local,Scioto County,Wheelersburg,OH,1608.00000
3631200,WHEELERVILLE UNION FREE SCHOOL DISTRICT,Fulton County,CAROGA LAKE,NY,135.00000
1742210,Wheeling CCSD 21,Cook County,Wheeling,IL,6123.00000
